motif	observed	background	percent.observed	percent.background	fold.enrichment	pvalue	p.adjust	motif_name
Hivep1_157	12623	8742	6.6153080208579	4.58140083326782	1.44394875314573	1.69484972254547e-165	2.32286380578324e-165	Hivep1
Zfp369_158	17420	9096	9.12926132641564	4.76692083955664	1.91512752858399	0	0	Zfp369
Fezf2_159	11117	6237	5.82606189240888	3.268610958258	1.78242744909412	8.2568744798635e-319	1.73787590924658e-318	Fezf2
Zfp187_160	1624	1175	0.851086130545292	0.615779681890837	1.38212765957447	8.18205340766361e-18	8.82065269801784e-18	Zfp187
Osr2_161	6059	3331	3.17532688729922	1.74566988968373	1.81897328129691	2.14849829485415e-181	3.0782374273113e-181	Osr2
Bcl6_162	19218	9204	10.0715352566622	4.82352016350916	2.08800521512386	0	0	Bcl6
Zfp263_163	10374	4789	5.43667950632812	2.50976076304274	2.16621424096889	0	0	Zfp263
Zscan10_164	11937	6081	6.25579750019653	3.18685637921547	1.96299950666009	0	0	Zscan10
Zfp523_165	17564	9624	9.20472709168567	5.04362864554673	1.82502078137988	0	0	Zfp523
Ovol1_166	6348	4192	3.32678248565364	2.19689227786076	1.51431297709924	1.58189160769191e-101	1.95033777015292e-101	Ovol1
Sp4_167	25546	11524	13.3878363860284	6.03935749285958	2.21676501214856	0	0	Sp4
Zfp711_168	5757	3208	3.01705840735791	1.68120954851558	1.79457605985037	8.69256803790788e-166	1.19692058341286e-165	Zfp711
Zfp202_169	12093	6686	6.33755207923905	3.50391740691245	1.808704756207	0	0	Zfp202
Zfp282_170	9913	5281	5.19508424390116	2.76760212771533	1.87710660859686	0	0	Zfp282
Klf7_171	25809	6927	13.525666221209	3.63021775017687	3.72585534863577	0	0	Klf7
Gfi1b_172	16719	8955	8.76188978853864	4.69302727772974	1.86700167504188	0	0	Gfi1b
Mecom_173	17991	5740	9.42850404842387	3.00814925451353	3.13432055749129	0	0	Mecom
Zbtb7b_174	7690	4319	4.03008149254514	2.2634488902864	1.78050474646909	1.96636225226758e-217	3.04424558844929e-217	Zbtb7b
Mtf1_175	5125	1724	2.6858475486728	0.903492911982811	2.97273781902552	0	0	Mtf1
Zbtb49_176	6170	3004	3.23349841469486	1.57429971438304	2.05392809587217	1.53737692116453e-250	2.6085243729548e-250	Zbtb49
Fezf1_177	11117	6237	5.82606189240888	3.268610958258	1.78242744909412	8.2568744798635e-319	1.73787590924658e-318	Fezf1
Zkscan1_178	5180	2745	2.71467127846343	1.43856615045987	1.88706739526412	5.41976299015231e-171	7.56883172716374e-171	Zkscan1
Mzf1_179	7744	5975	4.05838115452139	3.1313051908917	1.29606694560669	8.98117665406922e-54	1.02575712689886e-53	Mzf1
Zfp300_180	6177	3047	3.23716688939549	1.59683463040117	2.02723990810633	1.77439796556528e-243	2.95398832685444e-243	Zfp300
Zic1_181	12694	9299	6.65251683567854	4.8733066058748	1.36509302075492	1.20692023443706e-123	1.55075216168948e-123	Zic1
Zbtb1_182	4152	1186	2.17592956528575	0.621544427848964	3.5008431703204	0	0	Zbtb1
Egr3_183	12851	4367	6.73479548253544	2.28860414537641	2.94275246164415	0	0	Egr3
Klf9_184	1112	422	0.5827634095852	0.221156617666326	2.63507109004739	2.61906687983139e-72	3.10355914446508e-72	Klf9
Glis1_185	4919	2462	2.57788957891151	1.29025495899169	1.99796913078798	5.66290447242996e-187	8.22004524405268e-187	Glis1
Prdm4_186	12295	6711	6.44341377774284	3.51701910227183	1.83206675607212	0	0	Prdm4
Zic4_187	10714	6774	5.61486256321568	3.55003537457747	1.58163566578093	3.49175451226578e-206	5.23171354041178e-206	Zic4
Egr2_188	8705	2565	4.56201032413594	1.34423394387234	3.39376218323587	0	0	Egr2
Prdm1_189	17272	8185	9.05169928988811	4.28949506066085	2.11020158827123	0	0	Prdm1
Egr1_190	13411	5111	7.02827345858554	2.67851059927155	2.62394834670319	0	0	Egr1
