motif	observed	background	percent.observed	percent.background	fold.enrichment	pvalue	p.adjust	motif_name
Sp7_222	19359	27441	9.33999131567521	13.2392531480677	0.705477205641194	1	1	Sp7
Zfp128_223	344	287	0.165967096058281	0.138466734211415	1.198606271777	0.0128010475845069	0.0877219074783262	Zfp128
Zfp143_224	6560	9232	3.16495392483234	4.45409369421527	0.710571923743501	1	1	Zfp143
Zic2_225	6885	10939	3.32175423360834	5.27765716215564	0.629399396654173	1	1	Zic2
Zscan20_226	1732	3907	0.835625030153906	1.8849809427317	0.443306885078065	1	1	Zscan20
Zfp238_227	7234	12590	3.49013364210933	6.07420273073769	0.574583002382844	1	1	Zfp238
Zbtb6_228	5604	9354	2.70371978578666	4.51295411781734	0.599101988454137	1	1	Zbtb6
Zic3_229	7756	14043	3.741979061128	6.77522072658851	0.552303638823613	1	1	Zic3
Insm1_230	8439	11400	4.07150094080185	5.50007236937328	0.740263157894737	1	1	Insm1
Sp9_231	19359	27441	9.33999131567521	13.2392531480677	0.705477205641194	1	1	Sp9
Zscan4ps2_232	8117	14850	3.91614801949148	7.16456795484151	0.546599326599327	1	1	Zscan4ps2
Zscan4f_233	8117	14850	3.91614801949148	7.16456795484151	0.546599326599327	1	1	Zscan4f
Egr4_234	5611	7247	2.70709702320645	3.49640565446037	0.774251414378364	1	1	Egr4
Zbtb3_235	7614	11257	3.6734693877551	5.43108023351184	0.676379141867283	1	1	Zbtb3
Klf12_236	12726	18898	6.13981762917933	9.11757610845757	0.673404593078633	1	1	Klf12
Klf14_237	11184	13537	5.39586047184831	6.5310947073865	0.826180098987959	1	1	Klf14
Sp5_238	13727	13784	6.62276258020939	6.65026294205625	0.995864770748694	0.641285590239949	1	Sp5
Zfp652_239	5246	6575	2.53099821488879	3.17219086216047	0.79787072243346	1	1	Zfp652
Zfx_240	2506	7595	1.20905099628504	3.66430260047281	0.329953917050691	1	1	Zfx
Myt1l_241	4808	8212	2.31967964490761	3.96198195590293	0.585484656600097	1	1	Myt1l
Nfya_242	6484	9141	3.12828677570319	4.410189607758	0.709331582977792	1	1	Nfya
Cenpb_243	1055	900	0.508997925411299	0.434216239687364	1.17222222222222	0.000238951095638822	0.00186931653579397	Cenpb
Cux2_244	1710	2478	0.825010855405992	1.19554204660588	0.690072639225182	1	1	Cux2
Onecut3_245	6872	8493	3.3154822212573	4.09755391518309	0.809136936300483	1	1	Onecut3
Lin54_246	7748	7353	3.73811936121967	3.54754667824577	1.05371957024344	0.000544570582332513	0.00404538146875581	Lin54
Cxxc1_247	2296	1124	1.10773387369132	0.542287837120664	2.04270462633452	5.26276014673968e-92	1.55075998990596e-90	Cxxc1
Mbd1_248	733	1136	0.353645004100931	0.548077386983162	0.645246478873239	1	1	Mbd1
Kdm2b_249	598	1081	0.288512568147826	0.521541950113379	0.553191489361702	1	1	Kdm2b
Dmrtc2_250	4616	6569	2.22704684710764	3.16929608722922	0.702694474044756	1	1	Dmrtc2
Dmrt1_251	3970	5636	1.91537607950982	2.71915858541998	0.704400283889283	1	1	Dmrt1
Dmrt3_252	3355	5370	1.61866164905679	2.59082356346794	0.624767225325884	1	1	Dmrt3
Dmrta1_253	4917	6874	2.37226805615863	3.31644714623438	0.715304044224614	1	1	Dmrta1
Dmrt2_254	5170	5138	2.49433106575964	2.47889226612631	1.00622810432075	0.378584734832555	1	Dmrt2
Tfdp2_255	3333	2491	1.60804747430887	1.20181405895692	1.33801686069851	5.16559391419513e-29	7.48587708221065e-28	Tfdp2
Tfdp1_256	3333	2491	1.60804747430887	1.20181405895692	1.33801686069851	5.16559391419513e-29	7.48587708221065e-28	Tfdp1
E2f4_257	7371	4661	3.55623100303951	2.24875765909201	1.5814202960738	4.51920938227379e-140	3.63180099448185e-138	E2f4
E2f3_258	1498	973	0.722728807835191	0.469436001350895	1.53956834532374	1.30261977336652e-26	1.74472102978182e-25	E2f3
E2f2_259	1379	832	0.66531577169875	0.401408790466541	1.65745192307692	6.18058009635375e-32	9.58532071083634e-31	E2f2
E2f7_260	3118	4485	1.50431803927245	2.1638442611087	0.69520624303233	1	1	E2f7
E2f1_261	7917	4362	3.81965552178318	2.10450137501809	1.81499312242091	4.68237384594752e-236	8.27843695963522e-234	E2f1
E2f5_262	1436	1160	0.692816133545617	0.559656486708158	1.23793103448276	2.993205440572e-08	2.69999347904658e-07	E2f5
E2f8_263	4229	6179	2.04033386404207	2.98113571669803	0.684414953876032	1	1	E2f8
E2f6_264	15145	18370	7.30689438896126	8.86283591450765	0.824442025040827	1	1	E2f6
Sfpi1_265	6921	12200	3.33912288319583	5.88604236020649	0.567295081967213	1	1	Sfpi1
Elf3_266	6500	11435	3.13600617551985	5.51695855647223	0.568430257979886	1	1	Elf3
Etv3_267	3471	3780	1.6746272977276	1.82370820668693	0.918253968253968	0.999880274744413	1	Etv3
Etv1_268	3436	2706	1.65774111062865	1.30554349399334	1.26977087952698	3.22510336075917e-21	3.80132182788148e-20	Etv1
Spic_269	6635	15124	3.20113861147296	7.29676267670189	0.438706691351494	1	1	Spic
Etv2_270	4095	5488	1.97568389057751	2.64775413711584	0.746173469387755	1	1	Etv2
Spib_271	15887	26471	7.66488155545906	12.7712645341825	0.600166219636583	1	1	Spib
Elk3_272	3896	2824	1.87967385535775	1.36247406764124	1.37960339943343	4.4108866066365e-40	8.12338283388889e-39	Elk3
Gabpa_273	3591	3891	1.73252279635258	1.87726154291504	0.92289899768697	0.999777701033779	1	Gabpa
Elk1_274	3703	2854	1.78655859506923	1.37694794229749	1.29747722494744	2.03970640042594e-26	2.65161832055372e-25	Elk1
