motif	observed	background	percent.observed	percent.background	fold.enrichment	pvalue	p.adjust	motif_name
Pou1f1_615	8004	4542	4.0061263100994	2.27334154178804	1.76221928665786	2.21148347821739e-219	1.5154661974761e-218	Pou1f1
Pou2f2_616	7939	3723	3.9735928005846	1.86341932190156	2.1324200913242	0	0	Pou2f2
Pou6f2_617	8924	4757	4.46660059861657	2.38095238095238	1.87597225141896	2.40671385375338e-292	2.12753504671799e-291	Pou6f2
Pou5f1_618	20115	8597	10.0678699060032	4.30293201998058	2.33976968710015	0	0	Pou5f1
Pou2f1_619	7830	4051	3.91903660770594	2.02758841606855	1.9328560849173	4.02496169997655e-276	3.35666617243327e-275	Pou2f1
Pou3f1_620	9336	3870	4.67281299738731	1.93699510495811	2.41240310077519	0	0	Pou3f1
Pit1_621	8998	4610	4.50363874791035	2.30737659789583	1.95184381778742	0	0	Pit1
Pit1_622	8802	5504	4.40553770383495	2.75483748260709	1.59920058139535	3.44163046734677e-175	1.83277188743045e-174	Pit1
Pit1_623	15964	6075	7.99022993683494	3.04063185080633	2.62781893004115	0	0	Pit1
Pit1_624	10852	5978	5.43159454237865	2.99208184429963	1.81532285045166	0	0	Pit1
Hsf2_625	3503	3259	1.75330590508223	1.63118011551898	1.07486959189936	0.00143803823943324	0.00205367658103228	Hsf2
Hsf1_626	12324	10866	6.16835340400613	5.43860175981261	1.13418001104362	3.06882521810969e-23	6.13765043621938e-23	Hsf1
Hsf4_627	7006	6504	3.50661181016447	3.25535301360401	1.07718327183272	5.78457750082348e-06	8.75610703891773e-06	Hsf4
Hsfy2_628	1226	1122	0.613632041002232	0.561578425778552	1.09269162210339	0.0164964143339107	0.0227146888959144	Hsfy2
Irf9_629	2610	2240	1.30634553590198	1.12115478943312	1.16517857142857	4.8185110335771e-08	7.67488964627416e-08	Irf9
Irf3_630	7944	7844	3.97609537823959	3.92604382513989	1.01274859765426	0.210715287954666	0.279688159987875	Irf3
Irf1_631	31919	25324	15.9759552338909	12.6750553069662	1.26042489338177	1.7260621678803e-195	1.05230272855599e-194	Irf1
Irf4_632	2684	2600	1.34338368519575	1.30134038059201	1.03230769230769	0.125185579191979	0.168695201228216	Irf4
Irf7_633	13481	13016	6.74744987336957	6.514710151456	1.03572526121696	0.00158867335237779	0.00226514071532575	Irf7
Irf6_634	1732	1020	0.866892899686677	0.510525841616865	1.69803921568627	6.98506129414127e-43	1.62494583790023e-42	Irf6
Irf5_635	2075	1680	1.03856972681862	0.840866092074837	1.23511904761905	5.03532682691195e-11	8.44635467740069e-11	Irf5
Irf2_636	6525	6108	3.26586383975495	3.05714886332923	1.06827111984283	8.44769846025426e-05	0.000123843539616331	Irf2
Naif1_637	1010	400	0.505520686306896	0.200206212398771	2.525	1.39747235167184e-61	3.7549105133067e-61	Naif1
Mef2c_638	13926	10335	6.9701792846632	5.17282801285324	1.34746008708273	9.73026442498228e-126	4.0765657590921e-125	Mef2c
Srf_639	2298	2082	1.15018469023094	1.0420733355356	1.10374639769452	0.000543124069172201	0.000781957128905905	Srf
Mef2a_640	10552	8440	5.28143988307957	4.22435108161406	1.25023696682464	6.36127387889402e-56	1.63469945027393e-55	Mef2a
Mbd2_641	8038	1488	4.0231438381533	0.744767110123427	5.40188172043011	0	0	Mbd2
Mecp2_642	6848	4972	3.42753035626696	2.48856322011672	1.37731295253419	3.37124288157001e-69	9.80321943193385e-69	Mecp2
Mybl2_643	854	626	0.427440263471376	0.313322722404076	1.36421725239617	1.5820091864069e-09	2.59943516874294e-09	Mybl2
Myb_644	1034	819	0.517533059050822	0.409922219886483	1.26251526251526	3.04638553975345e-07	4.71629565173738e-07	Myb
Cdc5l_645	5790	3918	2.89798492447221	1.96101985044596	1.47779479326187	3.73444033007117e-83	1.23180792976974e-82	Cdc5l
Smarcc2_646	11216	8499	5.61378219566153	4.25388149794288	1.31968466878456	3.7822218672408e-88	1.29092051376095e-87	Smarcc2
