parietal_endo_rep1	parietal_endo_rep2	parietal_endo_rep3	parietal_endo_rep4	parietal_endo_rep5	parietal_endo_rep6
Gm26813	0	0	0	0	0	0
Gm973	4	5	2	1	6	8
Sumo1	676	400	231	184	483	440
Nop58	596	339	236	216	497	511
Bmpr2	128	90	46	38	83	102
Fam117b	76	41	34	19	58	40
Ica1l	1	2	0	1	3	3
Wdr12	135	85	69	52	108	101
Carf	16	5	4	6	6	11
Nbeal1	244	148	84	92	146	152
Cyp20a1	85	68	21	22	52	66
Abi2	67	46	31	19	51	58
Raph1	77	45	36	30	54	68
Icos	0	0	0	0	0	0
Pard3b	17	8	6	1	8	6
Pard3bos1	0	0	0	0	0	0
Nrp2	6	4	1	1	4	2
Ino80d	86	43	36	19	61	52
Ino80dos	3	2	1	1	5	5
Gm20342	15	7	6	3	5	5
Ndufs1	154	99	43	46	93	118
Eef1b2	4249	2687	1648	1420	3259	2948
Gpr1	0	0	0	0	0	0
Zdbf2	74	30	21	23	60	49
Adam23	0	1	0	0	1	1
Mdh1b	0	0	0	0	0	1
Fastkd2	62	45	23	20	58	53
Klf7	139	66	58	56	114	119
Gm26649	1	1	1	1	1	2
Creb1	83	46	35	39	71	63
Mettl21a	37	20	16	12	28	35
Ccnyl1	47	20	23	14	24	24
Fzd5	115	70	25	24	44	50
Plekhm3	14	7	5	2	10	11
Cryge	0	1	0	0	0	0
Crygd	0	0	1	0	0	0
Crygc	1	1	0	0	0	0
Crygb	0	0	0	0	0	0
Cryga	0	0	0	0	0	0
D630023F18Rik	3	1	3	0	2	2
Idh1	108	65	38	21	62	76
Pikfyve	53	45	32	26	50	45
Map2	3	4	1	1	1	1
Unc80	1	0	0	0	0	0
Rpe	77	44	21	20	47	36
Kansl1l	34	15	13	11	13	14
Acadl	193	116	80	61	98	127
Myl1	0	1	0	0	0	0
Lancl1	62	48	36	20	40	55
Erbb4	0	0	1	0	0	0
Ikzf2	5	3	3	1	3	7
Spag16	1	0	0	1	0	0
Bard1	17	11	6	2	11	7
Atic	106	62	37	39	79	61
Fn1	172	89	59	84	170	170
Apol7d	2	2	1	0	1	1
Mreg	27	20	24	11	21	25
D230017M19Rik	6	9	4	9	13	11
Pecr	34	30	19	19	51	36
Tmem169	0	1	0	0	0	1
Xrcc5	93	65	37	30	74	65
Smarcal1	30	17	11	7	13	22
Gm39662	0	0	0	0	0	0
Rpl37a	3284	2888	1947	1748	3622	3227
Igfbp2	555	297	102	81	320	251
Igfbp5	250	200	100	90	236	235
C530043A13Rik	21	24	9	8	21	18
X6030407O03Rik	1	0	0	1	0	0
Tns1	1	2	3	0	3	1
Rufy4	0	0	0	0	0	0
Arpc2	1415	928	474	361	1011	1051
Gpbar1	0	0	0	0	0	0
Aamp	335	235	160	115	312	239
Pnkd	229	146	103	84	209	196
Tmbim1	219	115	77	66	130	147
Catip	5	1	1	0	1	4
Slc11a1	0	0	0	0	0	2
Ctdsp1	38	24	23	12	42	32
Vil1	15	1	6	7	17	14
Usp37	99	75	30	25	59	58
Cnot9	95	43	33	28	53	61
Plcd4	0	2	0	0	2	1
Zfp142	32	24	16	6	20	28
Bcs1l	30	20	12	12	28	21
Rnf25	25	16	14	18	38	30
Stk36	2	3	0	2	1	5
Ttll4	58	34	22	15	38	47
Cyp27a1	41	35	16	10	33	19
Prkag3	0	0	0	0	1	0
Wnt6	21	10	3	2	6	1
Wnt10a	2	1	0	0	0	0
Cdk5r2	0	0	0	0	0	0
Fev	0	0	0	0	0	0
Ihh	225	118	72	70	177	186
Nhej1	20	12	4	4	12	17
Slc23a3	12	3	6	5	10	21
Cnppd1	176	106	69	49	126	140
Retreg2	137	105	55	46	112	94
Zfand2b	62	35	29	29	62	52
Abcb6	26	9	8	12	17	21
Atg9a	34	27	18	13	33	30
Ankzf1	34	19	12	18	28	38
Glb1l	7	0	2	3	4	5
Stk16	96	51	35	42	71	76
Tuba4a	125	100	36	40	89	92
Dnajb2	63	27	33	23	48	48
Ptprn	1	0	1	0	2	1
Resp18	0	0	0	1	0	1
Dnpep	227	146	106	75	188	188
Des	3	1	1	3	3	4
Speg	6	5	2	2	5	6
Gmppa	70	48	33	34	75	51
Asic4	0	0	0	0	0	0
Chpf	86	41	33	38	75	61
Obsl1	60	30	34	10	34	51
Tmem198	1	2	1	1	0	0
Inha	8	7	3	2	7	11
Stk11ip	23	13	15	8	17	17
Slc4a3	5	4	8	1	5	7
Epha4	82	43	22	19	40	51
Gm28386	0	0	0	0	0	0
Pax3	5	4	1	2	2	0
Sgpp2	2	1	1	1	1	1
Farsb	64	64	32	29	68	41
Mogat1	16	7	2	1	6	10
X5730419F03Rik	24	4	7	6	13	9
Acsl3	321	85	91	79	129	152
Utp14b	205	65	56	34	94	81
Kcne4	0	0	0	0	0	0
Scg2	2	0	0	1	0	1
Ap1s3	30	27	10	10	16	9
Wdfy1	172	121	58	67	150	147
Mrpl44	104	57	41	32	73	80
Serpine2	44	22	11	8	25	17
Cul3	513	261	135	130	262	258
Dock10	1	0	0	1	0	0
Nyap2	0	2	0	0	0	0
Irs1	12	2	5	2	10	2
Rhbdd1	23	17	9	7	20	21
Gm28940	0	1	0	0	0	0
Col4a4	0	2	3	0	1	2
Mff	231	160	113	78	195	183
Tm4sf20	0	0	0	0	1	0
Agfg1	240	141	87	89	173	171
A030005L19Rik	1	1	0	0	0	3
A030014E15Rik	0	0	0	0	0	0
Slc19a3	0	0	0	0	0	1
Ccl20	3	2	1	0	0	1
Daw1	0	0	0	0	0	0
Sphkap	1	1	0	0	1	0
Pid1	6	2	2	1	5	5
Dner	0	1	0	0	1	1
Trip12	545	312	201	152	315	331
Fbxo36	24	12	9	10	22	21
Slc16a14	1	0	0	0	0	0
C130026I21Rik	2	0	0	0	1	0
Sp110	0	0	0	0	1	1
Sp140	0	1	4	0	1	2
Sp100	4	9	1	1	2	0
A630001G21Rik	0	0	0	0	0	0
Cab39	295	191	92	91	194	212
Itm2c	342	274	149	126	268	244
X4933407L21Rik	1	0	0	1	0	0
X2810459M11Rik	9	4	2	2	13	5
Psmd1	435	297	186	157	362	342
Armc9	16	9	2	1	11	11
B3gnt7	20	12	2	0	2	7
Gm28626	0	0	0	0	0	0
Ncl	3503	1923	1366	1132	2354	2403
Ptma	6418	4160	2841	2457	5299	4933
Pde6d	82	61	35	21	82	65
Cops7b	33	13	14	9	27	21
Nppc	4	2	0	1	1	1
Dis3l2	18	14	7	5	21	28
Ecel1	0	0	0	0	0	0
Prss56	1	0	0	0	0	0
Chrnd	0	0	0	0	0	0
Eif4e2	649	387	260	215	515	479
Efhd1	0	0	2	0	2	0
Gigyf2	187	150	99	65	182	181
Kcnj13	1	0	0	1	3	4
X3110079O15Rik	0	0	0	0	0	1
Ngef	2	0	0	0	0	0
Inpp5d	0	0	1	1	0	1
Atg16l1	57	45	23	21	52	31
Sag	3	1	0	0	2	0
Dgkd	38	27	18	12	25	31
Usp40	38	31	21	9	28	33
Dnajb3	6	9	5	4	7	8
Mroh2a	2	2	1	0	2	0
Hjurp	269	145	121	122	165	166
Spp2	5	2	3	5	26	7
Arl4c	59	37	34	18	37	47
Platr5	1	0	0	1	0	0
Sh3bp4	101	64	31	24	64	73
Agap1	112	76	59	35	91	100
Gbx2	2	2	1	0	0	0
Iqca	0	0	0	0	0	0
Ackr3	20	7	4	4	7	6
Gm28723	0	0	0	0	0	0
Cops8	206	133	81	69	177	174
Col6a3	2	3	0	1	2	2
Mlph	0	0	0	0	0	0
Rab17	4	3	1	4	2	5
Lrrfip1	144	57	47	40	92	98
Rbm44	0	0	0	0	2	1
Ramp1	0	1	0	1	2	0
Ube2f	164	92	50	53	114	114
Gm26683	0	0	1	0	0	0
Scly	32	14	19	17	20	24
Erfe	3	3	0	2	3	2
Ilkap	155	98	53	60	128	121
Hes6	67	56	20	18	56	40
Per2	3	1	3	3	3	4
Traf3ip1	27	28	15	9	24	32
Asb1	10	11	5	9	10	10
Twist2	0	0	1	0	1	0
Hdac4	57	29	18	22	45	53
Gm26720	1	0	0	1	0	3
Ndufa10	377	257	167	133	325	287
Cops9	242	214	167	138	318	291
Gpc1	2	4	0	2	4	5
Ankmy1	0	0	0	0	0	0
Dusp28	24	13	11	4	6	16
Rnpepl1	116	47	35	35	68	62
X9430060I03Rik	4	4	3	5	4	4
Capn10	40	19	15	14	23	21
Gpr35	0	0	0	0	0	0
Kif1a	12	9	2	0	4	7
X2310007B03Rik	0	0	0	0	0	0
Crocc2	0	0	0	0	0	0
Sned1	2	1	0	0	0	0
Mterf4	63	44	26	22	39	44
Gm28535	4	0	0	0	2	2
Pask	5	7	2	5	10	6
Ppp1r7	177	103	59	48	141	113
Hdlbp	2225	1162	824	639	1448	1559
Sept2	20	11	13	12	13	15
Farp2	7	6	5	4	10	8
Stk25	105	99	48	42	90	96
Bok	35	10	8	10	26	14
Thap4	80	47	27	20	43	43
Atg4b	64	57	35	24	58	61
Dtymk	401	264	174	146	338	265
Ing5	175	93	67	50	110	127
D2hgdh	14	10	2	5	4	12
Fam174a	94	52	37	28	54	58
St8sia4	1	0	1	0	2	1
Slco4c1	2	0	2	0	0	2
Panct2	2	5	0	2	0	1
