parietal_endo_rep1	parietal_endo_rep2	parietal_endo_rep3	parietal_endo_rep4	parietal_endo_rep5	parietal_endo_rep6
Fitm1	0	0	0	0	1	1
Psme1	270	209	111	91	206	213
Emc9	44	34	15	15	37	39
Psme2	196	125	58	44	118	140
Rnf31	29	16	13	7	19	21
Irf9	50	54	26	11	37	32
Rec8	9	10	6	6	4	8
Ipo4	101	70	45	48	103	77
Tm9sf1	49	28	23	20	25	38
AC174678.1	2	5	2	1	3	1
Mdp1	133	72	49	41	83	98
Nedd8	885	649	398	314	836	706
Gmpr2	51	34	15	28	46	39
Tinf2	37	23	11	13	28	25
Tgm1	2	0	1	0	0	0
Rabggta	52	37	13	14	42	41
Dhrs1	98	64	34	31	121	90
Nop9	67	37	24	17	56	48
Cideb	5	4	2	5	2	4
Ltb4r2	1	1	0	0	1	0
Ltb4r1	0	0	1	0	1	0
Adcy4	0	0	0	0	1	0
Ripk3	10	7	8	1	10	7
Nfatc4	7	9	4	9	6	13
Nynrin	68	47	30	25	53	57
Gm26751	0	1	1	1	0	2
Cbln3	2	1	0	0	1	0
Khnyn	84	34	32	34	64	55
Sdr39u1	3	3	1	2	5	7
Atp12a	2	0	0	0	0	0
Rnf17	10	5	8	1	5	3
Cenpj	42	26	17	8	23	30
Parp4	26	25	7	8	17	26
Mphosph8	195	113	95	89	179	170
Gm16973	14	7	6	4	6	2
Pspc1	162	117	69	44	108	91
Zmym5	105	74	44	36	110	87
Zmym2	66	62	37	26	58	78
Gja3	0	0	0	0	1	0
Gjb2	3	2	1	1	3	3
Gjb6	0	0	0	0	0	0
Cryl1	18	19	10	7	12	12
Ift88	46	33	20	7	33	34
Il17d	17	9	6	9	13	9
Eef1akmt1	146	107	43	44	115	107
Xpo4	46	35	24	15	34	40
Lats2	45	18	15	19	15	22
Sap18	45	18	23	11	46	26
Ska3	24	9	9	8	21	14
Mrpl57	359	265	181	170	376	374
Zdhhc20	145	84	51	43	124	112
Micu2	126	75	47	35	102	95
Fgf9	1	0	0	0	0	0
Rcbtb1	65	66	18	26	41	50
Phf11d	4	7	1	1	3	5
Phf11c	1	1	2	2	0	2
Setdb2	14	10	5	2	15	12
Cab39l	35	29	14	18	21	43
Cdadc1	34	28	20	13	35	31
Shisa2	4	2	3	1	1	3
Atp8a2	11	10	1	5	6	12
Nupl1	1	1	1	0	0	1
Gm49336	61	50	43	21	45	35
Mtmr6	28	23	12	13	29	27
Amer2	0	1	1	1	2	2
Gm29266	0	0	0	0	0	0
Spata13	5	4	3	1	7	6
C1qtnf9	0	0	0	0	0	0
Mipep	25	18	8	8	25	18
Tnfrsf19	19	11	4	6	14	10
Sacs	19	22	6	8	11	14
Ebpl	166	128	54	66	134	103
Kpna3	134	78	45	42	88	95
Spryd7	37	18	14	11	29	21
Trim13	25	21	7	7	25	18
Kcnrg	0	0	0	1	1	0
Gm27010	8	2	6	3	1	1
Gm26916	0	0	1	0	1	0
Gm27017	1	0	2	0	0	0
Dleu7	2	3	0	0	4	1
Rnaseh2b	121	76	41	40	105	83
Fam124a	33	43	22	21	38	35
Ints6	199	115	70	54	134	136
Wdfy2	29	17	10	6	15	29
Defb42	0	0	0	0	1	1
Ctsb	685	590	262	218	457	438
Fdft1	115	69	52	39	76	69
Neil2	25	21	6	4	29	26
Gata4	471	349	188	176	336	364
Fam167a	7	5	1	1	9	5
Tdh	68	15	22	13	40	36
Mtmr9	16	20	5	4	15	16
Xkr6	18	9	4	6	12	7
Pinx1	88	61	32	21	58	51
Sox7	44	46	9	10	16	21
Msra	23	15	13	6	12	16
Mir124a.1hg	1	0	1	0	0	1
Kif13b	33	36	14	12	31	42
Hmbox1	51	32	22	17	38	41
Ints9	47	35	17	11	31	24
Extl3	40	25	18	10	24	29
Fzd3	29	21	8	15	32	25
Fbxo16	5	6	2	2	1	3
Zfp395	63	31	10	12	35	24
Pnoc	739	885	110	71	68	104
Elp3	80	53	31	36	65	69
Nuggc	1	2	1	2	0	1
Scara5	0	0	1	0	0	0
Pbk	43	22	21	10	36	24
Esco2	102	60	46	42	63	55
Ccdc25	123	107	74	42	156	112
Scara3	0	0	0	0	1	1
Clu	554	547	424	278	663	762
Gulo	61	46	7	2	24	17
Adam2	0	1	0	0	0	0
Ephx2	6	2	0	1	5	6
Ptk2b	7	7	3	2	6	11
Trim35	121	101	45	30	72	77
Stmn4	1	7	0	2	3	2
Adra1a	0	0	1	0	0	0
Dpysl2	6	8	3	0	4	8
Gm5464	0	0	0	0	0	1
Pnma2	1	4	0	0	1	1
Bnip3l	792	521	357	280	642	573
Ppp2r2a	456	270	161	153	298	307
Ebf2	1	0	0	0	1	0
Cdca2	56	29	20	24	42	30
Kctd9	54	21	22	12	26	30
Gnrh1	0	2	1	0	1	0
Dock5	24	18	13	8	11	16
Nefm	32	6	3	11	18	16
Nefl	254	102	113	125	176	176
Adamdec1	0	0	0	0	0	0
Adam28	0	0	0	0	0	0
Stc1	0	0	1	0	2	2
Nkx3.1	0	0	0	0	0	0
Slc25a37	25	24	3	9	17	23
Loxl2	468	371	131	126	224	221
R3hcc1	61	44	26	23	47	37
Chmp7	50	28	21	13	47	53
X4930480K23Rik	1	1	1	0	1	1
Tnfrsf10b	29	14	14	14	16	12
Rhobtb2	14	9	2	0	6	7
Egr3	110	43	26	8	40	59
Bin3	41	46	17	14	34	34
Ccar2	27	14	11	6	23	22
X9930012K11Rik	0	3	0	1	1	2
Pdlim2	5	6	3	4	7	7
Sorbs3	12	4	5	5	12	6
AC151836.1	2	1	2	1	1	1
Ppp3cc	7	6	2	3	10	3
Slc39a14	42	26	21	13	29	44
Piwil2	3	4	1	0	0	2
Polr3d	271	184	112	116	208	200
Bmp1	67	37	19	12	37	42
Lgi3	0	0	0	0	0	0
Reep4	57	45	22	24	42	43
Hr	0	0	0	0	0	0
Nudt18	61	37	17	26	51	50
Fam160b2	22	19	13	12	39	28
Dmtn	6	6	2	0	4	4
Fgf17	0	0	0	0	0	0
Npm2	1	0	0	0	1	0
Xpo7	109	90	36	32	78	84
Dok2	1	4	3	1	7	5
X2410012E07Rik	0	1	0	0	0	1
Gfra2	1	2	0	0	0	3
Fndc3a	505	352	179	164	381	369
Rcbtb2	77	48	25	18	56	65
Gm17233	0	0	0	0	0	0
Rb1	19	24	11	3	17	19
Lpar6	79	45	20	20	67	34
Itm2b	862	656	339	279	664	674
Med4	189	132	63	70	145	115
Nudt15	8	6	4	4	4	4
Sucla2	152	99	71	57	154	124
Gm49164	2	1	1	0	1	0
Esd	544	383	238	171	484	451
Lrch1	26	18	7	7	8	15
Lcp1	67	39	29	23	26	40
Cpb2	1	0	1	1	1	3
Zc3h13	283	186	108	94	276	260
Cog3	41	17	16	11	26	14
Slc25a30	26	18	9	10	12	23
Gm4285	2	8	4	3	5	7
Tpt1	17871	11706	7250	6032	13250	12741
Gtf2f2	147	66	76	51	87	99
Kctd4	1	0	1	1	1	1
Gpalpp1	74	52	30	20	51	54
Nufip1	168	72	62	58	108	109
Tsc22d1	507	324	268	214	433	420
X4930444M15Rik	1	1	0	1	1	1
E130202H07Rik	0	0	0	0	0	0
Serp2	60	47	20	14	53	32
Lacc1	13	6	2	1	6	1
Ccdc122	22	15	4	8	19	20
Enox1	0	0	0	0	0	1
Dnajc15	196	131	71	54	158	150
Epsti1	0	2	0	0	0	0
Tnfsf11	0	0	0	0	0	1
Akap11	73	56	25	19	45	55
Dgkh	27	22	11	8	20	19
Vwa8	18	11	8	3	16	14
Gm49016	0	0	0	0	0	1
Rgcc	10	6	7	3	4	8
Naa16	76	48	32	20	49	47
Mtrf1	21	15	9	10	16	21
Kbtbd7	23	13	8	8	8	10
Kbtbd6	3	2	1	1	5	1
Wbp4	258	147	98	108	206	200
Elf1	467	254	141	108	261	292
Sugt1	437	323	165	157	313	327
Pcdh8	0	0	0	0	2	0
Olfm4	0	0	0	0	0	0
Pcdh17	3	2	2	0	2	1
Gm32913	0	0	0	0	0	0
Diaph3	116	62	64	42	80	77
Tdrd3	26	14	9	9	21	15
Pcdh20	0	0	0	0	0	0
Pcdh9	0	0	3	0	0	0
Dach1	2	1	1	0	1	0
Rpl36a.ps1	16	18	6	11	29	14
Mzt1	84	76	35	28	65	66
Bora	29	13	5	10	10	15
Dis3	119	54	43	34	87	86
Pibf1	59	44	13	19	34	43
Klf5	562	336	127	106	253	236
Klf12	2	0	0	1	0	1
Gm41231	0	0	0	0	0	0
Tbc1d4	5	9	6	0	4	3
Commd6	194	143	73	53	137	180
Uchl3	153	88	70	73	158	134
Lmo7	203	118	77	66	136	168
Kctd12	39	11	9	11	6	11
Gm26778	2	3	1	2	0	1
Cln5	97	55	46	30	67	84
Fbxl3	93	67	35	23	54	66
Mycbp2	343	182	166	139	266	318
Scel	5	0	2	1	3	2
Slain1	10	6	1	3	4	8
Ednrb	27	23	13	11	33	26
Pou4f1	3	4	0	1	1	1
Rnf219	45	29	26	17	37	30
Rbm26	205	179	107	72	167	163
Ndfip2	212	138	77	58	150	136
X5430440P10Rik	0	0	0	0	0	0
Gm35909	0	0	0	0	0	0
Gm10076	18	11	14	9	22	12
Spry2	93	45	25	17	46	52
Trim52	0	0	0	0	1	2
Slitrk1	0	0	0	0	0	0
Slitrk6	0	1	0	0	0	1
Slitrk5	0	0	0	0	0	2
Tpm3.rs7	12	7	4	5	16	9
Mir17hg	28	4	9	9	5	6
Gpc5	0	1	0	0	0	0
Gpc6	260	262	154	104	243	269
Dct	5	2	0	0	1	3
Tgds	40	38	14	15	32	29
Gpr180	182	116	75	52	110	123
Sox21	247	91	77	88	103	98
Gm4675	9	12	9	4	11	10
Abcc4	53	63	17	15	37	30
Cldn10	6	3	4	2	2	0
Dzip1	24	19	7	8	11	13
Gm49179	1	1	1	1	1	3
Dnajc3	997	610	332	337	805	793
AC154760.1	0	3	0	1	4	5
Uggt2	37	24	13	14	15	23
Mbnl2	542	464	222	167	419	473
Rap2a	80	56	36	31	65	52
Ipo5	199	109	71	66	136	124
Farp1	26	16	10	10	27	31
Stk24	248	168	90	79	178	192
Slc15a1	0	2	0	1	0	3
Dock9	29	20	14	10	23	25
X1810041H14Rik	0	1	1	0	0	2
Ubac2	94	52	30	33	57	73
Timm8a2	0	0	0	0	0	0
A330035P11Rik	5	2	6	2	2	4
Tm9sf2	411	245	171	156	274	336
Clybl	34	30	20	10	32	23
AC154683.1	0	0	0	0	1	0
Zic5	34	18	10	4	9	12
Zic2	8	6	4	4	3	3
Gm10837	0	0	0	0	0	0
Pcca	48	32	24	14	35	34
Ggact	24	14	13	10	16	19
Tmtc4	34	22	8	7	22	13
Nalcn	0	0	0	0	0	0
Fgf14	15	13	4	2	6	6
Gm26870	7	3	4	2	2	10
Gm10717	0	0	1	0	0	0
Alkbh8	57	35	25	22	48	45
Cwf19l2	75	50	31	26	61	77
Gucy1a2	1	0	1	0	2	1
Aasdhppt	122	87	59	41	86	105
Kbtbd3	7	6	6	4	8	5
Msantd4	59	43	35	30	68	55
Gria4	2	0	0	0	0	0
Casp4	9	8	0	2	4	6
Casp12	0	0	0	0	1	0
Pdgfd	7	1	7	4	8	6
Dync2h1	37	27	20	17	30	37
Dcun1d5	297	201	114	121	242	265
Tmem123	89	63	35	30	66	85
Birc2	52	27	16	16	41	31
Birc3	1	1	2	1	2	1
Yap1	162	98	70	64	104	94
X9230110C19Rik	8	3	2	2	6	4
Cep126	5	4	1	1	10	9
Trpc6	3	1	3	0	5	2
Pgr	1	0	0	0	0	1
Arhgap42	60	32	36	34	50	71
Gm16833	1	0	0	2	1	0
Cntn5	0	0	0	0	0	0
Jrkl	11	10	6	16	14	18
Ccdc82	13	4	10	4	15	18
Maml2	3	2	1	0	0	0
Mtmr2	53	31	35	22	49	49
Cep57	146	88	70	48	110	133
Fam76b	103	74	59	47	100	94
Sesn3	463	262	207	180	351	375
Endod1	83	54	16	17	37	33
Kdm4d	1	1	1	0	0	0
Cwc15	415	225	192	175	387	336
Amotl1	91	62	45	38	65	68
Fut4	5	2	1	5	3	3
Ankrd49	35	28	24	22	47	37
Mre11a	49	46	21	10	53	41
Gm16302	0	0	0	0	0	0
Gpr83	1	1	0	0	0	0
Izumo1r	1	1	0	0	0	0
Panx1	24	11	8	10	24	22
Vstm5	5	7	1	4	6	6
Med17	75	50	33	30	51	49
X4931406C07Rik	45	24	18	13	33	38
Taf1d	309	205	195	165	281	268
Cep295	82	24	27	29	60	46
Gm16568	1	1	1	0	0	0
Smco4	106	91	54	74	135	125
Slc36a4	62	35	26	24	56	40
Fat3	2	4	4	1	4	0
Chordc1	109	78	41	40	112	97
Naalad2	2	3	1	0	1	2
Zfp558	3	1	2	1	1	1
Muc16	0	0	0	0	0	0
Olfr836	0	0	0	0	1	0
Olfr837	0	0	0	0	0	0
Zfp317	22	24	9	8	17	17
Olfr77	13	7	2	1	4	5
Zfp560	55	54	37	26	59	46
Zfp26	35	20	17	14	25	33
Gm26733	1	1	0	0	2	1
Zfp426	18	19	8	7	28	15
Zfp266	66	44	26	20	68	47
Zfp846	30	10	9	8	15	25
Fbxl12os	5	3	3	2	1	3
Gm26521	3	1	1	0	2	3
Fbxl12	37	22	18	16	38	27
Ubl5	630	557	347	313	771	682
Pin1	468	281	220	190	454	423
Olfm2	5	4	2	1	2	3
Col5a3	1	0	0	0	0	1
A230050P20Rik	2	1	2	2	2	3
Angptl6	7	4	5	3	10	2
Ppan	118	68	60	48	126	100
Eif3g	515	282	236	196	455	397
Dnmt1	166	76	78	57	128	128
S1pr2	12	5	9	8	10	10
Mrpl4	119	68	63	51	131	111
Icam1	8	6	1	2	8	4
Gm47079	0	0	0	0	0	0
Icam4	11	1	3	4	6	8
Icam5	0	0	0	0	0	0
Gm38431	1	0	0	1	0	3
Tyk2	15	10	7	10	11	15
Cdc37	365	227	177	133	332	333
Pde4a	8	6	5	3	9	7
Gm16754	3	5	0	0	8	0
Keap1	174	75	66	56	141	159
S1pr5	0	0	0	0	0	1
Atg4d	50	30	27	16	59	53
Kri1	29	17	21	12	18	29
Cdkn2d	44	33	19	13	53	51
Ap1m2	40	25	20	25	33	38
Slc44a2	4	9	2	2	6	10
Gm36198	2	2	1	0	4	4
Ilf3	174	89	73	49	114	130
Gm16853	2	2	2	0	2	1
Qtrt1	61	44	21	23	45	42
Dnm2	118	78	56	48	105	120
Tmed1	201	123	106	95	177	204
Carm1	109	45	40	38	59	75
Yipf2	69	32	28	26	57	64
Timm29	51	28	24	19	39	36
Smarca4	303	174	109	97	221	224
Gm26511	2	0	0	0	2	1
Ldlr	71	44	41	30	60	49
Spc24	260	141	94	78	214	166
Kank2	34	12	10	19	13	19
Dock6	13	17	8	8	11	17
Angptl8	2	1	4	3	3	9
Rab3d	1	2	4	0	3	9
Tmem205	97	80	46	44	104	87
Ccdc159	0	0	0	1	2	1
Plppr2	3	1	0	3	3	2
Swsap1	8	4	2	1	6	8
Epor	7	5	3	1	8	3
Rgl3	13	5	5	4	7	7
Ccdc151	0	0	0	0	0	0
Prkcsh	597	414	250	269	529	504
Elavl3	5	3	0	0	2	5
Zfp653	13	14	6	9	11	13
Gm16845	6	4	4	0	3	8
Ecsit	38	22	12	11	30	34
Cnn1	3	0	2	0	7	2
Elof1	225	163	93	101	243	214
Acp5	73	41	30	26	47	52
Pigyl	249	174	101	86	238	242
Zfp809	37	32	20	30	45	30
Zfp599	15	10	6	5	16	7
Zfp810	7	4	2	3	9	5
Anln	73	56	45	26	67	63
Rp9	273	189	135	117	295	252
X9530077C05Rik	4	1	3	1	2	0
Bbs9	16	6	12	5	14	11
Bmper	72	64	24	14	46	55
Dpy19l1	39	17	19	13	28	21
Tbx20	11	5	4	3	3	3
Herpud2	86	39	26	29	67	73
Sept7	499	293	208	201	444	460
Eepd1	73	56	32	17	59	48
B3gat1	1	0	0	0	1	0
Glb1l2	31	15	9	1	15	11
Acad8	42	31	25	14	52	39
Thyn1	159	103	65	71	137	148
Vps26b	55	34	17	12	25	44
Ncapd3	73	56	35	32	62	64
Jam3	3	6	4	3	10	7
Gm48796	3	1	1	1	4	3
Igsf9b	7	8	4	3	4	3
Opcml	0	1	0	0	0	1
Ntm	1	0	0	1	1	4
Snx19	20	15	9	11	34	30
Adamts15	3	3	5	3	1	3
Adamts8	0	3	0	1	3	1
Zbtb44	52	40	30	12	32	33
St14	127	46	38	31	80	75
Aplp2	1032	616	481	378	816	941
CT025678.1	2	0	2	0	2	1
Prdm10	21	12	9	7	12	16
Nfrkb	71	38	31	38	63	54
Tmem45b	0	1	1	0	0	1
Barx2	2	1	1	0	3	2
Gm47465	0	0	0	0	0	0
Arhgap32	28	18	10	10	22	23
Kcnj5	0	1	0	0	0	0
Fli1	0	0	0	1	0	0
Ets1	38	25	21	20	42	44
Kirrel3	1	0	1	0	0	0
St3gal4	32	35	24	18	40	48
Dcps	88	64	50	42	85	79
Tirap	44	39	24	16	45	57
Srpr	437	226	226	208	446	438
Foxred1	33	22	17	19	30	22
Fam118b	25	29	16	9	38	43
Rpusd4	23	16	9	10	18	12
Cdon	10	4	5	1	0	3
Ddx25	11	5	12	15	16	21
Pus3	14	13	8	9	21	15
Hyls1	17	11	7	6	5	6
Pate2	0	1	2	0	1	1
Chek1	62	30	18	17	38	27
Stt3a	449	285	207	204	386	380
Ei24	168	100	53	50	111	123
Fez1	1	4	0	3	3	2
Pknox2	0	2	1	0	2	1
Tmem218	68	60	29	31	48	69
Slc37a2	7	1	0	0	3	5
Ccdc15	5	6	7	5	11	12
Hepacam	0	1	0	0	0	0
Robo4	0	0	0	0	0	0
Robo3	2	0	0	0	0	0
Msantd2	56	40	25	16	49	50
Esam	15	20	8	10	20	18
Vsig2	124	102	68	60	151	119
Nrgn	12	5	3	5	8	2
Siae	71	35	24	27	42	51
Spa17	23	15	9	8	18	12
Tbrg1	1510	922	702	550	1281	1263
Olfr889	0	1	0	0	0	2
Olfr904	0	1	1	0	0	0
Vwa5a	36	31	17	18	30	27
Olfr920	8	3	1	1	3	6
AW551984	0	1	0	0	0	0
Olfr976	0	0	0	0	0	0
Olfr983	0	0	0	0	0	0
Olfr985	0	0	0	0	0	0
Olfr986	0	0	0	0	0	0
Zfp202	3	0	2	0	2	2
Scn3b	1	1	1	1	1	1
Gramd1b	11	8	9	6	15	8
Clmp	6	5	5	7	16	17
Hspa8	5441	3280	2345	2098	4231	4154
Jhy	0	0	0	0	0	0
Ubash3b	55	56	33	27	54	66
Gm48742	1	0	1	1	1	1
CT025619.1	1	0	0	0	1	0
Sorl1	111	114	51	35	76	78
Sc5d	95	74	51	34	84	69
Tbcel	43	37	22	18	33	28
Grik4	1	0	4	0	0	0
Arhgef12	152	104	67	62	112	130
Tmem136	14	13	5	6	8	15
Pou2f3	0	0	0	0	2	0
Oaf	212	125	77	64	170	169
Trim29	0	2	1	0	0	0
Nectin1	32	13	13	10	24	23
Thy1	3	2	2	0	1	0
Usp2	23	16	9	7	13	14
Rnf26	46	29	15	15	46	41
Gm26737	2	0	1	0	3	2
Gm10687	0	1	1	0	0	0
Mcam	2	4	2	3	4	7
Cbl	64	43	24	24	61	44
Pdzd3	5	4	4	2	3	2
Nlrx1	3	2	1	2	1	4
Abcg4	0	0	2	0	0	0
Gm48604	7	0	1	3	3	3
Hinfp	24	13	19	13	22	22
C2cd2l	16	11	14	6	12	19
Dpagt1	59	48	31	28	66	62
H2afx	493	344	259	195	449	387
Hmbs	126	98	68	70	162	111
Vps11	46	40	34	28	51	45
Hyou1	154	90	83	70	161	166
Slc37a4	23	10	13	10	20	23
Trappc4	217	157	119	91	246	227
Rps25	3553	2714	1948	1705	3582	3421
Ccdc84	24	14	14	12	21	15
Foxr1	0	0	0	0	1	0
Upk2	0	0	0	0	1	0
C030014I23Rik	5	3	2	0	4	10
Gm47204	1	0	0	1	0	1
Bcl9l	35	29	19	14	32	29
Gm47230	2	0	0	0	0	0
Gm47232	1	0	1	0	0	1
Ddx6	479	287	208	172	342	359
Phldb1	26	14	13	3	19	28
Arcn1	517	259	204	186	366	404
Ift46	79	58	34	39	64	70
Tmem25	0	0	1	0	0	0
Ttc36	0	0	0	0	2	1
Kmt2a	194	114	89	69	117	137
AC061963.1	1	0	0	1	0	0
Atp5l	890	700	601	509	1128	1028
Ube4a	52	36	22	17	52	49
Cd3g	0	0	0	0	0	0
Mpzl2	104	49	24	46	51	66
Mpzl3	7	6	1	2	5	2
Jaml	1	0	0	0	0	0
Scn2b	0	0	0	0	0	1
Tmprss4	0	0	0	0	0	0
Tmprss13	0	0	0	0	0	1
Fxyd6	65	36	8	6	27	15
Fxyd2	0	1	0	0	1	0
Dscaml1	0	2	0	1	2	2
Cep164	128	84	79	53	125	114
Bace1	36	19	19	16	23	38
Gm16536	7	8	2	3	5	10
Rnf214	72	45	26	29	50	49
Pcsk7	33	29	16	22	35	26
Tagln	2	5	7	5	27	10
Sidt2	101	70	33	30	57	77
A830035O19Rik	2	3	1	1	1	1
Pafah1b2	192	153	68	82	188	167
Sik3	61	38	21	33	55	40
Apoa1	71	28	45	128	193	169
Apoc3	1	1	0	2	0	0
Apoa4	7	2	5	3	12	7
Apoa5	0	0	0	1	0	0
Zpr1	88	64	42	44	81	70
Bud13	22	21	13	20	23	24
Gm31816	0	0	0	0	0	0
Cadm1	35	17	23	16	53	45
Nxpe4	2	4	2	0	3	0
Nxpe2	0	0	0	0	0	0
Rexo2	237	172	108	77	237	197
Rbm7	123	80	63	54	122	104
Gm5617	104	86	61	55	119	130
Nnmt	0	0	1	0	0	0
Zbtb16	35	20	21	22	30	37
Htr3a	0	0	0	0	0	0
Usp28	20	14	8	5	17	10
Zw10	34	17	21	20	25	27
Tmprss5	0	0	0	0	0	0
Ttc12	8	4	1	3	1	2
Ncam1	15	16	8	4	10	10
X2310003N18Rik	0	0	0	0	0	0
Rpl10.ps3	18	12	27	34	58	71
Plet1	9	7	6	7	25	21
Pts	105	72	53	41	96	78
Il18	7	15	7	5	15	14
Tex12	0	0	0	0	0	0
Sdhd	278	159	125	92	219	197
Timm8b	552	424	366	286	726	645
AU019823	95	63	63	31	91	84
Pih1d2	7	6	3	3	4	6
Dlat	80	45	34	32	63	56
Dixdc1	1	2	0	1	1	2
X2310030G06Rik	73	52	30	28	56	61
Hspb2	5	1	1	2	3	4
Cryab	370	107	75	81	217	210
X1110032A03Rik	72	33	17	22	68	58
Fdxacb1	17	11	9	9	17	13
Alg9	37	22	10	10	35	29
Ppp2r1b	42	20	20	13	28	33
Sik2	31	15	5	11	24	21
Layn	0	0	0	0	0	1
X4833427G06Rik	0	0	0	0	2	0
Colca2	1	0	0	0	1	1
Arhgap20	0	1	0	0	1	0
Fdx1	177	87	58	35	113	95
Rdx	572	342	262	250	571	562
Zc3h12c	12	7	4	4	8	6
AI593442	0	1	0	0	0	0
Ddx10	91	61	41	28	88	94
Exph5	8	2	3	2	4	7
Kdelc2	32	18	15	8	31	25
X4930550C14Rik	0	0	2	0	2	1
Atm	61	33	21	18	45	53
Npat	120	58	39	31	95	89
Acat1	89	62	50	36	68	60
Cul5	154	94	68	55	119	123
Gm16124	2	2	1	2	4	4
Rab39	1	1	0	0	1	0
Slc35f2	13	6	5	0	1	7
Sln	0	0	0	0	0	0
Elmod1	3	2	1	1	0	2
Tnfaip8l3	0	3	0	0	0	2
Dmxl2	11	11	11	6	16	5
Cib2	5	8	1	2	3	2
Idh3a	113	52	42	41	73	89
Acsbg1	0	0	0	0	0	1
Dnaja4	19	10	8	5	16	9
Wdr61	163	98	69	58	191	163
Crabp1	9	9	2	5	3	6
Ireb2	94	77	51	55	96	105
Hykk	3	6	4	2	10	6
AY074887	2	0	1	0	1	0
Psma4	587	346	285	271	572	519
Chrna5	0	2	0	1	1	2
Chrna3	0	0	0	0	1	0
Chrnb4	0	0	0	0	1	0
Ube2q2	171	96	70	58	144	127
Fbxo22	103	73	54	53	116	136
Nrg4	7	10	5	3	11	6
Tmem266	0	1	0	0	0	3
Etfa	272	166	112	103	234	245
Isl2	4	5	3	1	2	8
Scaper	64	42	29	20	43	53
Rcn2	505	347	209	162	365	358
Pstpip1	1	0	2	0	1	0
Tspan3	318	204	138	130	270	255
Peak1	46	22	22	22	28	29
Hmg20a	48	31	27	14	45	42
Lingo1	2	0	1	0	0	2
Cspg4	1	0	1	0	0	1
Snx33	27	14	12	14	20	26
Imp3	352	237	169	152	338	299
Snupn	14	13	13	6	16	14
Ptpn9	50	27	17	21	31	55
Gm10658	3	3	4	1	5	3
Sin3a	102	45	36	32	67	89
X2700012I20Rik	2	2	1	0	0	2
Man2c1os	8	1	3	4	4	2
Man2c1	28	14	8	12	30	19
Neil1	11	6	0	2	6	6
Commd4	221	125	91	78	190	176
X1700017B05Rik	176	133	86	63	155	182
Ppcdc	13	5	7	4	6	12
Scamp5	30	18	16	13	27	28
Rpp25	37	23	22	19	36	39
Cox5a	1743	1099	781	628	1490	1424
Fam219b	16	17	11	4	20	16
Mpi	16	13	12	11	15	10
Scamp2	172	101	83	61	169	166
Ulk3	3	1	0	0	3	4
Csk	35	25	11	15	33	32
Cyp1a1	0	0	0	0	0	0
Edc3	59	28	12	20	42	52
Clk3	96	60	37	28	76	79
Arid3b	45	25	20	21	39	45
Ubl7	32	19	26	19	33	41
Sema7a	4	1	1	2	1	6
Gm17322	0	0	0	1	0	0
Cyp11a1	0	0	0	0	1	1
Ccdc33	2	1	1	1	2	2
Stra6	51	50	28	14	56	40
Islr	0	1	0	2	2	1
Islr2	10	12	3	4	3	6
Pml	17	14	11	10	13	15
Stoml1	12	7	6	6	13	14
Loxl1	1	2	0	2	1	2
X4930461G14Rik	0	0	0	0	1	1
X6030419C18Rik	0	0	0	1	0	0
Cd276	18	13	5	3	13	15
Nptn	158	104	63	52	119	96
Rec114	6	1	1	0	3	1
Hcn4	0	0	1	0	2	1
Neo1	69	36	23	18	48	44
Gm47271	0	0	1	0	0	0
Adpgk	58	32	30	30	47	50
Bbs4	16	20	11	11	19	17
Arih1	159	98	80	50	112	140
Tmem202	1	0	1	0	1	1
Hexa	253	170	102	105	256	213
Celf6	1	0	0	0	0	2
Parp6	7	6	6	4	3	6
Pkm	1763	1088	935	817	1723	1672
Gramd2	2	0	0	0	0	2
Senp8	13	6	6	3	8	7
Myo9a	62	30	26	12	37	48
Thsd4	0	1	0	0	0	0
Lrrc49	4	6	3	1	5	3
B930082K07Rik	1	0	0	0	0	0
Larp6	0	0	0	0	0	0
Uaca	120	69	55	60	98	107
Gm10655	0	0	0	0	0	1
Tle3	93	62	32	39	53	67
Rplp1	1973	1427	1107	980	2260	1935
Kif23	169	104	79	62	126	125
Paqr5	4	7	4	3	10	12
Glce	34	17	11	11	21	22
Anp32a	299	216	132	129	280	275
Coro2b	5	3	2	1	2	5
Itga11	1	0	0	0	1	0
Fem1b	181	95	78	82	136	127
Gm26609	10	10	7	4	14	14
Cln6	52	32	26	16	42	58
Calml4	6	2	0	0	4	2
Pias1	84	51	40	31	68	74
Map2k5	47	26	16	17	35	41
X2300009A05Rik	55	44	30	22	74	69
Iqch	0	0	0	0	0	0
Aagab	21	12	17	10	19	17
Smad3	37	13	10	15	31	22
Gm36033	1	2	1	0	0	0
Smad6	13	3	1	5	6	5
Zwilch	55	34	15	23	38	33
Rpl4	3189	1939	1512	1300	2876	2637
Snapc5	104	79	46	47	111	126
Map2k1	129	56	42	47	82	89
Gm48855	21	4	4	10	13	18
Uchl4	5	4	5	2	3	3
Tipin	178	114	82	61	164	115
Dis3l	18	11	10	8	15	18
Megf11	1	2	0	0	0	1
Rab11a	599	381	255	205	508	482
Dennd4a	31	36	10	10	17	29
Slc24a1	0	0	0	0	0	0
Ints14	45	26	17	12	34	39
Hacd3	60	31	35	24	38	41
Dpp8	61	39	20	17	46	59
Igdcc4	3	0	5	3	8	9
Igdcc3	10	6	6	3	8	2
