pluripotent_NA18511	pluripotent_NA18856	pluripotent_NA18858	pluripotent_NA18912	pluripotent_NA19140	pluripotent_NA19159	pluripotent_NA19160	pluripotent_NA19210
EXTL1	3	10	163	8	1	1	2	8
SLC30A2	8	6	107	4	0	4	4	1
TRIM63	5	2	20	4	0	0	0	0
PDIK1L	106	293	1346	116	40	51	97	192
FAM110D	92	88	887	48	5	15	40	59
C1orf232	1	13	87	5	0	5	2	8
AL391650.1	11	29	230	7	1	4	11	3
ZNF593	5718	935	58359	947	117	210	2908	1718
CNKSR1	215	34	2516	76	10	16	152	94
CATSPER4	50	2	426	19	0	3	25	15
CEP85	427	418	5231	180	46	72	250	376
SH3BGRL3	7685	4760	146362	3207	755	1497	7059	4678
UBXN11	197	405	4018	121	27	95	133	199
CD52	254	8	4055	21	4	9	175	47
CRYBG2	224	103	4555	115	19	53	201	132
ZNF683	0	2	1	0	0	0	0	0
LIN28A	10281	1228	172813	2831	320	1090	6391	4456
DHDDS	1120	425	14488	335	75	129	559	461
HMGN2	3627	16655	36136	7202	1684	3728	2271	12490
RPS6KA1	1343	135	17757	198	34	72	640	357
ARID1A	3804	2460	40301	1956	389	712	2938	2607
PIGV	328	133	4834	74	17	42	208	172
ZDHHC18	307	163	4550	118	18	46	231	176
SFN	720	9	4921	80	19	43	232	136
GPN2	1018	219	12252	228	38	75	500	342
GPATCH3	465	146	7769	99	20	39	228	164
NUDC	17846	3633	213383	3357	556	1178	9774	5306
NR0B2	0	0	0	0	0	0	0	0
KDF1	792	25	11084	166	23	32	464	177
TRNP1	1373	110	21427	314	70	95	1051	534
TENT5B	3388	96	53472	448	42	106	1319	627
SLC9A1	358	141	4549	162	26	63	186	266
WDTC1	225	312	3245	186	40	65	129	265
TMEM222	477	366	7072	197	42	90	262	284
SYTL1	390	136	6099	148	29	69	290	212
MAP3K6	102	55	1768	37	3	13	52	50
FCN3	2	1	50	0	0	1	3	3
CD164L2	45	1	1026	8	1	2	41	12
GPR3	100	15	2326	24	5	3	41	22
WASF2	3221	1792	44286	1349	223	601	2096	2154
AHDC1	443	501	5143	279	54	121	265	407
FGR	16	2	278	1	0	0	4	2
IFI6	103	272	2428	134	24	52	88	145
FAM76A	1467	389	16721	332	57	124	808	454
STX12	510	471	6408	258	69	126	299	362
PPP1R8	1463	523	15797	377	67	133	749	580
THEMIS2	228	32	3891	39	5	14	101	80
RPA2	3228	1290	46000	776	161	361	1874	1293
SMPDL3B	1370	49	20812	307	37	104	822	494
XKR8	620	134	9619	138	24	67	361	236
EYA3	1040	902	11545	606	125	215	644	805
PTAFR	37	3	293	17	3	7	22	31
DNAJC8	12721	3660	172596	2949	528	1015	6944	4308
ATP5IF1	25829	5178	370944	4941	762	1664	14905	7737
SESN2	934	318	14703	266	21	86	387	394
MED18	298	161	3932	78	27	64	204	233
PHACTR4	2141	2551	27145	1664	356	629	1362	2540
RCC1	2479	534	29363	506	97	185	1395	1169
TRNAU1AP	1600	735	21455	606	131	221	1204	892
TAF12	2350	805	35245	704	118	267	1689	1079
RAB42	278	41	3535	41	11	20	180	70
GMEB1	1718	506	18020	458	62	128	1023	601
YTHDF2	9072	2137	109513	2226	424	791	5037	3762
OPRD1	34	6	513	21	1	7	35	24
EPB41	1631	2513	19875	1376	344	613	1071	2105
TMEM200B	472	18	4891	62	11	3	206	122
SRSF4	7887	3316	91575	2641	562	933	4408	4204
MECR	1047	484	14517	379	68	110	686	540
PTPRU	215	107	2023	117	21	38	151	172
MATN1	9	8	54	18	1	7	3	32
LAPTM5	3	3	30	3	0	0	2	5
SDC3	217	201	2612	75	25	43	119	175
PUM1	5896	3453	61094	2638	510	938	3351	3834
NKAIN1	470	357	5223	274	65	101	414	475
SNRNP40	7247	2016	69998	1544	299	562	3993	2302
ZCCHC17	4985	1521	74034	1370	258	439	3008	2056
FABP3	1174	41	18270	128	6	32	403	108
SERINC2	723	416	10117	304	59	146	587	477
TINAGL1	64	10	1575	52	2	12	74	26
HCRTR1	2	5	8	1	2	2	0	13
PEF1	1916	742	31616	480	87	181	1074	853
COL16A1	56	2	856	12	1	10	21	19
ADGRB2	114	85	1674	41	7	18	38	76
SPOCD1	17	5	320	15	1	3	15	16
PTP4A2	7260	1969	79970	1840	346	735	4450	3260
KHDRBS1	16638	6384	191789	4283	891	1755	9473	7898
TMEM39B	501	351	7195	244	56	98	365	392
KPNA6	3771	704	45410	724	148	236	1986	1129
TXLNA	1024	551	11793	353	67	147	675	523
CCDC28B	1779	617	40112	595	131	158	1203	811
IQCC	114	56	1514	32	2	11	75	38
DCDC2B	3	31	8	11	6	2	0	9
TMEM234	366	157	6116	116	20	30	220	134
EIF3I	14215	3005	149256	2704	436	922	8183	4235
FAM167B	24	3	314	4	0	1	16	10
LCK	687	14	12541	89	10	33	391	264
HDAC1	6360	852	87474	958	130	347	2971	1362
MARCKSL1	33178	15193	359888	10356	2130	4014	19510	14769
TSSK3	17	48	145	26	5	12	11	34
FAM229A	87	29	988	18	5	13	37	18
