pluripotent_NA18511	pluripotent_NA18856	pluripotent_NA18858	pluripotent_NA18912	pluripotent_NA19140	pluripotent_NA19159	pluripotent_NA19160	pluripotent_NA19210
MBL2	0	0	0	0	0	0	0	0
PCDH15	564	221	412	295	33	176	59	1585
MTRNR2L5	0	1	10	0	0	0	1	0
ZWINT	4963	1054	51004	872	133	340	2556	1404
IPMK	935	384	6529	340	103	103	446	725
CISD1	7789	1413	84108	1367	289	418	4152	1901
UBE2D1	2997	951	33117	898	154	268	1805	1283
TFAM	6021	1560	76821	1466	232	529	3054	2211
BICC1	29	214	787	175	36	82	22	182
PHYHIPL	14	171	129	25	32	43	8	76
FAM13C	7	123	94	57	18	19	10	67
SLC16A9	171	503	2054	231	38	145	241	258
MRLN	1	3	23	0	0	1	1	4
CCDC6	1864	1041	22618	1025	199	329	1338	1347
ANK3	907	1490	15792	1568	358	561	675	2303
CDK1	8340	2321	99093	1526	270	586	5216	2641
RHOBTB1	105	495	1028	190	62	98	102	292
TMEM26	1	6	27	2	0	5	3	7
CABCOCO1	11	39	64	11	9	16	1	20
ARID5B	85	615	1064	230	74	135	37	222
RTKN2	1528	1082	13413	600	118	280	1011	1033
ZNF365	5	10	88	3	2	4	5	1
AC067752.1	0	0	0	0	0	0	0	0
ADO	1175	177	13175	219	33	76	621	343
EGR2	57	50	610	83	16	23	53	25
NRBF2	2593	584	33400	723	112	250	1171	978
JMJD1C	6293	6894	79371	5961	1215	2022	3739	8606
REEP3	2037	1679	21733	1119	214	454	1208	1670
CTNNA3	26	1093	222	1037	182	338	21	961
LRRTM3	36	114	145	74	28	38	34	135
DNAJC12	47	110	1106	57	10	14	66	69
SIRT1	2943	574	26304	801	199	296	1362	1476
HERC4	1777	1467	21699	1252	269	466	905	1905
MYPN	0	1	12	1	0	0	0	5
ATOH7	7	8	201	8	0	1	15	1
PBLD	52	151	725	71	13	26	34	106
HNRNPH3	15770	5847	228968	4165	824	1578	9918	6382
RUFY2	563	782	4789	372	83	174	347	563
DNA2	1373	847	12755	552	143	263	800	912
SLC25A16	1038	325	11594	347	81	100	349	437
TET1	9228	2484	74245	2667	662	899	5338	4652
CCAR1	7286	2358	105512	1911	362	671	4746	2933
STOX1	73	363	1187	159	38	60	83	194
DDX50	2169	1629	26494	986	211	336	1599	1362
DDX21	17951	1471	185396	2130	397	624	8455	3732
KIF1BP	2364	587	27187	544	94	186	973	892
SRGN	0	4	13	2	0	0	0	3
VPS26A	2845	1252	36661	872	182	344	1628	1413
SUPV3L1	1213	337	13854	342	69	113	662	538
HKDC1	2	11	71	5	1	2	1	4
HK1	4178	572	53468	821	141	321	2278	1672
TACR2	1	0	51	1	1	1	1	5
TSPAN15	67	171	1165	144	26	59	167	104
NEUROG3	2	0	38	1	1	1	3	5
FAM241B	729	306	11836	208	47	79	588	361
COL13A1	130	105	544	169	27	29	101	196
H2AFY2	1226	2876	6578	1018	279	567	1498	2486
AIFM2	519	38	5543	77	8	23	177	104
TYSND1	647	161	8372	145	22	54	396	265
SAR1A	4069	1182	41980	1051	157	380	2371	1706
PPA1	19148	3784	160188	3337	602	1047	10605	4556
NPFFR1	1	5	7	2	0	0	0	2
LRRC20	312	191	4112	146	35	48	182	217
EIF4EBP2	3581	1364	34266	1156	226	446	2381	1902
NODAL	11673	112	73662	919	289	189	3485	2317
PALD1	533	147	5716	167	30	58	244	320
PRF1	4	0	37	0	0	1	0	1
ADAMTS14	27	8	575	20	4	8	6	50
TBATA	0	1	2	0	0	0	1	0
SGPL1	709	550	7459	380	87	146	442	545
PCBD1	2489	911	51293	864	143	387	1933	1375
UNC5B	2029	108	13077	325	71	53	658	561
SLC29A3	166	99	3522	86	18	38	229	159
CDH23	69	89	715	71	21	27	66	126
C10orf105	2	0	7	2	0	0	2	1
VSIR	6	1	81	1	0	1	4	1
PSAP	7076	2142	119040	1534	382	740	4054	2986
CHST3	67	146	1164	44	15	35	54	87
SPOCK2	53	40	770	8	6	9	21	32
ASCC1	1368	671	16667	444	93	187	766	786
ANAPC16	6480	3130	94102	2442	430	984	4994	3210
DDIT4	4880	1542	73702	1568	374	1058	5359	3044
DNAJB12	1108	437	13224	321	55	104	646	446
MICU1	1736	1548	24677	1157	253	380	1050	1711
MCU	1293	1211	17158	1187	265	414	682	1993
OIT3	0	2	4	2	1	2	0	25
PLA2G12B	3	7	33	4	0	0	0	5
P4HA1	2743	1700	37093	1343	457	634	2818	2551
NUDT13	38	72	1323	50	7	18	77	97
ECD	1317	586	17041	504	103	158	661	705
FAM149B1	207	533	3027	266	52	120	167	385
DNAJC9	2766	1811	32538	846	197	388	1613	1690
MRPS16	11904	1900	114433	1758	292	714	4838	2598
CFAP70	18	72	441	35	8	8	6	58
ANXA7	6060	856	66457	1010	184	306	2650	1342
MSS51	39	47	439	28	8	7	24	72
PPP3CB	1505	1107	16383	750	164	304	891	1150
USP54	409	1486	6550	789	212	285	265	1275
MYOZ1	228	35	8358	61	15	43	179	116
SYNPO2L	7	23	155	2	1	3	2	9
AGAP5	27	43	716	23	2	9	13	35
SEC24C	633	257	7964	177	17	58	305	267
FUT11	258	184	5038	111	19	69	341	232
CHCHD1	8340	2054	103851	1738	292	575	5037	2537
ZSWIM8	225	160	3902	86	18	46	98	148
NDST2	38	84	365	47	16	24	20	91
CAMK2G	810	483	9497	449	80	155	423	635
PLAU	467	45	4581	79	9	31	171	132
C10orf55	4	4	50	1	0	0	3	2
VCL	5021	2914	50163	3507	643	1042	2431	2768
AP3M1	919	705	9944	421	93	155	602	625
ADK	1672	3169	20040	2284	481	865	1344	3723
KAT6B	2564	1610	24967	1220	275	464	1224	1787
DUPD1	0	0	0	0	0	0	0	0
DUSP13	29	2	607	14	1	2	27	22
SAMD8	592	471	5843	322	70	97	311	550
VDAC2	13053	3953	175409	4526	856	1508	7861	7605
COMTD1	3241	117	43692	427	53	115	1001	614
ZNF503	132	783	975	218	57	112	56	283
LRMDA	13	200	336	270	22	57	17	174
KCNMA1	177	83	2899	518	31	127	39	179
DLG5	69	532	672	495	128	172	35	756
POLR3A	1531	439	18817	399	68	147	780	615
RPS24	234735	58071	2572980	47520	9609	17062	131154	78630
ZMIZ1	1002	910	8446	530	125	213	527	1144
PPIF	3921	640	39647	570	102	174	1844	1000
ZCCHC24	136	105	2118	89	12	38	92	118
EIF5AL1	437	49	5733	79	6	22	270	105
SFTPA2	0	0	2	0	0	0	0	0
SFTPA1	0	0	0	0	0	0	0	0
NUTM2B	0	1	0	0	0	0	0	1
NUTM2E	0	0	7	0	0	0	0	1
SFTPD	68	3	754	19	0	8	18	20
TMEM254	778	446	8083	259	65	95	598	441
PLAC9	123	32	2093	89	13	8	134	83
ANXA11	2603	187	30151	531	99	109	1269	558
MAT1A	7	1	470	6	1	0	9	3
DYDC1	12	3	184	6	2	2	7	8
DYDC2	116	103	827	39	11	15	109	87
PRXL2A	3502	3560	30057	1929	478	712	2774	2935
TSPAN14	908	753	9348	514	112	213	788	795
SH2D4B	1	10	23	6	4	4	0	4
NRG3	78	7864	1297	4278	1223	1639	24	7862
GHITM	11003	1922	133966	1643	282	537	5094	2792
C10orf99	1	0	2	0	0	0	1	0
CDHR1	85	6	457	20	5	5	30	24
LRIT2	0	0	0	0	0	0	0	0
RGR	3	3	5	1	0	1	1	1
LRIT1	0	0	2	2	0	0	0	0
CCSER2	934	1431	10774	957	227	373	485	1498
GRID1	0	61	21	35	20	16	2	45
WAPL	2998	1203	33963	1043	214	393	1554	1585
OPN4	0	0	0	1	0	1	0	0
LDB3	23	17	164	11	2	2	15	26
BMPR1A	2184	3258	22439	3654	873	1037	1445	6426
MMRN2	22	8	211	7	3	0	17	35
SNCG	502	108	11669	247	16	46	363	733
ADIRF	22	24	184	7	1	0	12	19
FAM25A	1	0	2	0	0	0	0	1
GLUD1	2219	1196	24688	719	193	288	1341	1371
SHLD2	426	820	4513	703	146	233	273	1011
NUTM2A	0	0	3	1	0	0	0	0
NUTM2D	0	3	2	2	1	0	0	3
MINPP1	990	374	15210	307	40	152	723	589
PAPSS2	641	93	5778	323	36	71	385	516
ATAD1	2228	958	24378	713	157	268	1249	1026
KLLN	12	19	218	10	1	6	3	8
PTEN	1313	1735	16751	1398	272	551	831	2226
RNLS	181	456	4400	280	51	115	171	380
LIPJ	1	2	4	0	0	1	0	1
LIPF	0	0	1	0	0	0	0	1
LIPK	0	1	0	0	0	0	0	0
LIPN	1	0	4	0	0	0	1	0
LIPM	0	0	0	0	0	0	0	0
ANKRD22	3	0	12	1	0	2	0	0
STAMBPL1	53	63	1744	45	7	13	72	32
ACTA2	15	424	681	199	17	101	17	268
FAS	77	104	1341	36	2	13	15	33
CH25H	13	2	631	1	0	1	2	1
LIPA	141	757	10598	266	102	155	333	413
IFIT2	2	27	60	14	1	2	2	20
IFIT3	51	52	1233	29	7	8	15	27
IFIT1B	0	5	0	3	1	4	0	4
IFIT1	89	460	1527	195	106	155	53	194
IFIT5	121	246	1569	77	23	31	80	114
SLC16A12	125	22	424	61	43	8	132	280
PANK1	894	559	9334	413	87	161	590	731
KIF20B	7751	2101	73485	1697	322	632	4478	2926
HTR7	23	25	390	51	11	2	23	141
RPP30	4252	1170	62510	1083	205	379	2617	1584
ANKRD1	8	30	63	137	2	11	8	14
PCGF5	235	334	4953	227	76	96	209	186
HECTD2	190	1928	1328	617	148	194	165	1212
PPP1R3C	34	63	748	31	3	14	52	46
TNKS2	2224	1234	24905	999	194	317	1394	1368
FGFBP3	515	5811	8086	1204	272	691	654	2639
BTAF1	450	1075	5489	672	134	231	331	795
CPEB3	55	228	714	142	39	50	40	228
MARCH5	1466	1223	15495	754	154	284	867	1085
IDE	1015	792	10425	564	113	187	513	849
KIF11	2714	1586	29988	907	156	372	1670	1597
HHEX	180	29	1329	44	22	14	207	141
EXOC6	272	1578	2284	504	161	273	169	834
CYP26C1	3	70	27	19	1	55	1	25
CYP26A1	112	82	1091	478	28	81	511	511
MYOF	66	155	585	160	28	86	27	76
CEP55	913	591	10394	404	82	123	521	551
FFAR4	2	11	19	1	1	2	6	4
RBP4	70	66	557	34	12	14	48	46
PDE6C	0	14	0	3	0	1	0	18
FRA10AC1	1932	901	23796	624	150	234	1365	1091
LGI1	37	509	318	163	69	109	25	284
SLC35G1	152	457	1324	163	39	84	194	284
PLCE1	199	212	1637	167	26	56	105	144
NOC3L	3487	908	36073	764	119	236	1960	1179
TBC1D12	133	270	1961	152	30	62	79	188
HELLS	16565	3390	199324	2901	694	1294	10411	6495
CYP2C18	0	3	28	17	0	2	0	8
CYP2C19	1	0	4	2	0	1	1	4
CYP2C9	0	0	1	1	0	0	0	1
CYP2C8	9	14	101	8	0	1	9	20
ACSM6	11	111	112	44	9	24	8	77
PDLIM1	16265	499	153064	2279	360	599	6633	3713
SORBS1	761	380	7207	623	126	129	319	885
ALDH18A1	1705	595	18879	456	88	159	1009	726
TCTN3	1021	724	12129	407	95	160	648	536
ENTPD1	72	37	1130	76	14	12	56	68
CC2D2B	10	31	320	19	7	11	15	15
CCNJ	352	448	4257	254	56	135	285	444
ZNF518A	2002	1777	23955	1050	229	447	1214	1881
BLNK	0	10	6	4	1	5	0	5
DNTT	26	1	109	1	1	0	7	4
OPALIN	0	5	1	0	0	0	0	0
TLL2	179	119	808	72	62	47	107	411
TM9SF3	5036	1951	55831	1693	330	650	3062	2638
PIK3AP1	184	21	1331	40	17	7	50	120
LCOR	1083	2060	8743	1208	259	461	728	1937
SLIT1	18	513	276	199	67	147	19	321
ARHGAP19	458	753	4416	479	111	182	262	841
FRAT1	538	23	5732	61	20	15	192	78
FRAT2	8468	190	85684	912	120	239	2932	964
RRP12	900	237	12684	199	31	69	457	315
PGAM1	7145	2703	106237	4215	793	1679	4111	8080
EXOSC1	4558	1023	51833	954	146	324	2593	1213
ZDHHC16	1761	401	25041	361	70	120	953	472
MMS19	1279	584	17132	457	89	151	716	741
UBTD1	768	163	11213	192	35	49	325	357
ANKRD2	10	0	54	3	0	0	2	2
HOGA1	0	16	46	9	3	6	3	19
C10orf62	0	1	1	0	0	0	0	0
MORN4	229	673	7802	175	34	99	432	270
PI4K2A	377	185	5414	172	37	67	206	263
AVPI1	387	55	5349	83	16	25	240	107
MARVELD1	487	234	7843	102	19	50	410	222
ZFYVE27	417	243	5813	221	47	78	189	278
SFRP5	132	7	2210	16	2	4	46	30
GOLGA7B	3	2	30	1	0	1	2	1
CRTAC1	19	12	195	23	0	10	7	48
R3HCC1L	467	726	5016	458	91	142	295	687
LOXL4	5	6	123	3	0	1	1	6
PYROXD2	21	145	351	57	4	23	38	83
HPS1	2080	420	29166	428	77	179	1405	618
HPSE2	6	78	66	102	9	79	2	121
CNNM1	43	11	258	12	4	5	47	20
GOT1	2695	836	41603	658	95	188	1538	1047
NKX2-3	1	4	6	4	0	0	0	0
SLC25A28	366	157	6222	95	27	43	241	164
ENTPD7	216	168	2807	149	23	47	114	155
CUTC	2503	678	23399	521	77	166	1191	716
COX15	1136	604	14733	389	75	150	721	551
ABCC2	39	18	579	19	1	15	23	20
DNMBP	622	406	7573	411	74	128	442	524
CPN1	26	6	401	2	0	0	12	14
ERLIN1	761	388	9439	252	67	96	533	419
CHUK	471	309	5063	190	43	74	225	275
CWF19L1	523	375	3817	269	63	106	301	367
BLOC1S2	5024	1003	61490	911	139	420	2060	1401
PKD2L1	4	3	21	0	1	0	0	1
SCD	4715	2183	55640	1385	344	596	3183	2375
WNT8B	14	885	139	45	25	54	4	245
SEC31B	46	214	695	49	17	26	29	174
NDUFB8	13500	5045	153632	4052	775	1435	7235	5997
HIF1AN	929	389	11889	289	49	125	483	392
PAX2	85	345	36	60	6	10	25	138
SLF2	637	655	7526	349	74	141	435	538
MRPL43	5763	1320	72558	1099	236	395	2789	1808
SEMA4G	60	67	581	33	10	10	36	43
TWNK	480	78	6406	84	20	34	255	144
LZTS2	1034	376	13707	272	50	104	533	389
PDZD7	67	19	351	19	4	6	24	21
SFXN3	29	7	308	11	1	2	9	5
KAZALD1	22	89	164	12	6	13	14	39
TLX1	0	6	11	0	0	1	2	3
LBX1	27	1	7	1	0	0	2	3
BTRC	614	1178	6383	752	196	296	376	1056
DPCD	1795	1126	18889	582	136	276	1161	1044
POLL	661	177	8597	153	37	54	411	237
FBXW4	582	401	9363	402	64	124	463	557
FGF8	1560	658	5337	230	80	59	597	447
NPM3	8965	1041	79926	1164	222	358	4736	2373
OGA	2916	1862	26589	1363	278	552	1897	2151
KCNIP2	31	26	481	10	3	6	20	28
ARMH3	374	706	5368	504	111	184	198	814
HPS6	446	66	8073	86	19	26	198	122
LDB1	883	253	10183	211	40	93	408	384
PPRC1	1674	241	19191	355	74	103	785	530
NOLC1	6324	897	65261	1234	187	386	2933	1739
ELOVL3	4	0	57	1	0	0	1	3
PITX3	2	2	44	1	1	0	0	2
GBF1	576	950	7053	591	116	191	297	867
NFKB2	380	62	5865	77	13	29	214	91
PSD	82	65	1953	51	15	15	50	50
FBXL15	1417	377	26202	299	58	128	810	477
CUEDC2	1918	1661	32895	839	220	407	1631	1396
C10orf95	149	11	1546	13	5	6	64	22
MFSD13A	504	64	5850	51	15	17	218	140
ACTR1A	1131	667	19101	402	66	169	631	728
SUFU	75	448	1719	246	48	84	66	389
TRIM8	648	495	7764	222	61	113	395	385
ARL3	4588	3234	66395	1906	392	740	2946	2768
SFXN2	228	357	3454	182	43	60	219	196
WBP1L	452	222	6696	186	45	72	245	312
CYP17A1	0	0	4	0	0	0	0	1
BORCS7	937	1093	11809	354	107	187	610	622
AS3MT	1	477	66	208	36	109	5	345
CNNM2	407	528	6852	382	98	175	240	729
NT5C2	870	991	10656	829	176	260	519	1240
RPEL1	5	0	65	0	0	0	5	0
INA	1112	66	6123	104	39	44	532	250
PCGF6	1567	596	12732	457	86	141	783	698
TAF5	920	228	12293	220	41	58	553	296
ATP5MD	25463	3783	275938	3974	679	1195	12707	5369
PDCD11	3180	565	34774	565	107	161	1801	851
CALHM2	11	11	137	20	1	6	15	5
CALHM1	4	0	45	5	1	0	0	1
CALHM3	9	0	67	2	0	0	4	2
NEURL1	249	30	2829	19	12	12	166	31
SH3PXD2A	438	352	2204	308	77	80	268	454
STN1	606	306	7917	185	42	84	325	295
SLK	1999	914	19318	617	137	207	917	892
COL17A1	8	4	238	6	2	26	10	13
SFR1	789	369	8147	226	56	90	594	350
CFAP43	12	344	195	67	19	62	8	117
GSTO1	11462	1719	138712	3241	503	683	7277	3319
GSTO2	1905	268	18413	296	68	214	1735	969
ITPRIP	109	119	1590	113	20	40	75	95
CFAP58	8	13	59	11	6	6	9	34
SORCS3	39	490	452	242	69	123	10	388
SORCS1	22	370	460	209	49	133	30	420
XPNPEP1	765	377	13554	307	67	129	474	433
ADD3	2444	1886	27988	1086	273	614	1468	1890
MXI1	795	988	7916	681	182	245	769	851
SMNDC1	3410	788	31694	830	157	287	1741	1219
DUSP5	3076	113	20900	396	69	61	1077	538
SMC3	14752	4286	160687	3400	655	1191	8130	5121
RBM20	15	137	506	40	24	55	12	70
PDCD4	1196	1330	13549	689	123	337	788	908
BBIP1	1214	841	17128	430	104	192	761	683
SHOC2	871	851	10412	526	131	192	541	778
ADRA2A	340	15	5839	51	4	8	78	34
GPAM	395	239	4664	131	33	54	284	239
TECTB	0	0	1	1	0	1	0	0
ACSL5	1	3	13	3	2	1	1	15
ZDHHC6	861	335	10907	289	41	107	529	312
VTI1A	567	1715	8017	1384	291	487	340	2196
TCF7L2	2950	2491	51086	2916	364	1040	2114	3982
HABP2	0	1	4	1	0	0	0	1
NRAP	0	10	16	1	1	1	0	4
CASP7	188	195	2484	91	16	37	126	139
PLEKHS1	1	3	0	1	0	0	0	1
DCLRE1A	301	166	3181	115	21	32	194	170
NHLRC2	960	1219	10489	636	166	281	607	1049
ADRB1	7	0	120	1	0	1	6	4
CCDC186	1700	500	17859	492	88	196	961	826
TDRD1	209	6	875	31	10	5	100	47
VWA2	35	8	290	28	4	14	25	27
AFAP1L2	57	62	794	71	8	12	15	44
ABLIM1	709	882	6371	491	101	222	571	858
FAM160B1	283	412	3069	202	43	73	166	322
TRUB1	827	334	9386	222	54	118	425	477
ATRNL1	397	1720	3944	867	362	364	293	1909
GFRA1	17	81	459	82	14	32	10	121
CCDC172	172	13	5618	73	4	33	211	133
PNLIPRP3	0	3	1	0	1	0	0	1
PNLIP	0	0	15	1	0	0	0	0
PNLIPRP1	0	1	5	0	0	1	0	2
C10orf82	350	64	4262	180	9	30	315	151
HSPA12A	158	202	1856	164	28	68	112	204
ENO4	17	159	240	63	16	22	23	76
SHTN1	691	608	6384	548	112	189	471	496
VAX1	3	90	57	5	4	12	4	75
KCNK18	0	0	0	0	0	0	0	0
SLC18A2	88	35	969	34	7	12	42	49
PDZD8	1091	833	14101	567	131	191	772	946
EMX2	123	240	1207	97	35	69	54	172
RAB11FIP2	907	607	10476	421	87	177	493	664
FAM204A	2429	1534	29939	809	190	358	1536	1192
PRLHR	7	0	67	2	0	0	1	0
CACUL1	2709	1170	34707	950	187	311	1544	1527
NANOS1	269	65	3529	56	6	26	156	89
EIF3A	24637	4857	290426	5802	960	1966	15317	8846
DENND10	2838	949	34160	1048	169	361	1552	1662
SFXN4	1621	388	20001	381	61	93	766	401
PRDX3	16386	2875	185308	2290	466	939	8347	4079
GRK5	24	301	560	144	23	58	18	237
RGS10	2856	154	22305	233	105	117	1011	658
TIAL1	4515	1302	49227	1096	235	427	2476	1748
BAG3	519	166	5436	178	27	42	177	210
INPP5F	2239	603	35929	1211	124	380	1477	1256
MCMBP	2173	789	24498	589	125	221	1073	1001
SEC23IP	1580	559	18939	525	116	173	932	708
PLPP4	13	16	90	46	6	6	16	35
WDR11	1159	677	13719	476	122	175	648	669
FGFR2	1392	1656	17632	1487	354	556	879	1796
ATE1	1129	1943	12684	1055	235	405	591	1608
NSMCE4A	3123	1273	38014	894	183	310	2220	1408
TACC2	830	972	11784	515	108	215	477	813
BTBD16	0	3	7	4	0	7	8	14
PLEKHA1	2156	539	18093	583	144	165	1275	1023
ARMS2	0	0	3	0	0	0	0	1
HTRA1	278	537	3711	240	95	125	328	444
DMBT1	0	0	5	0	0	0	0	0
AL603764.2	0	0	1	0	0	0	0	0
C10orf120	0	0	2	0	0	0	0	0
CUZD1	1	5	3	14	3	5	1	34
FAM24B	126	19	1135	11	13	9	45	192
FAM24A	1	0	0	0	0	0	0	0
C10orf88	237	279	2366	168	29	47	218	254
PSTK	387	348	5186	179	50	69	340	277
IKZF5	281	168	3565	118	24	38	167	180
ACADSB	201	256	4227	184	56	52	188	342
HMX3	1	2	28	0	0	0	3	2
HMX2	23	3	511	6	1	5	51	16
BUB3	7567	2437	100482	1715	307	728	4973	3333
GPR26	2	0	46	0	0	1	0	0
CPXM2	52	18	520	136	7	40	47	44
CHST15	290	156	2513	195	33	48	93	215
OAT	6600	361	56089	922	161	267	2264	1405
NKX1-2	1838	76	9080	308	42	98	1017	385
LHPP	748	396	9566	469	75	139	689	597
FAM53B	187	246	1644	163	61	61	117	343
EEF1AKMT2	2503	1292	22535	829	174	330	1424	1282
ABRAXAS2	1435	450	15075	398	80	152	748	569
ZRANB1	1274	521	14908	404	99	170	682	666
CTBP2	9923	3303	101364	4315	746	1193	5040	6667
TEX36	1	3	1	1	0	0	0	2
EDRF1	996	535	12534	411	84	130	572	594
MMP21	1	7	10	4	1	3	2	7
UROS	2144	1028	25293	840	165	245	1484	911
BCCIP	4028	1305	54967	1148	185	419	2469	1622
DHX32	720	1010	7419	473	153	221	492	712
FANK1	117	280	384	171	58	89	64	214
ADAM12	31	82	154	69	44	31	20	73
C10orf90	28	5	117	7	3	2	6	36
DOCK1	853	2071	10457	1369	333	573	604	2877
INSYN2A	5	160	33	111	19	46	4	216
NPS	0	0	0	0	0	0	0	0
FOXI2	4	10	65	2	1	4	3	4
CLRN3	0	3	3	1	0	0	0	0
PTPRE	14	108	107	30	5	21	15	42
MKI67	4574	3652	55485	1612	296	830	2497	2451
MGMT	2788	1572	24909	572	249	383	1228	1731
EBF3	82	53	200	63	31	22	65	172
C10orf143	45	46	1126	41	12	19	30	92
GLRX3	11563	1903	132650	2025	336	655	5904	3135
TCERG1L	65	101	850	186	36	72	84	316
PPP2R2D	1398	777	16809	559	118	191	791	920
BNIP3	17241	2160	150878	5184	1034	1924	15721	7820
JAKMIP3	15	14	119	28	3	5	15	27
DPYSL4	367	358	8128	97	45	117	197	343
STK32C	671	403	10578	158	41	65	393	368
LRRC27	93	199	1004	64	22	39	59	133
PWWP2B	128	73	1485	66	9	20	110	59
INPP5A	426	322	5650	281	50	108	240	489
NKX6-2	136	9	1782	2	2	9	36	41
CFAP46	143	105	1859	46	9	15	48	102
ADGRA1	19	10	281	4	0	0	3	9
KNDC1	174	122	3005	107	38	39	68	247
UTF1	29158	339	262601	579	422	302	9981	5282
VENTX	1964	26	13358	89	59	30	850	537
ADAM8	62	2	1159	3	0	4	13	20
TUBGCP2	2412	830	24351	643	104	221	1297	935
ZNF511	3902	1100	52188	959	161	349	2506	1496
CALY	176	57	5228	33	5	16	65	74
PRAP1	36	8	568	25	2	6	15	51
FUOM	2555	403	41735	541	67	159	1417	756
ECHS1	6871	2709	107526	1827	298	703	4420	2925
PAOX	57	106	1632	76	9	24	61	118
MTG1	2650	1246	31849	858	186	338	1462	1543
SPRN	7	4	94	2	0	1	0	1
SCART1	5	32	44	39	4	15	3	30
CYP2E1	33	4	194	8	0	0	7	6
SYCE1	2	0	11	0	0	0	1	0
FRG2B	0	0	0	0	0	0	0	0
IQSEC3	4	5	116	8	3	7	17	25
SLC6A12	4	8	158	3	0	0	5	2
SLC6A13	3	1	37	1	1	1	1	11
KDM5A	2239	1456	25593	924	192	402	1486	1543
CCDC77	1162	647	11064	400	84	174	750	728
B4GALNT3	100	131	869	268	66	70	72	371
NINJ2	47	24	312	13	4	10	26	37
WNK1	3938	2516	49377	1718	388	649	2583	2917
RAD52	252	302	1986	168	32	55	91	212
ERC1	1291	2826	15382	2214	532	586	827	2868
WNT5B	120	609	1316	476	82	155	90	487
FBXL14	23	239	345	214	39	92	35	300
ADIPOR2	835	960	9663	820	159	249	484	992
CACNA2D4	7	26	86	14	5	6	5	15
LRTM2	0	4	5	0	0	0	0	1
DCP1B	521	375	8655	286	58	87	284	322
CACNA1C	16	289	187	442	55	125	8	279
FKBP4	21292	1548	224157	2188	324	708	12046	1894
ITFG2	858	333	10789	287	53	106	463	218
NRIP2	7	12	40	7	1	3	3	5
TEX52	0	6	2	5	1	0	0	1
FOXM1	2095	627	26772	427	84	145	1223	380
RHNO1	1665	539	21570	405	59	146	1290	352
TULP3	1379	780	15954	434	100	208	722	354
TEAD4	2439	197	34810	379	56	97	988	376
TSPAN9	323	239	4340	254	40	80	187	218
PRMT8	37	60	513	171	46	51	25	78
CRACR2A	16	34	245	43	6	6	18	14
PARP11	305	553	3763	290	77	141	237	290
CCND2	5487	3354	43616	2524	592	1065	5182	2445
TIGAR	561	725	5961	726	119	217	254	550
FGF23	24	20	335	10	1	5	29	5
FGF6	0	1	3	1	0	0	0	0
C12orf4	392	318	4112	247	49	66	208	159
RAD51AP1	3477	1340	44489	868	186	337	2770	828
DYRK4	678	542	8072	273	66	118	384	189
AKAP3	14	28	123	15	1	11	10	13
NDUFA9	4893	947	53292	718	153	232	2206	770
GALNT8	155	263	1352	292	63	67	67	187
KCNA6	0	0	0	0	0	0	0	0
KCNA1	10	0	164	3	0	1	1	1
KCNA5	10	6	170	8	0	0	10	8
NTF3	24	94	227	103	16	35	31	35
ANO2	9	147	260	114	15	30	22	95
VWF	7	17	47	23	0	7	8	13
CD9	26514	686	236485	3051	499	708	15021	5155
PLEKHG6	470	39	4601	119	19	32	261	132
TNFRSF1A	961	329	11803	302	41	110	740	446
SCNN1A	1380	36	12543	317	38	50	662	436
LTBR	38	11	710	30	4	9	45	29
CD27	6	2	128	3	1	2	11	8
TAPBPL	10	8	176	4	1	5	11	12
VAMP1	143	56	2490	32	8	17	70	46
MRPL51	23009	5100	256044	4619	686	1446	13893	6421
NCAPD2	2035	1144	23935	674	142	249	1471	1161
GAPDH	212352	43230	2535850	48136	7914	19459	143860	79131
IFFO1	114	87	2994	30	7	24	103	82
NOP2	90	271	952	276	55	92	58	419
CHD4	4863	3731	61796	2476	453	905	2981	3757
LPAR5	4	3	112	6	0	2	8	1
ACRBP	7	27	392	3	2	7	8	17
ING4	433	668	6636	249	63	148	354	431
ZNF384	547	202	7278	144	36	58	368	210
PIANP	119	48	3905	30	4	25	88	65
COPS7A	1767	392	21673	309	42	117	935	505
MLF2	8845	2104	144579	1935	335	624	5380	3081
PTMS	7427	12611	185946	5419	1292	3006	7687	8955
LAG3	29	26	1188	13	0	7	34	38
CD4	3	54	790	13	2	11	19	44
GPR162	40	98	1289	46	9	30	50	58
P3H3	211	291	7295	145	22	50	298	236
GNB3	49	34	1065	22	0	5	64	40
CDCA3	3279	1009	33784	560	107	205	1785	974
USP5	1645	347	22829	319	59	124	935	550
TPI1	48778	10615	778290	12438	1905	4933	35831	20417
SPSB2	2601	195	27091	172	47	78	826	501
LRRC23	571	431	7317	252	50	89	315	558
ENO2	3389	1129	113639	954	219	299	2459	1209
ATN1	1114	707	16641	328	83	142	764	539
C12orf57	6422	5075	80335	1878	522	1136	6090	4122
PTPN6	475	62	6784	193	21	45	260	301
PHB2	20242	3086	248180	3244	473	1026	10902	5472
EMG1	6646	734	83100	838	119	251	4323	1178
LPCAT3	1212	396	20213	325	63	145	896	585
C1S	74	171	1882	95	19	37	56	128
C1R	90	15	2321	24	2	10	76	42
C1RL	68	284	1809	152	33	71	118	237
RBP5	55	9	958	23	7	7	34	27
CLSTN3	187	193	3969	143	28	42	161	176
PEX5	446	126	7423	123	28	39	343	231
