ecto_rep1	ecto_rep2	ecto_rep3	ecto_rep4	ecto_rep5	ecto_rep6
Pbld1	0	0	0	0	0	0
Atoh7	1	0	0	0	0	0
Mypn	0	0	0	0	0	0
Herc4	70	58	17	16	24	22
Gm26789	5	0	0	0	1	0
Sirt1	198	98	47	30	43	57
Dnajc12	44	30	5	6	16	11
Ctnna3	0	0	0	0	0	0
Lrrtm3	1	3	2	2	1	0
Gm47903	1	0	0	0	0	0
X1110002J07Rik	1	0	0	0	1	0
Gm26576	0	0	0	0	0	0
Reep3	448	297	89	82	134	135
Jmjd1c	269	180	77	56	103	93
Nrbf2	146	91	40	44	58	56
Egr2	42	35	12	9	15	19
Ado	79	46	18	21	27	23
Zfp365	13	7	1	5	5	2
Rtkn2	7	6	6	0	4	4
Arid5b	397	350	70	53	107	131
Tmem26	0	0	0	0	0	1
Rhobtb1	24	12	9	6	8	9
A930033H14Rik	12	3	1	4	0	3
Cdk1	240	174	74	76	105	135
Ank3	190	139	51	47	84	69
Ccdc6	73	42	20	19	32	28
Mrln	0	0	1	0	0	0
Slc16a9	1	1	0	2	1	0
Fam13c	10	3	4	3	1	2
Phyhipl	5	4	4	1	3	1
Bicc1	29	14	9	9	14	14
AC079680.1	0	0	0	0	1	0
Tfam	229	146	68	69	91	79
Ube2d1	109	70	37	36	45	53
Cisd1	401	267	107	105	138	134
Ipmk	67	44	16	13	28	30
Zwint	563	362	162	130	242	254
Gnaz	5	5	2	1	3	4
Rab36	6	4	2	1	4	2
Bcr	68	48	14	16	25	31
Specc1l	109	64	31	23	35	39
Adora2a	1	1	0	0	2	1
Gucd1	18	12	6	2	10	6
Upb1	4	1	0	0	4	1
Snrpd3	651	387	169	208	280	275
Lrrc75b	0	0	0	0	0	0
Ggt1	0	0	0	0	2	2
Ggt5	3	3	1	0	0	0
Susd2	3	2	0	0	1	1
Cabin1	117	89	24	43	41	42
Ddt	197	161	85	84	130	148
Gstt3	63	60	14	18	35	31
Gstt1	4	3	1	2	7	4
Gstt2	22	17	9	8	11	10
Mif	4429	2998	1532	1572	2369	2433
Derl3	6	4	2	3	4	0
Smarcb1	220	174	68	77	118	125
Mmp11	82	71	25	31	29	48
Chchd10	690	510	103	161	217	223
Gm867	0	2	0	0	0	4
Vpreb3	1	0	0	0	1	1
Gm5134	0	0	0	0	0	0
Zfp280b	23	18	7	7	17	19
Slc5a4b	1	0	0	0	0	0
Gm16222	0	1	1	1	0	2
Prmt2	90	57	18	20	25	33
S100b	0	0	0	0	0	0
Dip2a	18	14	6	3	7	10
Pcnt	142	101	39	26	71	60
X1700094J05Rik	0	1	0	0	0	0
Ybey	10	9	6	6	6	10
Mcm3ap	89	48	19	25	29	39
Lss	26	17	5	9	11	16
Ftcd	1	0	0	0	0	0
Col6a2	3	4	5	5	1	2
Col6a1	5	4	5	0	4	2
Pcbp3	18	11	4	8	8	7
Slc19a1	19	15	9	5	9	7
Col18a1	404	230	159	183	204	224
Pofut2	142	93	33	37	65	43
Adarb1	12	7	1	7	2	5
Fam207a	101	59	30	29	35	37
X2810425M01Rik	0	0	0	0	2	1
Itgb2	0	1	0	0	1	0
Pttg1ip	312	231	64	61	110	123
Sumo3	494	344	135	120	162	195
Ube2g2	65	52	21	29	40	28
Tspear	7	1	1	1	2	0
Lrrc3	5	6	5	1	0	5
Trpm2	0	1	0	0	1	1
X1810043G02Rik	35	34	10	12	20	19
Pfkl	484	300	139	119	217	204
Aire	5	2	1	0	3	1
Dnmt3l	15	11	2	5	5	4
Icosl	1	0	0	1	2	0
D10Jhu81e	78	75	18	13	37	41
Pwp2	19	14	6	2	10	14
Trappc10	106	69	27	18	27	32
Gm30122	1	0	0	0	0	0
Agpat3	167	94	28	34	63	49
Rrp1	752	534	200	169	310	302
Cstb	1982	1388	265	314	509	507
X4921516A02Rik	2	0	0	0	0	0
Pdxk	19	11	7	8	9	10
Ilvbl	55	40	14	10	21	20
Syde1	1	1	1	3	1	1
Casp14	8	1	1	0	1	3
Slc1a6	1	1	1	1	1	1
Olfr57	0	0	1	0	0	0
X2610008E11Rik	37	29	14	16	18	27
Plpp2	226	168	43	37	96	76
Mier2	34	21	7	7	13	16
C2cd4c	1	0	0	0	0	0
Shc2	8	2	0	1	3	2
Madcam1	3	1	2	0	1	1
Tpgs1	110	78	27	28	45	44
Cdc34	416	268	95	108	161	173
Gzmm	9	2	0	0	2	3
Bsg	3130	2024	668	653	1228	1270
Hcn2	1	3	0	0	2	0
Polrmt	11	3	7	10	8	11
Fgf22	3	4	0	0	1	0
Rnf126	181	118	41	49	72	99
Fstl3	5	5	0	0	2	5
Palm	47	38	21	14	27	21
Misp	11	5	4	1	7	2
Ptbp1	460	330	110	117	222	197
Plppr3	19	26	7	11	15	15
Gm17134	1	0	0	0	0	2
Prtn3	20	6	6	3	8	9
Med16	55	54	7	14	26	21
R3hdm4	176	160	49	51	85	74
Kiss1r	2	1	1	1	3	2
Arid3a	133	92	45	61	69	54
Wdr18	186	126	64	58	98	105
Tmem259	105	71	30	22	33	44
Cnn2	308	186	73	71	132	110
Abca7	23	19	4	6	6	5
Arhgap45	3	5	2	0	0	3
Polr2e	605	363	151	162	242	261
Gpx4	1513	1087	341	323	506	478
Sbno2	48	36	12	9	17	25
Stk11	190	102	26	31	61	65
Cbarp	58	29	6	11	17	21
Atp5d	2356	1479	463	475	681	739
Midn	232	155	72	58	82	97
Cirbp	804	515	155	160	267	257
X1600002K03Rik	35	26	5	11	5	11
Efna2	30	21	16	13	10	12
Mum1	44	36	15	22	18	19
Ndufs7	559	359	148	157	233	201
Gamt	38	17	11	8	9	9
Dazap1	317	235	95	68	140	155
Rps15	7385	5616	2136	2096	3198	3172
Apc2	4	2	1	2	2	2
X2310011J03Rik	131	86	22	27	47	50
Pcsk4	4	7	2	3	3	5
Reep6	65	44	19	12	26	31
Adamtsl5	27	16	5	8	7	11
Plk5	13	4	0	1	2	2
Mex3d	51	34	10	13	20	13
Mbd3	500	365	144	126	224	241
Uqcr11	862	849	267	311	419	420
Tcf3	211	156	51	64	88	104
Onecut3	1	0	1	0	0	0
Atp8b3	0	1	1	0	0	3
Rexo1	163	137	53	68	58	79
Klf16	23	16	12	7	8	14
Gm26710	1	0	0	0	0	2
Abhd17a	232	139	55	54	85	72
Csnk1g2	244	166	62	73	96	101
Btbd2	110	72	43	15	41	40
Mknk2	92	84	23	26	34	42
Gm26541	2	1	3	2	1	6
Mob3a	29	24	2	11	11	17
Izumo4	17	17	3	2	11	5
Ap3d1	94	86	30	34	42	42
Dot1l	199	106	51	38	59	59
Plekhj1	221	149	48	49	95	83
Sf3a2	61	35	12	13	27	16
Jsrp1	2	2	3	1	2	0
Oaz1	3299	2098	732	700	1156	1144
Lingo3	2	1	0	0	1	0
Lsm7	277	221	115	109	174	187
Sppl2b	30	30	6	6	13	16
Timm13	982	734	247	232	402	345
Lmnb2	47	24	10	9	29	10
Gadd45b	424	185	87	80	102	120
Gng7	7	7	2	0	1	1
Diras1	2	1	0	0	0	0
Slc39a3	38	24	7	12	9	18
Sgta	311	214	87	88	97	139
Thop1	123	50	25	30	37	34
Creb3l3	0	0	0	0	1	0
Map2k2	436	305	110	102	180	179
Zbtb7a	206	150	45	58	65	89
Pias4	98	60	29	23	52	39
Eef2	2931	2025	716	621	1038	1080
Dapk3	158	102	35	45	57	79
Atcayos	3	3	2	3	1	1
Nmrk2	1	0	0	0	0	0
Atcay	0	0	1	0	1	0
Zfr2	8	12	4	4	3	5
Matk	13	7	3	5	8	4
Mrpl54	632	437	134	131	222	252
Apba3	15	18	9	6	4	7
Tjp3	50	39	14	12	26	18
Pip5k1c	28	36	10	10	17	13
Cactin	29	19	8	12	17	14
Tbxa2r	2	2	0	0	0	0
Hmg20b	316	192	100	77	123	115
Mfsd12	11	9	9	5	4	6
X4930404N11Rik	3	1	1	1	1	4
Fzr1	60	47	19	16	27	25
Dohh	163	91	47	53	60	69
Gm48551	7	3	0	1	2	4
Smim24	3	2	2	0	4	3
Nfic	41	28	9	6	19	15
Gm16104	1	0	0	1	0	0
Celf5	10	10	3	4	3	1
Gm16105	0	0	0	0	0	1
Ncln	81	50	15	30	31	31
S1pr4	0	1	0	0	0	0
Gna15	20	17	3	5	5	4
Gna11	236	152	60	55	100	89
Aes	802	555	142	157	262	267
Tle2	10	9	0	2	5	2
Tle6	3	6	1	2	2	1
BC025920	7	1	2	0	1	0
Sirt6	28	17	7	6	11	7
Ankrd24	29	26	10	9	12	16
Gm3055	0	1	0	0	0	0
Zfp873	11	7	4	4	4	9
BC024063	0	2	0	0	0	1
AU041133	10	7	2	5	7	2
AC158605.1	0	0	1	0	0	0
Zfp938	30	13	17	11	16	18
Gm4924	18	12	11	10	6	10
X1190007I07Rik	81	59	27	34	21	46
Tdg	236	184	66	60	85	110
Glt8d2	0	0	0	0	0	0
Hcfc2	23	22	9	4	6	7
Nfyb	197	127	64	57	93	87
X1700028I16Rik	1	0	0	0	0	0
Txnrd1	769	442	147	125	213	202
Eid3	9	9	1	4	1	2
Chst11	18	14	7	6	11	13
Slc41a2	0	0	0	1	1	0
D10Wsu102e	170	105	55	48	71	78
Aldh1l2	5	1	1	0	1	0
Washc4	92	36	19	18	33	35
Appl2	54	54	14	15	17	26
X1500009L16Rik	104	71	49	44	59	57
Nuak1	37	29	24	16	27	22
Ckap4	665	344	127	121	200	213
Platr7	0	0	0	0	0	1
Tcp11l2	85	58	9	5	8	17
Polr3b	34	18	13	10	11	17
Rfx4	4	9	4	2	1	2
Ric8b	28	26	11	8	11	13
Fhl4	1	2	1	1	0	0
Tmem263	74	61	26	32	41	39
Mterf2	25	20	13	12	9	15
Cry1	78	40	9	9	22	22
Btbd11	3	3	2	0	1	3
Pwp1	113	83	29	32	40	45
Prdm4	39	27	9	11	17	16
Ascl4	1	2	0	2	0	1
Rtcb	310	204	82	89	120	137
A230060F14Rik	0	0	0	0	0	0
Fbxo7	45	24	7	7	10	16
Syn3	2	1	2	0	1	4
Timp3	144	77	23	26	54	62
Hsp90b1	1834	1217	596	577	886	838
Ttc41	1	2	1	0	0	1
Nt5dc3	17	7	2	3	8	9
Stab2	1	1	0	0	0	0
Ascl1	2	2	1	1	3	0
Igf1	9	8	8	4	0	2
Pmch	0	0	0	0	0	0
Parpbp	15	9	6	9	6	6
Nup37	93	75	24	41	38	41
Washc3	173	111	42	32	66	61
Dram1	2	1	0	0	1	2
Gnptab	30	19	10	9	10	12
Gm26546	0	0	0	0	0	0
Chpt1	95	63	17	23	29	41
Sycp3	5	6	3	1	1	0
Mybpc1	0	0	0	0	0	0
Spic	0	0	0	0	0	0
Arl1	583	366	114	123	193	188
Utp20	89	65	17	25	27	33
Ano4	0	3	0	0	0	1
Gas2l3	43	35	15	18	19	31
Slc17a8	3	0	0	0	0	0
Scyl2	91	67	34	29	30	43
Actr6	71	46	29	22	38	22
Uhrf1bp1l	117	76	24	23	31	40
Anks1b	6	6	0	1	1	0
Apaf1	57	32	19	19	21	23
Ikbip	84	64	22	22	24	37
Slc25a3	2092	1396	516	525	799	811
Tmpo	557	355	160	183	220	248
Gm26765	2	0	0	0	0	1
Rmst	8	8	3	1	5	0
Gm26700	2	0	0	1	0	0
Nedd1	48	33	16	10	16	17
Cfap54	0	3	1	1	2	1
Gm32468	0	0	0	0	0	0
Cdk17	64	41	11	11	15	19
Elk3	19	16	7	1	7	8
Lta4h	114	75	22	22	33	39
Hal	0	1	0	0	1	0
Amdhd1	2	1	1	0	1	0
Ccdc38	1	0	0	0	0	0
Snrpf	943	730	326	335	482	437
X4933408J17Rik	4	5	0	1	0	0
Ntn4	31	15	5	2	3	8
Usp44	3	2	3	1	0	2
Metap2	734	561	224	234	314	327
Vezt	73	48	19	22	29	23
Fgd6	42	24	6	6	10	18
Nr2c1	72	31	12	19	22	23
Ndufa12	929	672	261	232	368	413
Tmcc3	114	60	12	7	21	16
Cep83	114	89	37	29	37	52
Plxnc1	1	2	0	1	0	3
Cradd	73	39	16	15	15	19
Gm48882	1	2	1	0	1	4
X2310039L15Rik	0	0	0	0	0	0
Socs2	508	312	143	123	189	210
Mrpl42	643	413	156	167	224	260
Ube2n	662	426	173	140	244	235
Nudt4	409	327	124	120	175	193
Gm47708	0	0	0	0	0	0
Gm47725	0	0	0	0	0	0
Eea1	195	119	51	53	72	67
Gm5426	0	0	1	1	0	1
Gm48427	4	3	2	1	2	1
Btg1	826	575	139	158	214	226
Dcn	102	99	36	34	54	71
Lum	7	6	1	1	3	4
Atp2b1	703	414	174	129	273	266
Poc1b	32	23	13	9	11	12
Galnt4	8	9	5	3	5	5
Dusp6	185	85	37	36	59	65
Gm48089	2	0	0	0	0	0
Csl	0	2	0	0	0	0
Kitl	79	57	19	16	27	23
Tmtc3	80	48	22	23	33	35
Cep290	147	104	47	45	39	65
X4930430F08Rik	21	13	7	4	16	15
Mgat4c	2	0	0	0	0	0
Gm47101	1	0	2	0	0	0
Nts	1	5	0	0	0	3
Rassf9	91	81	23	28	33	47
Alx1	1	1	1	1	0	2
Lrriq1	14	13	1	2	12	4
Slc6a15	6	5	2	3	2	0
Tmtc2	15	15	1	1	4	3
Mettl25	23	19	0	7	10	8
Ccdc59	392	297	102	87	130	166
Ppfia2	0	0	3	0	0	1
Acss3	8	12	2	1	6	3
Lin7a	0	1	0	0	1	1
Ppp1r12a	436	308	106	92	183	192
Pawr	218	111	52	48	85	73
Gm36283	2	0	0	0	1	0
Syt1	3	6	1	1	1	2
Nav3	13	1	1	4	1	2
E2f7	25	13	9	13	10	8
Csrp2	483	299	198	184	273	247
Zdhhc17	22	18	10	9	11	16
Osbpl8	68	60	28	31	28	23
Bbs10	6	6	3	4	3	4
Nap1l1	1858	1118	658	710	834	809
Phlda1	931	339	113	99	212	201
Gm28592	0	2	0	0	1	0
Krr1	130	71	31	31	50	47
Glipr1	5	2	1	1	5	1
Caps2	1	0	1	0	0	0
Kcnc2	0	0	0	0	0	0
Atxn7l3b	981	632	285	269	392	424
Trhde	1	1	0	0	0	1
Tbc1d15	250	160	48	42	64	73
Rab21	290	165	42	51	89	79
Tmem19	68	43	23	9	23	19
Thap2	87	61	32	29	29	29
Zfc3h1	101	62	32	27	33	49
Lgr5	18	21	10	7	10	12
Tspan8	111	82	15	15	35	24
Ptprr	0	1	0	0	0	0
X4933416C03Rik	0	0	0	0	0	0
Ptprb	0	0	1	0	0	0
Kcnmb4	20	15	7	6	5	10
Kcnmb4os2	8	2	2	2	4	8
Cnot2	138	88	53	45	58	49
Rab3ip	178	112	41	29	55	54
Lrrc10	0	1	0	0	0	0
Cct2	1694	1094	436	417	613	640
Frs2	85	74	27	24	39	39
Yeats4	246	160	90	83	125	129
Lyz2	0	0	0	0	0	0
Cpsf6	299	163	90	84	105	144
Cpm	168	118	48	38	63	66
Mdm2	481	261	75	65	120	126
Slc35e3	23	17	2	6	9	4
Nup107	52	37	22	23	30	28
Rap1b	526	323	106	93	147	149
Mdm1	31	24	6	8	14	19
Dyrk2	72	49	15	21	27	31
Cand1	175	120	61	44	74	57
X4930477N07Rik	0	0	0	0	0	0
Grip1os3	0	0	0	0	0	0
Grip1	49	31	10	14	19	13
Helb	34	26	8	2	10	14
Irak3	2	1	1	1	0	0
Tmbim4	307	235	69	53	116	103
Llph	579	394	146	148	250	237
Hmga2	471	286	187	202	263	259
X1700006J14Rik	0	0	1	0	1	0
X4930471E19Rik	0	0	0	0	0	0
Msrb3	13	16	4	2	6	6
Gm15910	3	1	2	0	0	1
Lemd3	60	32	11	9	19	21
Wif1	3	2	0	0	0	1
Tbc1d30	11	12	2	0	1	1
Gns	87	56	19	23	31	30
Rassf3	54	27	17	15	28	18
Gm35696	0	0	0	0	0	0
Tbk1	82	47	16	11	21	18
Xpot	108	66	15	25	26	38
D930020B18Rik	0	1	0	0	2	0
BC048403	5	7	1	1	5	1
Srgap1	85	43	10	17	31	43
Tmem5	182	117	41	45	61	66
Avpr1a	0	0	0	0	0	0
Ppm1h	36	22	4	2	6	8
Gm36208	0	0	0	0	0	0
Mon2	61	50	22	17	37	28
Usp15	187	129	61	44	67	66
Fam19a2	3	0	0	0	2	1
Slc16a7	19	16	3	5	5	3
Lrig3	59	46	15	18	27	33
Atp23	26	19	2	11	10	8
Ctdsp2	157	132	47	47	61	71
Avil	1	0	0	0	0	0
Tsfm	188	109	68	57	77	63
Eef1akmt3	1	1	0	1	0	0
Mettl1	115	75	33	34	47	51
March9	72	48	18	34	25	26
Cdk4	1278	814	380	378	572	574
Tspan31	260	163	55	58	82	91
A730063M14Rik	4	7	3	0	3	3
Agap2	0	0	1	0	0	0
Os9	206	145	43	39	71	84
B4galnt1	65	50	14	10	24	21
Slc26a10	13	3	5	4	3	8
Arhgef25	38	29	22	14	17	13
Dtx3	73	53	29	24	36	38
F420014N23Rik	3	0	0	0	0	0
Pip4k2c	87	60	20	16	37	28
Kif5a	7	2	3	3	1	3
Dctn2	538	373	108	126	205	196
Mbd6	46	41	14	16	21	27
Ddit3	55	56	21	18	46	41
Mars	105	79	25	29	47	28
Arhgap9	1	2	0	0	0	3
Gli1	3	7	1	2	3	2
Inhbe	0	0	0	0	0	0
R3hdm2	188	99	61	35	55	81
Stac3	0	1	1	0	1	0
Ndufa4l2	674	425	166	135	287	243
Shmt2	148	92	36	40	55	54
Nxph4	14	12	4	3	7	4
Lrp1	60	48	19	25	22	18
Stat6	64	37	14	14	20	19
Nab2	108	66	11	11	20	38
Nemp1	17	18	8	9	4	9
Gm16230	2	2	0	1	0	0
Myo1a	1	1	0	0	0	0
Tac2	1	8	8	2	7	8
Zbtb39	22	14	2	5	9	7
Gpr182	0	0	0	0	0	0
Prim1	123	78	39	36	37	47
Naca	6524	4259	1476	1386	2245	2185
Ptges3	1280	785	309	309	439	464
Gm47438	10	4	1	2	6	5
Atp5b	1907	1331	490	456	786	806
Baz2a	168	116	48	38	63	67
Rbms2	136	94	19	32	48	47
Gls2	5	5	2	0	3	1
Spryd4	40	28	10	10	23	30
Mip	0	0	3	0	0	1
Gm26847	6	2	1	0	0	1
Timeless	86	56	21	26	44	36
Stat2	12	6	4	4	7	5
Il23a	5	1	1	0	1	3
Pan2	33	25	14	14	11	20
Cnpy2	918	594	236	200	317	357
Cs	235	160	45	61	83	100
Coq10a	29	31	12	6	11	7
Ankrd52	14	8	5	7	14	14
Slc39a5	1	1	1	1	0	2
Nabp2	205	138	47	60	81	89
Rnf41	23	32	13	15	20	23
Smarcc2	137	86	30	25	46	57
Myl6	2970	1994	565	573	1038	933
Myl6b	1	2	1	0	0	1
A430046D13Rik	6	3	1	2	3	5
Esyt1	25	14	10	3	3	8
Zc3h10	20	19	16	12	15	21
Rpl41	7767	6585	2325	2367	3357	3352
Pa2g4	573	380	154	164	241	241
Erbb3	264	129	33	41	70	65
Rps26	9059	7601	2589	2754	3969	4074
Ikzf4	24	8	4	8	9	9
Gm26876	1	0	1	0	0	0
Suox	11	16	4	5	4	12
Rab5b	80	57	23	24	33	38
Cdk2	33	39	16	13	14	30
Pmel	8	4	1	0	4	1
Dgka	78	46	23	19	16	26
Pym1	61	42	12	21	20	29
Gm47093	0	2	0	0	0	0
Mmp19	0	1	1	0	1	0
Tmem198b	20	18	6	8	7	8
Dnajc14	50	37	13	15	29	22
Sarnp	140	114	54	61	71	73
Ormdl2	322	244	67	71	119	103
Gdf11	13	16	8	8	5	6
Cd63	1566	1016	332	290	524	501
Rdh5	8	1	1	1	3	1
Bloc1s1	21	8	1	2	1	5
Itga7	3	0	1	0	0	0
Mettl7b	0	0	0	0	0	0
Neurod4	0	2	0	0	0	0
Tespa1	0	0	0	0	0	0
Gm31793	1	1	1	0	0	0
Insr	55	54	18	11	22	20
Arhgef18	56	42	20	13	14	28
Pex11g	52	35	11	8	18	14
Tex45	0	0	0	0	3	0
Zfp358	63	41	26	20	30	24
Mcoln1	16	11	9	4	12	4
Pnpla6	23	17	6	5	9	12
C330021F23Rik	18	10	5	6	5	8
Camsap3	40	36	18	9	20	20
Xab2	55	33	17	15	30	24
Pet100	101	83	39	30	48	53
Pcp2	0	0	0	0	1	0
Stxbp2	129	98	38	28	49	50
Retn	0	2	0	0	0	1
Fcor	4	5	4	5	4	7
Gm39121	0	0	0	0	0	1
Trappc5	212	135	44	54	77	77
Clec4g	0	0	0	0	0	0
Evi5l	13	14	7	3	2	8
Prr36	16	11	5	5	5	7
Lrrc8e	6	7	1	0	6	3
Map2k7	43	32	15	15	25	29
Snapc2	46	42	16	13	14	21
Ctxn1	112	69	32	35	61	45
Timm44	143	93	48	36	45	79
Elavl1	350	222	86	70	110	127
Ccl25	39	38	14	10	13	25
Cers4	128	85	55	31	46	56
Zfp958	23	17	7	10	7	10
Shcbp1	68	38	28	19	39	43
Efnb2	360	210	92	76	96	102
X4921522P10Rik	0	0	0	0	0	0
Arglu1	661	453	242	249	281	297
Fam155a	1	3	0	0	0	1
Lig4	44	23	7	3	19	16
Abhd13	71	40	8	10	12	22
Tnfsf13b	1	1	0	0	0	0
Myo16	4	1	1	1	0	1
Gm2814	0	0	0	1	0	0
X3930402G23Rik	6	2	3	2	0	2
Gm44956	0	0	0	0	1	1
Irs2	365	202	77	57	84	83
Col4a1	360	220	87	79	139	139
Col4a2	266	188	69	87	113	114
Rab20	26	17	10	4	16	7
Naxd	303	213	75	60	115	108
Cars2	35	16	14	10	13	11
Ing1	230	130	73	74	82	90
Ankrd10	117	82	33	35	64	55
X1700016D06Rik	0	0	0	0	0	1
Arhgef7	62	35	14	22	24	26
Sox1	3	7	4	1	2	0
X4933439N14Rik	0	0	0	0	0	0
Tubgcp3	64	49	16	18	12	30
Atp11a	79	55	13	17	22	34
Mcf2l	8	6	4	4	6	0
F7	0	0	0	0	0	0
F10	1	0	0	0	1	0
Proz	0	0	0	0	0	0
Pcid2	60	49	19	10	20	33
Cul4a	121	81	26	27	37	41
Lamp1	779	529	154	140	224	232
Grtp1	59	48	6	12	17	24
Dcun1d2	30	21	5	7	7	8
Tmco3	33	35	15	10	10	28
Tfdp1	170	104	48	45	63	65
Gas6	39	28	12	4	13	11
Gm5608	1	1	1	0	1	1
Rasa3	23	16	12	6	9	14
X4932443I19Rik	1	2	0	0	0	2
Cdc16	204	134	39	56	76	69
Upf3a	253	153	51	60	84	85
Champ1	74	43	16	15	19	27
Coprs	86	55	19	21	40	30
Fbxo25	27	19	13	7	9	12
Tdrp	22	16	6	7	7	9
Erich1	97	79	32	26	50	45
Dlgap2	0	0	0	0	0	0
Cln8	47	37	12	15	11	18
Arhgef10	46	29	11	11	23	24
Kbtbd11	18	24	6	6	9	14
Myom2	0	0	0	0	0	0
Mcph1	39	23	18	14	17	18
Angpt2	9	5	1	1	4	2
Agpat5	146	107	43	38	65	55
Gm35934	0	0	0	0	0	0
Xkr5	4	5	1	1	1	5
Gm26853	24	28	11	11	15	18
Gm26804	1	1	0	0	0	0
Defb1	14	26	2	3	7	4
Atp7b	13	12	1	1	5	4
Alg11	41	45	16	12	22	34
Nek5	4	2	0	1	1	0
Nek3	12	3	5	7	2	7
Ckap2	88	58	21	20	32	37
Vps36	538	409	137	174	224	233
Thsd1	0	1	0	0	1	0
Slc25a15	27	12	7	7	7	10
Mrps31	142	97	37	31	49	55
Smim19	107	73	16	18	24	20
Slc20a2	51	29	9	13	12	13
Vdac3	630	451	161	171	234	227
Polb	161	115	30	38	48	53
Gm26909	4	2	0	0	0	0
Ikbkb	98	58	21	16	33	43
Plat	25	19	12	7	11	10
Ap3m2	15	8	3	3	7	3
X1700041G16Rik	3	5	3	1	1	1
Kat6a	133	88	34	31	49	64
Ank1	10	2	1	1	1	5
Gpat4	77	62	22	31	28	39
Gins4	140	89	43	40	51	63
Golga7	225	131	50	47	99	65
Sfrp1	90	52	28	27	33	37
Zmat4	2	1	2	0	2	1
Gm26714	0	0	0	0	0	0
Tcim	60	40	10	20	27	35
Adam32	1	1	0	0	0	0
Adam9	28	22	9	7	10	12
Tm2d2	263	171	55	68	97	97
Plekha2	43	37	23	20	16	15
Tacc1	107	92	26	22	33	48
Fgfr1	91	54	32	23	22	49
Letm2	39	22	7	9	11	22
D830025C05Rik	19	11	10	4	7	7
Nsd3	176	132	32	34	47	55
Plpp5	55	28	16	12	22	16
Ddhd2	39	40	18	9	18	23
Gm17484	0	0	0	0	1	1
Bag4	92	64	29	21	30	37
Lsm1	211	130	51	40	77	64
Star	10	9	2	1	0	3
Ash2l	245	168	74	71	89	109
Kcnu1	1	0	1	1	1	0
Hgsnat	69	46	23	11	23	26
Pomk	17	9	6	4	10	4
Fnta	282	177	69	66	107	103
Hook3	171	120	35	30	72	85
Gm45411	0	0	0	0	0	0
Rnf170	66	43	13	23	19	20
Gm45250	7	1	1	3	0	2
Thap1	36	33	10	13	12	14
Zfp703	187	118	37	42	31	48
Erlin2	137	89	24	44	53	66
Proscos	2	4	0	1	0	0
Plpbp	107	73	19	25	30	30
Adgra2	3	5	0	0	1	1
Brf2	43	31	11	7	16	18
Rab11fip1	423	348	68	63	127	116
Got1l1	14	4	0	3	8	2
Adrb3	21	8	7	2	9	4
Gm45470	0	1	0	0	0	0
Eif4ebp1	563	333	167	155	200	233
Unc5d	1	0	0	0	1	1
Dusp26	2	0	2	1	2	2
Rnf122	35	35	14	7	15	16
Tti2	23	28	10	10	12	15
Mak16	258	169	60	81	108	87
Fut10	8	4	1	3	2	2
Nrg1	22	21	6	4	5	10
Gm26578	0	0	0	1	0	0
Wrn	42	30	21	12	15	24
Purg	7	15	3	2	9	11
Tex15	12	11	1	3	3	4
Ppp2cb	179	97	41	45	60	49
Ubxn8	38	34	4	5	17	10
Gsr	215	128	39	44	51	71
Gtf2e2	258	163	73	60	99	112
Smim18	0	1	0	0	0	0
Rbpms	555	325	134	122	237	234
Gm26632	22	11	8	3	11	8
Gm39157	0	0	0	0	0	0
Dctn6	135	110	44	36	56	49
Gm10131	4	1	3	1	3	1
Leprotl1	233	144	49	45	77	87
Saraf	352	235	59	62	122	132
Dusp4	209	93	32	19	41	36
Tnks	139	97	50	32	78	68
Ppp1r3b	8	5	1	7	3	5
Eri1	150	88	38	36	42	47
Mfhas1	27	26	7	10	12	12
Cldn23	326	235	46	34	100	86
Prag1	70	55	12	18	26	26
Gm38414	1	1	0	0	0	0
X4933430A20Rik	0	0	0	0	0	0
Lonrf1	48	27	8	11	16	13
X6430573F11Rik	33	27	5	10	11	10
Dlc1	103	46	26	26	27	38
AI429214	4	1	0	2	0	2
Sgcz	0	1	0	0	0	0
Tusc3	228	138	64	56	85	84
Micu3	36	23	9	8	13	17
Zdhhc2	50	40	19	13	28	15
Cnot7	216	151	43	47	77	78
Vps37a	170	121	40	32	50	56
Mtmr7	30	20	7	4	14	18
Slc7a2	17	10	3	6	5	4
Pdgfrl	20	8	5	7	10	7
Mtus1	85	60	18	6	22	25
B430010I23Rik	15	12	3	2	4	8
Gm16192	2	2	1	0	2	1
Fgl1	9	4	2	1	4	6
Pcm1	499	380	170	130	212	236
Asah1	277	182	53	55	103	88
Frg1	215	138	58	65	85	96
Triml1	2	3	1	0	0	1
Triml2	2	2	1	1	2	0
Zfp42	7	7	2	2	2	3
Fat1	253	151	57	41	70	56
Gm2366	2	0	2	1	1	1
AY512931	4	3	0	0	0	2
Gm6329	0	0	0	0	0	0
Klkb1	0	0	0	0	0	0
Cyp4v3	6	4	2	1	1	4
Fam149a	5	4	0	2	0	2
Tlr3	11	4	1	2	1	2
Sorbs2	48	37	11	11	20	14
Pdlim3	15	4	6	5	5	6
X1700029J07Rik	23	15	10	4	11	5
Ufsp2	93	76	28	32	56	63
Ankrd37	139	78	31	36	52	57
Lrp2bp	0	1	0	0	0	0
Snx25	8	9	1	4	1	3
Cfap97	65	54	20	21	30	30
Slc25a4	1916	1173	559	531	835	836
Acsl1	61	40	11	9	17	17
