ecto_rep1	ecto_rep2	ecto_rep3	ecto_rep4	ecto_rep5	ecto_rep6
Cnppd1	69	41	14	16	29	17
Retreg2	112	100	18	16	42	41
Zfand2b	78	59	18	15	25	35
Abcb6	18	16	2	2	7	10
Atg9a	24	22	8	10	15	14
Ankzf1	46	36	13	16	19	28
Glb1l	2	2	3	3	1	7
Stk16	122	71	24	28	45	54
Tuba4a	103	89	18	17	41	21
Dnajb2	58	42	13	17	22	26
Ptprn	4	3	0	1	0	1
Resp18	0	1	0	0	0	0
Dnpep	199	134	58	40	81	94
Des	13	6	12	4	9	9
Speg	33	20	13	13	23	25
Gmppa	54	45	13	18	24	33
Asic4	0	0	0	0	0	0
Chpf	28	33	8	6	14	15
Obsl1	58	32	14	21	30	22
Tmem198	0	1	0	2	1	1
Inha	6	6	3	5	8	4
Stk11ip	24	14	8	4	4	8
Slc4a3	21	12	11	4	10	12
Epha4	216	146	42	31	50	51
Gm28386	3	2	0	1	2	0
Pax3	7	6	2	8	4	1
Sgpp2	1	4	1	1	2	0
Farsb	68	55	26	19	40	29
Mogat1	0	1	1	0	0	0
X5730419F03Rik	8	0	0	0	0	0
Acsl3	332	259	86	82	125	114
Utp14b	180	101	42	36	58	40
Kcne4	0	0	0	0	0	0
Scg2	3	2	0	0	0	2
Ap1s3	34	22	7	10	9	12
Wdfy1	211	126	40	37	74	71
Mrpl44	124	79	38	25	40	49
Serpine2	202	140	63	38	91	79
Cul3	467	261	100	79	141	167
Dock10	0	1	0	0	1	1
Nyap2	0	1	0	0	0	0
Irs1	24	30	6	6	13	11
Rhbdd1	22	10	5	7	3	9
Gm28940	0	1	0	0	0	1
Col4a4	13	9	3	3	3	4
Mff	230	186	53	49	114	99
Tm4sf20	0	0	0	0	0	0
Agfg1	199	153	50	38	73	73
A030005L19Rik	1	1	0	0	0	0
A030014E15Rik	0	0	0	0	0	0
Slc19a3	1	0	0	1	0	2
Ccl20	7	0	0	0	4	1
Daw1	2	0	0	0	0	0
Sphkap	2	2	0	0	0	2
Pid1	8	12	7	9	4	7
Dner	2	1	0	3	0	1
Trip12	376	224	82	62	120	120
Fbxo36	61	57	15	20	22	29
Slc16a14	0	0	0	0	0	0
C130026I21Rik	2	1	0	0	0	0
Sp110	0	1	0	0	0	1
Sp140	9	6	4	5	7	5
Sp100	3	4	3	2	0	0
A630001G21Rik	5	2	1	0	1	1
Cab39	531	344	91	92	171	178
Itm2c	262	202	64	59	78	103
X4933407L21Rik	0	1	0	0	0	0
X2810459M11Rik	1	1	0	0	0	0
Psmd1	455	327	137	114	204	186
Armc9	21	9	6	9	9	7
B3gnt7	8	9	3	2	4	3
Gm28626	0	0	0	0	0	0
Ncl	3933	2558	1245	1205	1643	1748
Ptma	12340	7866	3727	3626	5022	5451
Pde6d	120	64	25	25	36	45
Cops7b	39	29	19	8	25	22
Nppc	16	2	2	1	3	2
Dis3l2	30	30	6	7	10	14
Ecel1	1	0	1	1	0	0
Prss56	1	0	0	0	1	0
Chrnd	0	0	0	1	1	0
Eif4e2	581	392	145	145	228	206
Efhd1	3	0	1	1	0	0
Gigyf2	177	128	47	37	78	67
Kcnj13	14	6	0	2	2	2
X3110079O15Rik	0	0	1	0	0	0
Ngef	2	3	1	0	3	0
Inpp5d	0	3	0	0	1	0
Atg16l1	35	24	14	5	12	12
Sag	2	0	1	1	0	0
Dgkd	48	29	11	10	25	26
Usp40	42	37	16	14	17	24
Dnajb3	10	6	5	3	3	9
Mroh2a	5	1	4	0	0	0
Hjurp	196	113	62	63	61	88
Spp2	6	3	1	2	6	3
Arl4c	630	380	137	154	205	222
Platr5	2	0	0	0	0	0
Sh3bp4	58	34	20	17	15	22
Agap1	109	73	31	35	36	49
Gbx2	1	2	3	1	1	2
Iqca	1	0	0	0	3	2
Ackr3	70	66	20	17	28	31
Gm28723	4	3	2	1	3	0
Cops8	270	177	64	74	123	103
Col6a3	0	1	4	0	2	2
Mlph	0	1	0	0	0	1
Rab17	8	8	3	1	2	5
Lrrfip1	472	297	100	78	143	142
Rbm44	2	0	0	0	1	1
Ramp1	5	2	0	1	1	3
Ube2f	175	129	28	31	47	56
Gm26683	1	1	0	0	0	0
Scly	23	21	5	1	6	4
Erfe	7	4	2	6	5	2
Ilkap	221	130	47	56	71	83
Hes6	96	76	38	24	51	45
Per2	18	14	5	3	11	11
Traf3ip1	55	44	11	24	32	42
Asb1	7	8	0	4	5	3
Twist2	5	0	2	0	1	1
Hdac4	74	49	15	13	20	27
Gm26720	0	1	0	0	0	0
Ndufa10	606	402	132	128	212	228
Cops9	307	244	113	78	153	155
Gpc1	37	35	14	18	15	19
Ankmy1	1	1	0	1	0	0
Dusp28	33	19	6	11	14	9
Rnpepl1	89	60	18	12	29	28
X9430060I03Rik	7	10	4	1	3	4
Capn10	29	20	11	10	10	19
Gpr35	2	1	0	0	0	1
Kif1a	33	24	8	9	13	22
X2310007B03Rik	32	21	10	0	9	8
Crocc2	0	3	0	0	6	1
Sned1	14	5	0	0	4	3
Mterf4	74	56	23	23	31	41
Gm28535	2	1	0	2	2	0
Pask	12	15	8	6	6	9
Ppp1r7	229	165	73	57	90	101
Hdlbp	760	455	170	140	240	251
Sept2	10	15	5	3	7	10
Farp2	14	10	3	4	0	5
Stk25	184	82	42	38	66	67
Bok	48	26	10	13	20	16
Thap4	46	34	19	17	17	23
Atg4b	96	52	18	19	36	35
Dtymk	446	258	126	120	184	153
Ing5	121	63	39	14	44	41
D2hgdh	15	14	7	7	4	7
Fam174a	106	62	20	25	30	36
St8sia4	2	3	2	2	1	0
Slco4c1	1	4	0	0	1	1
Panct2	1	0	0	0	1	1
D1Ertd622e	21	19	6	6	5	11
Ppip5k2	111	74	41	39	57	48
Gin1	64	38	11	10	17	11
Pam	47	34	14	20	17	21
Gm7967	0	0	0	1	0	1
Cdh20	1	0	0	0	0	0
Rnf152	22	13	6	6	11	4
Pign	42	28	15	8	17	15
X2310035C23Rik	70	60	18	14	27	24
Tnfrsf11a	5	2	0	1	3	3
Gm7160	1	2	0	2	2	2
Zcchc2	46	22	13	4	14	17
Phlpp1	49	54	8	8	17	19
Bcl2	30	18	11	10	13	14
Kdsr	120	84	32	26	39	45
Vps4b	280	204	65	71	134	102
Serpinb5	92	77	8	16	18	12
Serpinb11	237	194	26	33	29	47
Serpinb2	46	24	4	1	4	16
Serpinb8	174	89	16	18	36	37
Gm15389	1	1	0	0	0	0
Cdh7	0	1	0	0	0	0
Dsel	53	26	7	15	11	16
X9330185C12Rik	1	0	3	0	0	2
Cntnap5a	0	1	0	0	0	0
Tsn	718	470	197	171	300	298
Nifk	207	151	54	55	81	84
Clasp1	115	81	22	22	39	49
X2900060B14Rik	134	129	37	23	31	38
Tfcp2l1	24	24	3	4	4	2
Gli2	3	7	2	2	4	3
Inhbb	2	1	0	2	1	1
Ralb	169	106	41	30	64	52
Gm27184	2	0	0	0	0	0
Tmem185b	27	21	5	6	13	4
X3830432H09Rik	0	2	0	0	0	0
Epb41l5	242	157	45	45	77	60
Ptpn4	65	22	11	15	23	23
Tmem177	9	7	13	3	8	6
Sctr	0	0	0	0	0	0
Tmem37	38	21	8	5	12	11
Dbi	1038	734	296	272	477	422
X3110009E18Rik	31	19	3	7	11	7
Steap3	0	3	1	2	0	0
En1	2	2	1	0	0	0
X2610027F03Rik	0	0	0	0	1	0
Insig2	89	72	13	28	44	35
Ccdc93	31	18	4	6	12	14
Htr5b	1	0	0	0	0	0
Ddx18	198	174	85	96	115	119
Dpp10	0	0	0	0	0	1
Actr3	663	417	133	132	225	223
Slc35f5	87	56	23	24	31	25
Gpr39	4	4	0	0	1	0
Lypd1	1	3	1	1	3	1
Nckap5	24	20	11	5	12	11
Mgat5	48	32	13	6	12	10
Tmem163	8	3	0	1	3	1
X2900009J06Rik	2	3	0	2	2	0
Ccnt2	84	69	27	37	46	41
Rab3gap1	106	68	20	28	36	34
Zranb3	36	15	10	4	8	9
R3hdm1	147	107	57	39	59	69
Ubxn4	675	423	148	162	247	234
Mcm6	281	179	83	70	132	134
Dars	261	169	62	68	75	78
Cxcr4	7	5	1	1	3	1
Thsd7b	0	0	0	0	0	0
