early_ectoderm_NA18511	early_ectoderm_NA18856	early_ectoderm_NA18858	early_ectoderm_NA18912	early_ectoderm_NA19140	early_ectoderm_NA19159	early_ectoderm_NA19160	early_ectoderm_NA19210
ALDH4A1	607	13	303	52	37	76	442	28
IFFO2	105	5	41	53	31	46	95	17
UBR4	2626	119	1110	508	392	568	1993	177
EMC1	1387	31	435	142	103	227	1230	66
MRTO4	8561	166	2288	611	399	1055	6236	274
AKR7A3	43	1	10	1	4	9	27	1
AKR7A2	9464	293	3018	770	686	1316	6735	393
SLC66A1	944	20	381	118	46	100	815	29
CAPZB	14183	483	6818	2397	1169	2518	11750	790
MICOS10	12033	421	3842	1937	1238	2387	8483	763
NBL1	461	11	609	60	27	54	279	19
HTR6	8	0	2	0	1	0	2	0
TMCO4	32	2	18	13	5	19	68	4
RNF186	0	0	0	0	0	0	0	0
OTUD3	958	54	453	226	132	326	805	103
PLA2G2E	0	0	0	0	0	0	1	0
PLA2G2A	149	2	464	5	8	12	1602	4
PLA2G5	2	0	1	2	0	0	4	0
PLA2G2D	0	0	0	0	0	0	0	0
PLA2G2F	0	0	0	0	0	1	0	0
PLA2G2C	2	0	1	0	1	3	2	0
UBXN10	134	7	18	24	24	32	146	5
VWA5B1	5	6	1	24	12	6	7	5
CAMK2N1	2645	124	2055	491	455	1092	1886	151
MUL1	1062	31	396	109	82	157	840	32
FAM43B	425	12	90	24	25	51	266	12
CDA	488	6	256	13	7	19	1222	3
PINK1	1156	60	791	236	143	257	1290	67
DDOST	17525	312	5455	1183	631	1564	14257	429
KIF17	226	12	54	30	19	61	217	16
SH2D5	179	1	41	8	3	15	150	7
HP1BP3	13245	521	3958	2004	1820	3799	8393	833
EIF4G3	6120	1081	2050	3717	2816	5218	4321	1537
ECE1	651	42	246	102	79	119	578	61
NBPF3	292	34	8	97	77	123	275	25
ALPL	4713	120	1401	450	247	653	3827	200
RAP1GAP	152	0	50	13	11	29	156	11
USP48	4831	201	1562	846	565	1156	3702	344
LDLRAD2	14	2	4	7	0	6	35	3
HSPG2	956	47	349	246	104	194	931	61
CELA3B	0	0	0	1	1	0	0	3
CELA3A	0	0	0	0	0	0	0	0
CDC42	18099	852	7814	3588	1896	4463	17094	1100
WNT4	343	112	32	571	249	110	1863	27
ZBTB40	709	41	284	129	119	259	438	65
EPHA8	97	0	15	3	1	0	79	2
C1QA	0	0	0	0	0	0	0	0
C1QC	0	0	0	0	0	0	0	0
C1QB	0	0	0	0	0	0	0	0
EPHB2	2583	100	1276	616	509	731	1321	190
LACTBL1	0	0	0	1	0	0	0	0
TEX46	5	0	1	5	3	3	5	1
KDM1A	11645	458	3766	1536	1216	2627	8887	694
LUZP1	3401	134	1422	661	462	936	2616	213
HTR1D	73	0	61	4	2	2	51	4
HNRNPR	39803	1124	12986	4836	3280	8103	26575	2088
ZNF436	302	14	227	44	35	83	194	31
TCEA3	216	9	65	42	19	48	219	43
ASAP3	837	64	198	188	206	419	866	70
E2F2	700	19	81	54	45	127	283	49
ID3	66513	3155	16256	8515	6134	11942	67746	3438
RPL11	307131	8818	120378	30523	23288	49218	246676	13330
ELOA	2296	83	756	277	213	375	1667	111
PITHD1	7058	181	2328	697	470	1061	5333	286
LYPLA2	2081	124	745	431	244	629	1922	153
GALE	2345	43	776	228	138	314	1815	100
HMGCL	1353	67	641	238	154	291	1816	93
FUCA1	497	25	430	127	85	139	725	22
CNR2	4	1	0	4	1	3	3	1
PNRC2	6187	312	2399	1019	725	1883	4450	503
SRSF10	22271	649	5382	2336	1822	4111	13898	1138
MYOM3	0	1	4	2	0	1	6	1
IL22RA1	0	0	2	0	0	2	0	0
IFNLR1	36	3	35	28	28	51	56	10
GRHL3	56	1	53	7	1	4	76	2
STPG1	568	45	192	113	125	122	680	27
NIPAL3	414	13	213	83	62	101	399	30
RCAN3	839	37	328	136	119	176	1020	37
NCMAP	1	3	2	7	6	6	2	1
SRRM1	27420	829	8024	3046	2109	4497	20380	1221
CLIC4	3032	318	1417	1259	737	1708	2451	527
RUNX3	11	0	14	0	0	2	12	0
SYF2	8286	239	3034	895	711	1356	7187	349
RSRP1	2286	142	910	407	284	523	2408	191
RHD	24	20	4	40	22	78	7	24
TMEM50A	12029	393	3951	1257	866	1881	9295	506
RHCE	36	5	12	16	13	11	83	8
MACO1	1939	106	610	487	410	700	1453	203
LDLRAP1	512	16	191	64	21	67	419	26
MAN1C1	271	20	180	65	58	114	226	31
SELENON	2471	81	810	282	228	525	1614	121
MTFR1L	2854	87	814	356	232	468	2272	136
AUNIP	1013	35	326	116	96	178	761	33
PAQR7	160	2	78	16	15	32	192	13
