meso_rep1	meso_rep2	meso_rep3	meso_rep4	meso_rep5	meso_rep6
Erbb4	2	2	1	2	0	3
Ikzf2	23	16	23	10	11	9
Spag16	5	0	2	3	1	2
Bard1	35	10	14	14	13	14
Atic	260	105	130	143	82	118
Fn1	1378	555	1008	911	583	663
Apol7d	9	4	2	3	2	4
Mreg	7	3	6	7	1	4
D230017M19Rik	8	6	3	4	8	5
Pecr	78	36	39	28	44	29
Tmem169	3	2	0	1	1	7
Xrcc5	140	62	67	72	42	50
Smarcal1	45	15	28	17	20	20
Gm39662	0	0	1	0	0	0
Rpl37a	7237	4183	4566	4605	3242	3136
Igfbp2	902	532	431	428	406	377
Igfbp5	781	538	360	334	326	303
C530043A13Rik	0	1	0	0	0	0
X6030407O03Rik	4	0	0	0	0	0
Tns1	86	45	45	39	26	34
Rufy4	2	1	1	0	0	0
Arpc2	2225	929	928	798	629	701
Gpbar1	39	13	9	8	7	14
Aamp	518	237	264	265	204	230
Pnkd	411	207	219	203	140	150
Tmbim1	164	59	57	61	37	48
Catip	4	0	2	4	1	0
Slc11a1	0	0	1	1	1	0
Ctdsp1	68	29	40	35	22	19
Vil1	2	0	0	0	0	3
Usp37	118	73	73	71	45	47
Cnot9	104	39	63	65	39	41
Plcd4	7	3	3	4	0	3
Zfp142	36	14	18	24	17	18
Bcs1l	67	19	36	25	19	21
Rnf25	43	18	29	31	13	24
Stk36	13	1	2	2	6	7
Ttll4	59	25	32	27	25	26
Cyp27a1	8	2	7	1	2	4
Prkag3	1	1	0	0	0	0
Wnt6	20	19	6	5	7	4
Wnt10a	1	4	0	0	0	0
Cdk5r2	1	0	1	0	0	0
Fev	2	0	0	0	0	0
Ihh	3	2	2	0	0	2
Nhej1	8	10	15	6	6	6
Slc23a3	4	3	0	2	0	1
Cnppd1	74	23	35	32	19	26
Retreg2	93	49	37	57	46	34
Zfand2b	84	34	37	30	27	19
Abcb6	46	18	23	16	21	21
Atg9a	42	29	20	24	28	15
Ankzf1	64	38	36	37	34	40
Glb1l	13	6	10	6	2	7
Stk16	216	82	81	83	83	60
Tuba4a	34	16	12	8	18	11
Dnajb2	42	30	26	16	16	22
Ptprn	31	10	24	8	7	10
Resp18	0	1	0	1	0	0
Dnpep	245	134	154	159	123	119
Des	278	100	82	86	73	80
Speg	74	42	45	44	28	36
Gmppa	69	29	39	41	37	28
Asic4	2	1	2	0	0	0
Chpf	90	52	30	39	31	27
Obsl1	90	41	52	42	32	28
Tmem198	1	3	0	3	1	1
Inha	12	5	1	3	4	3
Stk11ip	19	9	11	18	6	10
Slc4a3	21	15	7	5	10	4
Epha4	265	117	115	102	92	90
Gm28386	3	2	2	0	0	0
Pax3	7	10	12	3	4	8
Sgpp2	0	0	1	1	0	0
Farsb	104	43	71	65	52	39
Mogat1	2	0	0	0	1	0
X5730419F03Rik	5	2	0	0	0	0
Acsl3	412	171	209	168	142	134
Utp14b	205	82	98	87	35	44
Kcne4	15	5	7	1	2	4
Scg2	5	12	9	7	2	3
Ap1s3	7	0	4	4	1	6
Wdfy1	190	96	92	101	67	71
Mrpl44	113	42	63	66	50	37
Serpine2	445	228	194	174	110	129
Cul3	723	288	329	297	196	189
Dock10	19	8	7	5	8	3
Nyap2	0	0	0	0	0	0
Irs1	53	30	26	21	13	18
Rhbdd1	17	7	10	8	9	12
Gm28940	0	1	0	0	0	0
Col4a4	5	2	0	1	1	0
Mff	345	171	185	161	138	120
Tm4sf20	1	0	1	0	0	0
Agfg1	237	89	118	82	60	73
A030005L19Rik	1	1	1	1	0	1
A030014E15Rik	2	0	0	0	0	0
Slc19a3	1	2	1	0	0	1
Ccl20	1	0	0	1	0	3
Daw1	0	0	0	0	0	0
Sphkap	31	17	14	7	8	9
Pid1	61	42	34	25	25	24
Dner	9	3	0	5	1	1
Trip12	520	194	266	229	147	170
Fbxo36	46	22	26	22	11	12
Slc16a14	1	0	0	0	0	0
C130026I21Rik	0	0	0	0	0	0
Sp110	0	0	0	2	0	1
Sp140	3	1	4	3	4	1
Sp100	3	6	2	1	1	0
A630001G21Rik	1	0	1	0	0	1
Cab39	290	107	126	127	66	86
Itm2c	372	202	142	142	142	98
X4933407L21Rik	2	2	1	1	0	0
X2810459M11Rik	4	3	2	1	0	2
Psmd1	628	283	329	319	224	211
Armc9	27	17	19	21	20	16
B3gnt7	11	3	5	3	1	9
Gm28626	1	0	0	0	0	0
Ncl	7477	2908	4114	3749	2297	2417
Ptma	18411	7191	8883	8000	6039	6029
Pde6d	143	67	74	81	46	43
Cops7b	87	32	48	39	29	35
Nppc	33	16	5	4	4	3
Dis3l2	35	26	21	21	14	17
Ecel1	3	3	0	3	0	1
Prss56	6	1	0	0	0	0
Chrnd	1	1	0	0	0	0
Eif4e2	855	349	418	292	273	269
Efhd1	3	1	0	1	1	0
Gigyf2	200	113	126	85	65	81
Kcnj13	4	2	0	1	0	3
X3110079O15Rik	1	0	0	0	0	0
Ngef	1	1	1	1	1	0
Inpp5d	1	1	0	0	0	0
Atg16l1	52	22	33	24	14	20
Sag	8	3	6	0	4	4
Dgkd	65	24	26	28	26	25
Usp40	91	46	52	42	30	41
Dnajb3	18	9	9	5	6	3
Mroh2a	1	1	4	2	0	0
Hjurp	313	151	157	149	82	113
Spp2	3	1	9	4	11	6
Arl4c	339	141	132	143	114	120
Platr5	0	1	0	0	1	0
Sh3bp4	62	29	35	36	27	32
Agap1	101	72	62	69	42	41
Gbx2	9	3	2	4	4	2
Iqca	2	1	1	0	1	0
Ackr3	47	29	10	16	17	16
Gm28723	2	1	0	0	2	0
Cops8	514	199	221	213	166	152
Col6a3	484	305	157	155	105	117
Mlph	2	1	0	0	0	1
Rab17	1	0	3	1	0	1
Lrrfip1	343	107	156	149	116	106
Rbm44	5	0	1	1	1	0
Ramp1	14	5	5	7	5	5
Ube2f	223	80	114	85	68	82
Gm26683	0	0	1	0	0	0
Scly	29	11	19	13	12	11
Erfe	5	1	2	1	2	2
Ilkap	311	146	163	190	112	101
Hes6	105	41	40	38	26	23
Per2	15	6	8	8	2	5
Traf3ip1	57	17	28	39	24	27
Asb1	19	6	9	8	9	3
Twist2	129	46	46	46	45	36
Hdac4	122	50	53	55	45	41
Gm26720	4	0	3	4	0	2
Ndufa10	767	361	351	367	261	254
Cops9	306	177	237	238	162	158
Gpc1	100	60	44	41	36	41
Ankmy1	6	4	5	1	2	0
Dusp28	24	11	11	9	9	9
Rnpepl1	49	28	28	40	23	14
X9430060I03Rik	18	6	8	7	7	7
Capn10	39	17	26	29	14	14
Gpr35	1	2	0	0	0	0
Kif1a	54	31	17	21	16	11
X2310007B03Rik	0	0	0	0	0	0
Crocc2	4	1	2	1	1	2
Sned1	75	45	40	30	16	30
Mterf4	43	33	26	34	28	26
Gm28535	6	3	2	3	2	0
Pask	35	19	18	20	12	11
Ppp1r7	339	132	158	142	115	104
Hdlbp	1338	527	633	579	399	459
Sept2	51	17	20	17	14	9
Farp2	17	9	9	12	11	5
Stk25	212	87	100	87	64	68
Bok	160	49	53	44	46	28
Thap4	76	34	41	33	26	33
Atg4b	96	47	38	55	34	40
Dtymk	833	357	385	373	266	262
Ing5	179	75	90	92	65	72
D2hgdh	22	9	11	7	5	5
Fam174a	122	54	57	43	38	26
St8sia4	7	4	7	5	2	5
Slco4c1	0	0	0	0	0	0
Panct2	0	0	2	0	1	0
D1Ertd622e	64	18	32	21	14	11
Ppip5k2	125	55	68	62	35	33
Gin1	41	16	24	20	22	14
Pam	95	52	44	40	28	37
Gm7967	1	0	1	1	1	0
Cdh20	1	3	0	1	0	0
Rnf152	17	6	4	11	5	6
Pign	53	27	28	17	16	13
X2310035C23Rik	81	39	31	38	23	26
