meso_rep1	meso_rep2	meso_rep3	meso_rep4	meso_rep5	meso_rep6
Sdr42e1	0	0	0	0	0	0
Hsd17b2	0	0	1	0	0	0
Mphosph6	233	85	127	139	106	94
Cdh13	15	9	7	4	5	5
Hsbp1	738	387	391	369	299	288
Mlycd	60	39	20	27	23	27
Osgin1	2	3	1	1	0	0
Necab2	23	12	7	8	8	8
Mbtps1	205	102	92	107	61	76
Hsdl1	23	18	11	18	10	12
Dnaaf1	1	0	0	0	0	0
Taf1c	18	4	12	8	7	8
Adad2	1	0	0	0	0	0
Wfdc1	9	5	8	2	8	4
Atp2c2	0	0	0	0	0	2
Tldc1	15	6	7	3	7	7
Cotl1	373	186	193	178	130	142
Klhl36	10	7	8	4	6	3
Usp10	294	129	136	128	87	101
Crispld2	53	25	31	26	21	19
Zdhhc7	22	19	19	19	11	11
X6430548M08Rik	6	2	4	5	1	2
Fam92b	0	0	3	0	0	0
A330074K22Rik	2	3	1	1	0	2
Gse1	92	30	35	34	25	32
Gins2	356	111	176	175	115	102
Gm26739	1	0	0	0	0	0
X1190005I06Rik	2	5	6	2	3	6
Emc8	446	169	208	193	141	129
Cox4i1	5453	2562	2384	2308	1714	1711
Irf8	13	14	7	3	9	5
Foxf1	235	106	103	92	81	84
Mthfsd	62	26	28	38	27	20
Foxc2	82	19	21	24	24	23
Foxl1	14	11	4	0	0	3
X1700018B08Rik	0	0	0	0	0	0
Fbxo31	52	29	19	20	27	28
Map1lc3b	1172	471	499	498	369	392
Zcchc14	127	72	56	57	23	28
Gm27030	4	2	2	0	1	1
Gm45833	1	0	3	0	1	2
Jph3	3	0	1	0	1	1
Klhdc4	111	47	56	59	37	27
Gm20406	0	0	1	0	0	0
Gm42047	164	50	55	29	29	26
Gm26812	5	1	1	4	0	2
Slc7a5	114	56	29	44	24	25
Car5a	1	1	0	0	1	0
Banp	88	39	41	36	28	39
Zfp469	25	14	20	12	9	12
Zfpm1	156	40	57	73	40	51
Zc3h18	391	141	206	171	103	124
Cyba	604	279	314	287	242	225
Mvd	125	60	65	80	43	57
Snai3	1	1	1	0	0	0
Rnf166	103	51	45	41	38	33
Ctu2	87	45	67	58	37	28
Piezo1	106	49	48	41	30	36
Cdt1	114	46	80	65	47	45
Aprt	1550	639	796	827	565	580
Galns	28	19	15	11	12	12
Trappc2l	383	161	205	179	141	158
Pabpn1l	1	0	1	0	3	2
Cbfa2t3	44	27	23	22	8	22
Acsf3	22	11	11	16	8	5
Cdh15	9	9	1	3	1	1
Gm45894	0	0	0	1	0	1
Ankrd11	1522	637	881	790	545	581
Spg7	106	63	61	46	41	33
Rpl13	35994	15141	15028	14629	10629	10764
Cpne7	6	2	2	3	2	0
Sult5a1	18	10	11	15	7	13
Gm4316	1	0	0	0	0	0
Dpep1	16	15	5	6	3	3
Chmp1a	172	86	115	81	60	78
Spata33	12	8	9	6	1	5
Cdk10	65	35	37	24	26	21
Spata2l	3	3	3	1	2	1
Vps9d1	25	17	18	19	17	22
Zfp276	9	6	7	6	4	7
Fanca	16	7	5	14	2	3
Spire2	3	0	0	2	0	1
Tcf25	737	382	420	422	304	281
Mc1r	3	0	5	3	2	3
Tubb3	32	18	12	10	7	5
Def8	40	13	19	28	16	12
Afg3l1	132	50	58	78	47	51
Dbndd1	5	3	6	3	5	3
Gas8	104	52	51	58	26	43
Rhou	331	121	160	152	109	132
X4732419C18Rik	1	1	0	0	0	1
Rab4a	116	38	41	57	46	54
X2810455O05Rik	4	2	1	2	2	0
Ccsap	37	8	11	7	8	3
Acta1	3	7	3	5	8	5
Nup133	107	46	71	65	37	36
Gm45890	1	0	1	0	3	2
Abcb10	57	24	25	25	19	25
Taf5l	64	27	27	28	24	8
Urb2	24	6	20	10	10	4
Galnt2	0	2	0	1	1	0
Pgbd5	7	1	3	2	2	3
Cog2	56	37	25	25	31	24
Capn9	1	0	0	0	0	0
X2310022B05Rik	165	65	78	69	60	47
Ttc13	63	24	36	21	31	22
Arv1	15	12	17	10	5	4
Fam89a	10	4	5	2	7	5
Trim67	3	0	0	0	0	0
X2810004N23Rik	398	196	220	226	155	158
Gnpat	153	62	85	78	50	48
Exoc8	30	8	16	18	11	14
Sprtn	43	12	27	18	18	11
Egln1	868	396	356	345	299	315
Tsnax	228	119	110	103	86	90
Disc1	3	0	1	0	1	1
Sipa1l2	63	25	18	21	13	26
Map10	6	2	1	2	0	1
Ntpcr	119	43	42	46	27	30
Pcnx2	0	0	0	0	0	1
Map3k21	2	0	0	1	0	0
Kcnk1	14	8	17	17	11	11
Slc35f3	0	0	0	0	0	0
Coa6	118	62	50	49	32	40
Tarbp1	17	9	7	6	3	2
Gm26759	17	4	8	3	7	2
Irf2bp2	247	112	137	124	94	87
Gm31718	0	1	1	0	0	0
Tomm20	3245	1224	1373	1231	949	958
Rbm34	132	64	65	70	57	54
Pard3	279	115	153	142	86	102
Nrp1	441	149	251	222	162	201
Itgb1	1591	749	772	664	474	511
Ccdc7a	1	1	1	0	0	0
X2610044O15Rik8	35	22	12	21	19	11
Gm32856	14	6	6	8	8	6
Gm2897	0	1	0	0	0	0
D830030K20Rik	5	0	3	4	1	1
Gm2974	1	0	1	0	0	0
Gm3164	0	0	0	0	0	0
Gm8281	0	0	2	1	0	2
Gm3468	1	0	0	2	1	1
Gm3411	2	2	4	0	3	1
Gm3636	3	0	2	0	0	1
Gm3667	0	0	2	1	0	1
Gm10406	0	0	0	0	0	0
Gm3696	2	0	0	0	0	0
Gm3739	0	1	1	1	2	1
Gm3558	1	0	0	0	0	0
Flnb	150	50	74	83	56	48
Abhd6	22	14	6	12	16	17
Rpp14	112	50	54	44	43	41
Pxk	85	29	28	26	31	31
Pdhb	274	133	142	121	108	117
Kctd6	42	16	15	10	9	5
Fam107a	0	0	1	1	1	0
Oit1	2	0	0	0	0	0
X4930452B06Rik	22	8	16	14	12	12
Fhit	5	1	8	4	5	4
Gm3839	1	1	1	2	0	0
Ptprg	128	49	42	51	37	39
X3830406C13Rik	42	19	16	15	11	15
Fezf2	4	3	2	2	4	1
Cadps	11	4	0	1	1	2
Synpr	3	0	1	0	1	0
Thoc7	690	347	359	394	264	268
Atxn7	101	35	53	47	22	25
Psmd6	620	234	354	342	239	231
Il3ra	15	6	5	4	6	3
Slc4a7	274	118	130	135	79	89
Nek10	0	0	3	0	0	1
Lrrc3b	1	1	1	1	1	4
Oxsm	6	4	4	2	4	2
Ngly1	44	38	23	27	32	17
Top2b	631	321	315	270	179	188
Rarb	74	30	21	28	20	25
Nr1d2	59	19	20	19	8	11
Rpl15	16052	6957	6668	6539	5094	4844
Nkiras1	60	39	20	25	23	17
Ube2e1	441	180	205	193	141	150
Ube2e2	193	98	72	91	63	62
Gm2237	4	2	3	1	2	2
Nid2	185	93	75	78	43	68
Rtraf	1764	768	765	763	593	549
Gng2	222	114	117	129	88	81
Saysd1	59	36	43	32	28	23
Kcnk5	14	6	7	9	4	5
Gm48395	0	0	1	0	0	0
Kcnk16	0	0	0	0	2	0
Nudt13	36	19	19	12	10	10
Ecd	99	55	59	64	41	37
Fam149b	72	31	35	32	22	23
Gm30054	3	3	0	2	1	0
Dnajc9	537	234	297	270	173	200
Mrps16	637	316	317	300	264	229
Cfap70	0	0	0	1	0	2
Anxa7	127	67	48	46	58	37
Mss51	9	3	2	6	0	2
Ppp3cb	253	115	124	103	76	84
X1810062O18Rik	4	1	1	1	3	1
Usp54	12	9	14	10	9	9
X2810402E24Rik	65	54	30	42	25	32
Synpo2l	3	2	1	1	1	4
Sec24c	86	50	75	56	32	56
X6230400D17Rik	13	3	6	4	3	2
Fut11	77	40	30	31	23	28
Chchd1	1018	390	511	444	378	318
Zswim8	147	67	98	67	45	49
Ndst2	18	13	10	8	7	12
Camk2g	70	35	37	42	27	20
Gm30108	5	3	0	5	1	1
Plau	8	4	2	3	2	2
Vcl	334	173	181	159	103	106
Ap3m1	116	38	78	63	36	33
Adk	266	120	139	122	101	79
Kat6b	150	70	75	59	49	55
Samd8	73	39	37	30	23	20
Vdac2	1520	605	605	626	489	447
Comtd1	54	31	27	20	26	22
A430057M04Rik	1	1	0	1	2	1
Zfp503	261	156	89	77	79	95
Kcnma1	13	5	4	4	4	2
Dlg5	92	32	63	41	30	46
Polr3a	40	17	23	22	23	15
Rps24	22879	10850	10541	10247	7762	7613
Zmiz1os1	2	1	1	3	1	0
Gm26660	0	1	0	1	0	0
Zmiz1	317	155	171	163	88	116
Gm26772	7	3	3	1	0	1
Ppif	105	30	59	61	43	29
Zcchc24	145	74	56	61	53	39
Anxa11	31	13	9	8	10	6
Anxa11os	0	0	0	0	0	0
Tmem254a	2	1	0	0	0	1
Duxbl3	4	2	3	1	2	0
Gm34059	5	1	2	1	0	0
X4933413J09Rik	0	0	0	0	0	1
Slmap	136	48	69	51	48	46
Dennd6a	113	51	47	51	43	45
Arf4os	0	1	3	1	1	0
Arf4	1693	821	700	658	519	554
Pde12	94	40	43	37	18	27
Dnah12	8	2	4	2	1	0
Asb14	1	0	0	0	0	0
Appl1	244	106	111	102	78	83
Hesx1	3	2	3	3	3	2
Il17rd	87	27	37	37	31	17
Arhgef3	8	4	5	2	4	6
Fam208a	116	67	54	56	34	48
Ccdc66	76	36	46	32	14	32
Erc2	12	8	2	5	1	4
Wnt5a	284	141	110	95	90	81
Cacna2d3	6	2	1	3	1	0
Lrtm1	0	1	0	1	0	0
Gm47414	0	0	0	1	2	0
Selenok	1195	501	479	438	334	377
Actr8	85	41	35	43	25	41
Il17rb	0	1	4	1	0	0
Cacna1d	16	9	5	9	6	10
Dcp1a	39	14	30	16	15	14
Tkt	729	326	434	405	288	285
Prkcd	60	38	30	28	25	20
Rft1	44	19	19	13	19	10
Sfmbt1	69	27	25	37	22	22
Tmem110	60	43	34	16	20	21
Mustn1	6	3	2	0	0	1
Itih3	0	1	1	0	0	0
Nek4	62	27	23	21	22	22
Spcs1	896	387	423	446	345	333
Glt8d1	118	64	45	50	47	37
Gnl3	772	372	428	397	267	265
Pbrm1	789	366	410	362	252	268
Smim4	104	67	62	78	51	38
Nt5dc2	719	314	364	375	240	201
Stab1	8	1	4	1	1	2
Nisch	668	308	346	317	243	257
Tnnc1	45	9	15	8	14	13
Sema3g	1	0	1	1	0	0
Phf7	56	19	32	19	19	10
Bap1	93	36	43	38	23	36
Dnah1	11	3	6	0	2	2
Capn7	69	22	36	33	21	22
Sh3bp5	81	40	27	34	28	35
Mettl6	177	80	91	92	69	79
Eaf1	77	21	26	45	21	19
Hacl1	10	4	7	8	11	9
Btd	45	29	21	16	11	20
Ankrd28	96	43	41	41	19	24
Dph3	421	167	196	191	148	126
Oxnad1	53	31	19	21	20	16
Ncoa4	94	55	54	49	34	48
Timm23	5	1	2	5	1	0
Parg	171	68	85	91	57	55
Gm17210	4	0	1	2	1	1
Gm46447	5	1	2	0	0	1
Gm48914	7	6	1	1	4	0
Ogdhl	16	7	10	6	6	7
X1700024G13Rik	0	0	0	0	0	0
Slc18a3	0	0	0	0	0	0
Ercc6	29	21	9	16	20	13
Prrxl1	0	0	1	0	0	0
Vstm4	78	48	17	33	15	9
Wdfy4	1	0	0	0	0	0
Lrrc18	3	2	1	1	2	1
Arhgap22	2	3	4	4	1	2
Gm15512	1	0	0	1	0	0
Mapk8	140	77	66	61	28	41
Frmpd2	3	0	1	0	0	1
Gdf10	84	61	21	23	14	20
A630023A22Rik	1	0	0	0	0	0
Anxa8	3	4	2	1	1	4
Gprin2	1	0	0	0	0	0
Fam35a	26	16	10	27	10	15
Glud1	355	171	161	171	122	126
Fam25c	3	1	1	1	0	1
Sncg	1	1	1	1	0	1
Mmrn2	22	17	11	8	9	6
Bmpr1a	281	110	122	117	75	106
Gm17110	0	0	0	0	0	0
Ldb3	3	0	4	2	2	5
Gm49024	0	1	0	0	0	1
Wapl	593	254	313	263	189	165
A930038B10Rik	2	0	1	0	0	0
Gm49032	2	0	0	0	0	0
Ccser2	73	36	33	28	28	18
Cdhr1	0	0	0	0	0	0
X2610528A11Rik	11	5	17	15	14	13
Ghitm	389	165	179	168	148	144
Nrg3	2	1	0	0	0	0
Sh2d4b	1	2	0	1	1	0
Tspan14	47	34	29	27	15	12
Fam213a	296	118	129	146	98	122
Dydc2	0	1	2	1	1	1
Gm47547	14	4	9	9	4	5
Sftpd	0	0	0	0	0	0
AC166344.1	0	0	0	1	0	0
Gm7324	0	0	0	0	1	0
Gm49083	11	3	4	2	6	2
Gm8113	6	3	5	8	4	7
AC160336.1	59	32	23	23	28	39
Ptgdr	0	1	0	0	0	0
Txndc16	28	20	22	11	8	14
Gpr137c	34	10	15	10	11	11
Ero1l	567	285	213	228	179	246
Psmc6	1023	424	436	424	349	339
Styx	33	14	19	19	5	7
Gnpnat1	156	58	63	64	48	54
Fermt2	1576	739	640	685	493	517
Gm15601	3	0	0	3	2	1
Ddhd1	122	46	47	42	28	33
Bmp4	234	111	102	93	73	64
Gm15222	35	12	13	14	11	14
Rubie	13	7	16	8	4	4
Gm48924	0	0	0	0	0	0
Cdkn3	137	51	77	50	35	27
Cnih1	575	231	257	253	191	199
Gm48933	10	2	5	1	1	1
Gmfb	231	94	110	109	64	85
Cgrrf1	114	54	57	48	44	54
Gm34934	12	2	0	3	1	2
Samd4	189	72	65	69	37	66
X2810457G06Rik	22	14	16	10	8	18
Gm10371	4	1	3	4	1	0
Gch1	16	4	5	4	2	0
Wdhd1	60	19	31	41	22	19
Socs4	91	31	48	49	34	25
Mapk1ip1l	352	167	188	184	118	136
Lgals3	22	10	6	2	8	2
Dlgap5	182	82	107	84	48	59
Fbxo34	108	31	52	52	36	23
Gm35166	4	1	1	3	0	0
Atg14	50	24	35	41	22	22
Ktn1	681	316	408	394	305	286
Peli2	72	40	42	40	33	29
Tmem260	36	14	11	17	19	8
Otx2	52	27	36	32	27	21
Otx2os1	2	0	1	1	1	0
Exoc5	293	109	97	108	76	82
Ap5m1	59	24	22	38	18	23
Naa30	98	49	33	50	33	27
Gm48935	1	1	1	1	0	0
X1700011H14Rik	1	0	1	0	1	1
X3632451O06Rik	100	51	54	43	39	45
Ttc5	118	58	61	54	39	47
Ccnb1ip1	14	7	13	16	8	1
Parp2	153	90	95	110	73	75
Tep1	23	5	9	3	5	11
Gm26782	36	12	14	9	12	9
Klhl33	0	1	1	0	0	0
Osgep	338	146	157	159	130	127
Apex1	636	263	326	309	236	227
Tmem55b	121	44	69	54	56	52
Pnp	269	127	104	99	89	84
Pnp2	3	3	6	1	1	1
Rnase4	67	38	33	29	34	26
Ang	11	6	6	3	6	5
Rnase1	1	1	0	0	0	0
Gm5622	2	0	2	1	0	2
Mettl17	15	7	13	13	9	9
Slc39a2	0	1	0	2	1	0
Ndrg2	80	64	48	54	56	42
Arhgef40	133	57	74	68	50	35
Zfp219	60	29	35	36	18	23
Tmem253	4	1	0	2	1	1
Gm49086	0	1	1	0	1	0
Hnrnpc	2043	808	940	894	675	650
Rpgrip1	49	21	33	19	13	16
Supt16	1297	475	719	625	417	376
Gm26590	2	0	3	0	1	0
Chd8	233	106	136	144	89	112
Rab2b	76	48	34	28	30	24
Tox4	277	162	138	146	99	110
Mettl3	40	14	19	20	17	18
Sall2	36	21	32	16	17	25
Trdc	0	3	0	0	0	1
Dad1	1446	765	620	632	537	476
Abhd4	69	45	43	37	30	34
Oxa1l	218	112	104	103	83	77
Slc7a7	17	4	5	10	8	10
Mrpl52	741	395	446	445	307	319
Mmp14	423	244	169	150	137	112
Lrp10	87	45	56	32	34	26
Rem2	15	7	8	7	5	8
Prmt5	227	88	142	118	86	98
Haus4	129	60	62	59	60	42
Ajuba	60	12	41	25	24	26
X4931414P19Rik	7	7	7	5	0	3
Psmb5	1511	661	770	729	578	557
Cdh24	9	4	8	10	5	5
Acin1	1079	446	544	507	348	430
X4930579G18Rik	1	0	0	2	0	0
X1700123O20Rik	232	133	104	110	95	87
Slc7a8	11	4	1	0	5	2
Rnf212b	0	0	0	0	0	2
Homez	12	8	6	4	4	5
Ppp1r3e	9	3	7	4	2	4
Bcl2l2	16	8	11	10	8	7
Pabpn1	213	109	108	126	81	82
Slc22a17	63	33	26	28	15	21
Efs	74	34	19	23	19	24
Cmtm5	3	2	0	0	0	0
Myh6	4	9	2	3	2	1
Myh7	11	2	3	4	5	1
Ngdn	175	88	112	86	81	73
Zfhx2	22	11	15	12	12	8
Ap1g2	8	5	8	5	10	4
Jph4	5	6	3	3	1	2
Dhrs4	165	85	68	86	52	48
Carmil3	10	7	7	4	2	1
Pck2	124	60	62	54	43	41
Dcaf11	52	25	27	28	18	17
Fitm1	35	17	8	3	4	5
Psme1	401	204	213	220	166	169
Emc9	42	12	13	16	10	15
Psme2	297	107	111	143	106	117
Rnf31	28	9	10	15	10	13
Irf9	37	26	21	24	11	21
Rec8	16	7	15	16	15	7
Ipo4	135	78	76	68	39	39
Tm9sf1	49	26	20	22	21	15
AC174678.1	10	2	1	1	1	1
Mdp1	190	86	72	93	70	63
Nedd8	1773	795	874	844	561	577
Gmpr2	89	49	50	50	37	45
Tinf2	52	25	26	28	23	16
Tgm1	0	0	0	0	0	2
Rabggta	28	16	14	23	14	18
Dhrs1	125	58	57	43	47	48
Nop9	108	59	65	60	52	44
Cideb	1	1	1	0	0	1
Ltb4r2	2	0	1	0	0	0
Ltb4r1	0	1	0	0	1	0
Adcy4	4	1	3	2	0	0
Ripk3	35	8	16	13	7	12
Nfatc4	99	49	34	40	25	30
Nynrin	208	108	100	105	80	68
Gm26751	1	1	3	2	3	0
Cbln3	4	3	1	0	0	0
Khnyn	66	16	39	38	26	40
Sdr39u1	6	3	6	7	2	0
Atp12a	0	0	2	0	0	0
Rnf17	24	9	6	3	11	8
Cenpj	50	28	40	24	23	26
Parp4	24	11	17	10	7	11
Mphosph8	499	217	275	274	217	225
Gm16973	10	6	11	3	4	3
Pspc1	299	122	137	148	112	92
Zmym5	202	92	86	82	61	67
Zmym2	157	74	99	74	58	73
Gja3	1	1	0	1	0	0
Gjb2	5	1	2	3	2	0
Gjb6	2	0	0	0	0	0
Cryl1	16	3	4	5	11	5
Ift88	79	38	27	39	31	18
Il17d	14	2	5	4	4	5
Eef1akmt1	206	85	92	108	57	69
Xpo4	115	50	71	62	39	52
Lats2	82	42	41	35	28	31
Sap18	112	47	45	46	34	31
Ska3	43	21	22	9	17	5
Mrpl57	606	256	249	257	191	220
Zdhhc20	307	130	121	126	92	87
Micu2	259	97	117	119	66	92
Fgf9	14	5	5	5	2	2
Rcbtb1	111	52	55	59	39	52
Phf11d	4	3	2	1	4	4
Phf11c	3	1	1	0	2	1
Setdb2	22	8	6	7	16	6
Cab39l	83	23	41	23	25	24
Cdadc1	69	27	43	41	25	24
Shisa2	49	24	18	13	27	18
Atp8a2	7	2	4	5	3	1
Nupl1	1	0	1	0	0	0
Gm49336	93	45	37	46	29	28
Mtmr6	52	33	20	19	19	16
Amer2	12	9	5	6	5	4
Gm29266	0	0	0	0	0	0
Spata13	54	13	31	26	12	14
C1qtnf9	0	0	2	0	0	0
Mipep	55	16	29	31	27	21
Tnfrsf19	125	59	46	38	30	22
Sacs	67	34	35	31	16	15
Ebpl	329	148	146	151	122	123
Kpna3	258	106	134	109	78	110
Spryd7	57	23	41	30	19	16
Trim13	17	19	14	13	3	9
Kcnrg	0	0	0	1	0	0
Gm27010	10	2	1	1	0	1
Gm26916	0	0	1	0	0	0
Gm27017	4	0	0	0	1	0
Dleu7	2	3	1	4	0	1
Rnaseh2b	166	73	69	84	48	66
Fam124a	12	7	7	6	7	5
Ints6	264	108	109	83	69	71
Wdfy2	26	13	14	16	14	15
Defb42	6	2	3	7	4	3
Ctsb	373	197	185	182	141	143
Fdft1	279	104	142	142	89	106
Neil2	8	1	8	4	4	8
Gata4	63	22	48	36	32	39
Fam167a	4	1	3	1	0	0
Tdh	29	10	9	17	5	5
Mtmr9	38	13	19	17	14	14
Xkr6	16	7	11	7	8	5
Pinx1	137	58	64	66	45	45
Sox7	1	1	0	1	1	1
Msra	31	12	15	14	7	7
Mir124a.1hg	2	0	1	1	0	0
Kif13b	34	19	22	19	12	20
Hmbox1	110	39	66	43	42	27
Ints9	78	30	35	44	31	33
Extl3	65	38	39	30	26	20
Fzd3	97	52	61	48	43	55
Fbxo16	14	6	9	9	9	10
Zfp395	81	36	44	40	36	43
Pnoc	14	13	9	5	12	13
Elp3	176	68	105	97	73	69
Nuggc	2	0	2	0	0	0
Scara5	14	8	2	2	4	2
Pbk	128	58	47	55	29	33
Esco2	166	71	65	79	50	56
Ccdc25	219	89	124	109	89	76
Scara3	25	5	8	3	9	12
Clu	104	41	50	49	54	66
Gulo	4	1	3	2	4	2
Adam2	0	0	0	1	0	0
Ephx2	23	6	8	8	8	7
Ptk2b	5	1	3	2	3	2
Trim35	303	145	126	125	96	91
Stmn4	7	7	0	4	0	5
Adra1a	1	4	0	1	0	0
Dpysl2	141	60	76	56	64	50
Gm5464	3	1	2	1	0	1
Pnma2	14	6	8	13	10	9
Bnip3l	1448	638	663	656	560	540
Ppp2r2a	673	284	254	281	197	217
Ebf2	33	9	21	14	11	5
Cdca2	89	41	40	35	25	25
Kctd9	29	15	8	16	12	6
Gnrh1	2	0	1	0	0	1
Dock5	22	9	13	9	10	6
Nefm	278	58	61	105	44	45
Nefl	157	40	33	39	10	20
Adamdec1	11	14	4	0	6	7
Adam28	2	3	0	0	1	0
Stc1	107	34	33	35	26	19
Nkx3.1	9	2	3	2	1	0
Slc25a37	43	19	23	19	14	13
Loxl2	466	284	216	225	152	156
R3hcc1	192	90	125	96	91	84
Chmp7	72	44	44	42	26	29
X4930480K23Rik	5	4	4	3	1	3
Tnfrsf10b	20	17	18	19	8	14
Rhobtb2	17	7	12	12	9	2
Egr3	353	188	127	91	66	60
Bin3	66	32	19	16	28	21
Ccar2	34	19	28	24	14	18
X9930012K11Rik	4	4	5	7	3	5
Pdlim2	158	66	54	58	60	50
Sorbs3	30	10	18	8	19	19
AC151836.1	4	1	3	2	3	0
Ppp3cc	16	8	3	10	3	1
Slc39a14	16	9	11	16	8	7
Piwil2	5	2	2	2	1	1
Polr3d	200	101	93	121	83	99
Bmp1	172	78	66	47	42	51
Lgi3	3	0	0	0	2	2
Reep4	61	33	21	25	26	23
Hr	0	1	0	0	0	2
Nudt18	20	16	9	6	13	6
Fam160b2	19	10	13	11	10	10
Dmtn	5	4	3	2	1	1
Fgf17	1	2	0	0	0	0
Npm2	2	0	0	0	0	0
Xpo7	121	92	69	75	65	59
Dok2	6	0	4	3	3	1
X2410012E07Rik	1	1	0	1	1	0
Gfra2	31	16	17	14	5	9
Fndc3a	382	175	170	167	117	155
Rcbtb2	221	103	122	110	92	82
Gm17233	0	0	0	0	0	0
Rb1	47	36	25	13	17	15
Lpar6	102	30	47	56	34	35
Itm2b	1728	968	661	597	553	503
Med4	309	147	140	138	112	120
Nudt15	7	7	4	3	3	0
Sucla2	305	132	147	121	95	107
Gm49164	5	3	3	2	0	1
Esd	1407	616	610	602	491	434
Lrch1	30	11	8	15	10	11
Lcp1	4	3	2	7	1	2
Cpb2	0	0	0	0	0	0
Zc3h13	535	275	312	276	202	197
Cog3	23	17	15	18	14	14
Slc25a30	50	21	24	29	17	9
Gm4285	11	6	5	6	6	2
Tpt1	33545	14795	12800	12155	9453	9383
Gtf2f2	211	76	104	105	78	67
Kctd4	1	1	1	0	1	0
Gpalpp1	122	55	62	56	43	48
Nufip1	239	138	130	115	72	92
Tsc22d1	994	489	508	482	368	375
X4930444M15Rik	8	2	3	1	1	1
E130202H07Rik	1	0	1	0	0	0
Serp2	55	30	37	26	19	18
Lacc1	11	11	3	7	9	7
Ccdc122	14	4	9	10	6	7
Enox1	24	3	10	5	3	10
Dnajc15	342	131	163	154	124	96
Epsti1	0	0	0	0	0	0
Tnfsf11	1	0	1	1	1	0
Akap11	202	98	97	71	59	70
Dgkh	90	39	41	32	19	21
Vwa8	21	8	11	7	3	11
Gm49016	0	0	0	0	0	0
Rgcc	184	68	31	36	20	14
Naa16	100	49	58	50	37	52
Mtrf1	47	13	22	12	10	19
Kbtbd7	30	13	10	8	5	9
Kbtbd6	6	1	2	1	3	1
Wbp4	454	207	215	249	171	170
Elf1	178	65	59	54	42	57
Sugt1	832	355	439	409	320	337
Pcdh8	22	4	4	11	4	6
Olfm4	0	0	0	0	0	0
Pcdh17	86	37	42	25	23	16
Gm32913	0	0	0	0	0	0
Diaph3	149	52	88	79	35	54
Tdrd3	88	34	32	27	15	24
Pcdh20	1	0	1	1	0	0
Pcdh9	25	18	5	8	8	3
Dach1	143	67	43	33	30	30
Rpl36a.ps1	48	46	35	43	35	27
Mzt1	224	101	112	94	82	63
Bora	101	50	52	46	26	33
Dis3	251	85	127	119	71	82
Pibf1	124	41	53	60	37	46
Klf5	232	82	104	76	50	52
Klf12	41	17	17	13	10	11
Gm41231	0	0	1	0	0	0
Tbc1d4	34	18	13	21	7	9
Commd6	252	136	146	123	105	109
Uchl3	330	112	185	156	130	128
Lmo7	31	11	14	9	11	9
Kctd12	263	136	92	96	49	53
Gm26778	18	9	11	6	6	6
Cln5	102	53	35	33	24	35
Fbxl3	124	65	56	59	29	40
Mycbp2	410	227	224	199	158	161
Scel	0	0	0	0	1	0
Slain1	16	5	7	3	6	4
Ednrb	128	53	53	46	41	50
Pou4f1	2	4	3	0	2	1
Rnf219	100	39	54	48	36	48
Rbm26	562	247	307	288	187	213
Ndfip2	266	114	95	83	90	88
X5430440P10Rik	0	1	0	0	0	1
Gm35909	0	1	0	0	0	1
Gm10076	42	14	42	35	10	20
Spry2	146	61	54	45	32	29
Trim52	0	0	1	0	0	0
Slitrk1	1	1	1	1	0	0
Slitrk6	17	22	7	14	9	7
Slitrk5	10	9	4	7	2	7
Tpm3.rs7	18	8	11	11	8	6
Mir17hg	52	15	23	14	11	9
Gpc5	5	0	2	1	1	0
Gpc6	238	128	106	124	97	111
Dct	4	7	2	0	0	0
Tgds	86	40	46	39	36	38
Gpr180	130	47	56	64	50	42
Sox21	25	18	8	4	2	5
Gm4675	4	3	6	4	3	3
Abcc4	8	2	5	2	1	0
Cldn10	15	5	0	4	2	1
Dzip1	74	31	37	37	29	24
Gm49179	8	4	7	2	0	5
Dnajc3	409	180	178	173	106	137
AC154760.1	3	2	3	3	1	2
Uggt2	43	36	32	22	21	20
Mbnl2	444	264	172	157	125	141
Rap2a	269	134	90	97	71	73
Ipo5	549	190	255	217	143	155
Farp1	168	70	92	77	53	60
Stk24	284	114	144	118	78	87
Slc15a1	0	0	0	0	0	0
Dock9	33	16	11	15	9	6
X1810041H14Rik	1	0	0	0	0	2
Ubac2	121	57	77	54	54	55
Timm8a2	1	0	0	0	0	0
A330035P11Rik	7	2	1	2	1	1
Tm9sf2	378	159	191	149	135	123
Clybl	105	62	71	55	43	42
AC154683.1	3	1	1	0	3	0
Zic5	13	11	13	19	12	9
Zic2	31	20	22	24	13	14
Gm10837	2	1	1	1	0	0
Pcca	51	33	29	28	23	18
Ggact	14	10	2	12	11	6
Tmtc4	45	15	20	23	9	19
Nalcn	6	2	1	2	0	2
Fgf14	1	0	0	0	0	0
Gm26870	8	5	5	1	1	6
Gm10717	0	0	1	0	0	0
Alkbh8	92	50	43	35	25	39
Cwf19l2	163	82	86	74	70	60
Gucy1a2	15	6	10	4	6	1
Aasdhppt	267	115	138	108	77	91
Kbtbd3	13	7	9	11	5	6
Msantd4	119	55	62	50	43	55
Gria4	11	5	2	7	4	2
Casp4	5	8	1	2	7	2
Casp12	12	6	3	0	2	3
Pdgfd	4	3	1	2	2	2
Dync2h1	103	52	51	52	27	33
Dcun1d5	647	222	298	245	199	195
Tmem123	135	56	57	42	36	36
Birc2	69	35	31	28	21	41
Birc3	7	8	2	6	3	4
Yap1	207	89	100	95	67	85
