pluri_rep1	pluri_rep2	pluri_rep3	pluri_rep4	pluri_rep5	pluri_rep6
Pfkfb2	11	8	2	3	3	6
Yod1	32	29	19	19	17	15
AA986860	6	1	3	3	1	3
Fcmr	0	0	0	0	1	0
Il24	1	0	0	0	0	0
Il19	0	0	1	0	0	0
Mapkapk2	128	88	43	51	50	48
Dyrk3	546	353	156	175	234	202
Eif2d	430	251	166	156	207	173
Rassf5	21	13	2	7	8	7
Ikbke	3	1	1	1	2	2
Srgap2	244	193	93	89	91	98
Fam72a	99	65	29	34	22	36
Avpr1b	0	0	2	0	0	0
Rab7b	1	2	0	1	2	3
Slc26a9	1	4	3	2	3	0
Pm20d1	39	31	6	13	14	14
Slc41a1	148	84	42	51	38	50
Rab29	26	17	5	9	9	9
Nucks1	6459	4014	2208	2416	2492	2469
Slc45a3	10	14	1	8	2	9
Elk4	83	41	24	20	27	21
Mfsd4a	22	13	3	11	12	7
Cdk18	23	17	9	5	12	11
Lemd1	6	4	3	1	4	3
Klhdc8a	0	0	0	0	0	0
Nuak2	15	13	5	10	9	8
Tmcc2	25	10	10	9	5	7
Dstyk	113	93	48	52	55	60
Rbbp5	285	182	84	99	111	128
Tmem81	8	8	3	0	3	3
Cntn2	6	9	5	5	1	4
Nfasc	19	10	13	13	10	8
Lrrn2	8	2	4	9	4	8
Mdm4	617	420	260	213	238	247
Pik3c2b	31	25	13	13	14	7
Ppp1r15b	311	202	97	111	106	134
Plekha6	13	9	4	2	4	3
Golt1a	0	0	0	0	0	0
Etnk2	15	21	10	14	7	8
Sox13	97	78	34	34	43	52
Snrpe	6886	5097	2686	2845	3196	3056
Gm26706	4	1	2	0	0	4
Zc3h11a	36	25	15	18	16	16
Gm38394	24	19	9	8	12	13
Lax1	7	8	1	2	3	0
Atp2b4	114	95	58	40	45	51
Optc	1	1	0	0	1	0
Prelp	0	0	1	0	0	0
Fmod	1	0	0	0	0	0
Btg2	712	449	214	233	260	230
Chit1	1	5	1	4	2	1
Chil1	9	4	2	6	4	5
Mybph	3	0	2	0	0	0
Adora1	2	2	0	0	0	0
Myog	3	0	0	0	0	0
Ppfia4	85	46	22	34	32	30
Tmem183a	521	344	151	162	213	188
Cyb5r1	268	161	102	96	83	94
Adipor1	995	566	326	287	321	337
Klhl12	246	161	70	74	89	74
Rabif	236	191	74	70	125	105
Kdm5b	5445	3849	1867	1950	2099	2106
Syt2	4	1	4	2	2	0
Ppp1r12b	23	27	14	16	14	8
Ube2t	611	382	202	192	195	214
Ptpn7	5	4	1	3	6	3
Arl8a	256	164	72	88	113	94
Elf3	282	205	108	134	177	173
Rnpep	95	71	41	51	44	53
Timm17a	2932	1822	821	840	1043	1022
Lmod1	22	9	7	9	7	6
Shisa4	60	34	20	14	14	21
Ipo9	231	169	75	81	99	81
Nav1	157	91	53	48	63	52
Gm38399	0	2	1	0	1	1
Csrp1	241	177	114	122	121	108
Phlda3	701	433	199	236	281	237
Tnni1	15	9	7	10	13	12
Lad1	9	13	6	9	8	7
Tnnt2	27	16	6	11	15	20
Pkp1	1	0	0	0	1	1
Tmem9	172	126	82	74	65	89
Cacna1s	4	3	2	0	3	0
Kif21b	35	36	17	16	18	13
X5730559C18Rik	23	14	13	15	13	16
Camsap2	188	117	52	68	43	77
Ddx59	119	90	31	25	32	46
Kif14	202	156	76	61	69	82
Platr23	12	9	6	4	5	4
Zfp281	599	345	181	183	199	198
Gm19705	83	56	31	22	33	34
Platr22	33	35	21	13	11	17
Nr5a2	404	239	142	140	134	144
A430106G13Rik	3	0	0	0	1	0
Nek7	158	114	68	55	58	65
Lhx9	5	0	2	2	1	1
X2310009B15Rik	196	139	55	55	93	78
Dennd1b	140	122	49	45	54	56
Zbtb41	140	89	52	42	42	55
Aspm	541	348	189	197	166	190
Cfh	3	3	0	3	0	2
Kcnt2	7	3	3	1	1	1
Cdc73	613	446	273	247	251	235
B3galt2	4	2	2	1	5	1
Glrx2	801	571	226	229	289	276
Trove2	182	98	48	59	59	55
Uchl5	976	543	263	297	326	345
Rgs2	17	11	3	11	3	5
Rgs18	0	0	0	0	0	0
Pla2g4a	24	9	6	9	4	7
Ptgs2	17	8	7	8	3	4
BC003331	253	195	86	100	89	110
Tpr	5938	3742	1881	1966	2091	2228
Hmcn1	15	12	5	8	10	4
Gm10138	21	24	14	9	12	10
Ivns1abp	518	302	198	160	209	183
Swt1	1322	907	511	501	571	583
Trmt1l	110	68	39	43	46	48
Rnf2	389	242	119	130	139	148
Fam129a	29	21	15	14	13	9
X2810414N06Rik	2	0	1	2	2	1
Edem3	108	80	43	43	26	44
X1700025G04Rik	178	103	52	54	67	50
Tsen15	390	276	141	119	129	150
Colgalt2	1	3	1	0	0	1
Rgl1	6	9	3	0	5	1
Arpc5	1149	675	347	329	410	396
Ncf2	15	9	3	10	3	4
Smg7	536	311	180	185	191	218
Nmnat2	57	42	20	31	22	21
Lamc2	13	8	5	5	6	9
Lamc1	340	240	114	146	137	122
Shcbp1l	4	10	8	6	4	7
Dhx9	1998	1306	714	703	676	700
Npl	133	67	26	33	47	44
Rgs8	1	1	0	1	0	0
Rgs16	64	42	16	15	15	18
Rnasel	8	4	2	0	3	1
Teddm2	6	2	2	1	1	0
Glul	561	334	193	197	210	213
Cacna1e	2	0	1	0	0	0
Gm9530	1	0	0	1	0	0
Ier5	190	103	48	52	56	63
Mr1	2	1	0	0	0	1
Stx6	176	106	49	51	64	52
BC034090	3	3	2	1	3	1
Xpr1	145	111	46	60	52	70
Acbd6	1186	726	333	346	385	422
Lhx4	0	1	0	2	0	0
Qsox1	32	12	13	12	17	16
Cep350	227	161	78	87	64	85
Tor1aip1	193	133	62	67	80	58
Tor1aip2	538	323	162	150	193	202
Fam163a	2	0	0	0	0	2
Tdrd5	64	34	19	19	19	11
Axdnd1	4	3	0	0	1	1
Gm2000	77	49	42	35	34	44
Soat1	449	370	143	165	168	174
Gm10031	47	23	10	13	10	10
Abl2	378	214	110	114	129	128
Tor3a	154	116	56	56	69	55
Fam20b	90	56	34	27	27	33
Ralgps2	786	528	282	311	319	329
Angptl1	1	0	1	0	1	0
X4930439D14Rik	2	1	2	0	0	3
Rasal2	196	136	62	53	65	74
Cryzl2	37	15	8	11	14	10
Brinp2	3	3	2	1	2	0
Astn1	2	6	1	1	0	1
Cop1	351	236	132	118	103	113
Tnr	0	0	0	0	0	0
X4930523C07Rik	8	4	2	0	1	1
Mrps14	2867	1831	850	936	1083	1017
Cacybp	8305	5019	2486	2520	2853	2847
Rabgap1l	88	46	24	23	24	22
Rc3h1	242	198	102	82	107	95
Serpinc1	14	6	6	3	9	9
Zbtb37	68	46	17	22	35	35
Dars2	226	153	73	68	80	83
Gm37634	6	1	3	3	1	3
