endoderm_NA18511	endoderm_NA18856	endoderm_NA18858	endoderm_NA18912	endoderm_NA19140	endoderm_NA19159	endoderm_NA19160	endoderm_NA19210
C1GALT1C1	580	99	155	184	13	12	975	85
CT47B1	0	0	0	0	0	0	0	0
AC008162.2	0	0	0	0	0	0	0	0
CT47A12	0	0	0	0	0	0	0	0
CT47A11	0	0	0	0	0	0	0	0
CT47A10	0	0	0	0	0	0	0	0
CT47A9	0	0	0	0	0	0	0	0
CT47A8	0	0	0	0	0	0	0	0
CT47A7	0	0	0	0	0	0	0	0
CT47A6	0	0	0	0	0	0	0	0
CT47A5	0	0	0	0	0	0	0	0
CT47A4	0	0	0	0	0	0	0	0
CT47A3	0	0	0	0	0	0	0	0
CT47A2	0	0	0	0	0	0	0	0
CT47A1	0	0	0	0	0	0	0	0
GLUD2	284	35	0	4	11	3	612	90
GRIA3	155	61	0	185	14	5	74	76
THOC2	1547	822	302	1409	93	30	3047	664
XIAP	715	262	128	473	18	13	1141	185
STAG2	1171	565	240	785	47	25	1440	385
SH2D1A	0	3	1	1	0	0	1	0
TEX13D	0	0	0	0	0	0	2	0
TENM1	16	31	2	51	6	6	11	57
TEX13C	0	0	0	0	0	0	0	0
DCAF12L2	17	6	2	2	0	0	30	3
DCAF12L1	4	3	0	9	1	0	33	3
PRR32	0	0	0	0	0	0	0	0
ACTRT1	1	0	0	0	0	0	1	0
SMARCA1	1647	604	355	913	61	17	2691	457
OCRL	127	75	40	107	6	7	198	37
APLN	3	0	0	0	0	0	2	0
XPNPEP2	11	12	0	111	3	0	95	12
SASH3	0	0	0	0	0	0	0	0
ZDHHC9	508	204	88	403	14	9	1116	193
UTP14A	391	130	89	220	18	6	705	94
BCORL1	199	82	30	144	8	7	330	86
ELF4	11	7	29	10	0	0	21	6
AIFM1	825	203	151	396	24	4	1389	161
RAB33A	17	1	32	2	0	0	9	1
ZNF280C	85	100	15	103	9	3	173	55
SLC25A14	129	43	42	65	3	2	217	32
GPR119	0	0	0	0	0	0	0	0
RBMX2	730	148	185	255	22	12	1185	103
ENOX2	169	136	50	242	14	10	214	79
ARHGAP36	0	0	0	0	0	0	0	0
IGSF1	434	540	62	992	116	27	1036	369
OR13H1	2	1	0	0	0	0	0	0
STK26	563	257	373	271	53	19	1062	195
FRMD7	1	0	1	0	0	0	1	0
RAP2C	285	102	216	145	20	4	671	58
MBNL3	293	203	193	297	53	6	732	138
HS6ST2	80	209	46	235	18	21	99	156
USP26	0	0	0	0	0	0	0	0
TFDP3	0	0	0	0	0	0	0	0
GPC4	568	200	111	203	10	3	388	328
GPC3	6181	5450	816	12429	1189	200	17315	3174
CCDC160	96	31	78	67	0	2	153	21
PHF6	1023	415	207	500	44	25	1610	272
HPRT1	313	80	128	128	8	5	613	76
PLAC1	3	4	0	5	0	0	4	1
FAM122B	261	126	41	102	4	2	474	59
FAM122C	373	242	15	357	18	4	646	202
MOSPD1	350	170	149	321	16	14	673	130
SMIM10	82	15	24	29	2	3	142	7
RTL8B	282	50	154	86	7	6	511	34
RTL8C	1142	340	504	705	31	14	2067	232
RTL8A	1085	200	475	340	25	8	1869	142
SMIM10L2B	56	17	8	19	1	1	115	13
ETDB	0	0	0	0	0	0	0	0
CT55	0	1	0	2	0	0	0	0
ZNF75D	50	91	13	229	15	3	88	64
ETDA	0	0	0	0	0	0	0	0
ETDC	0	0	0	0	0	0	0	0
ZNF449	77	24	13	54	1	2	110	18
SMIM10L2A	87	31	13	80	2	2	223	23
INTS6L	40	52	12	79	3	1	69	48
CT45A1	0	0	0	0	0	0	0	0
CT45A3	0	0	0	0	0	0	0	0
CT45A5	0	0	0	0	0	0	0	0
CT45A6	0	0	0	0	0	0	0	0
CT45A2	0	0	0	0	0	0	0	0
CT45A7	0	0	0	0	0	0	0	0
CT45A8	0	0	0	0	0	0	0	0
CT45A9	0	0	0	0	0	0	0	0
CT45A10	0	0	0	0	0	0	0	0
SAGE1	0	0	0	0	0	0	0	0
MMGT1	183	56	63	104	3	5	282	42
SLC9A6	71	50	15	102	6	1	146	34
FHL1	47	21	19	24	0	2	89	18
MAP7D3	227	86	61	162	8	1	442	45
ADGRG4	0	0	0	0	0	0	0	0
BRS3	0	0	0	0	0	0	0	0
HTATSF1	1554	341	387	519	44	17	2587	252
VGLL1	86	2	375	0	0	0	145	0
CD40LG	0	0	0	0	0	0	0	0
ARHGEF6	3	3	5	4	0	0	6	2
RBMX	4188	1017	793	947	97	57	6689	853
GPR101	1	0	0	0	0	0	0	1
ZIC3	551	71	37	122	9	2	597	132
FGF13	461	2384	26	3364	235	69	717	2325
F9	0	0	0	0	0	0	0	0
MCF2	1	2	0	4	0	1	7	11
ATP11C	529	319	87	473	21	19	920	261
CXorf66	0	0	0	0	0	0	0	0
SOX3	46	7	53	13	0	1	122	14
CDR1	1	1	0	0	0	0	4	1
SPANXB1	0	0	0	0	0	0	1	0
LDOC1	298	92	199	3	11	3	659	82
SPANXC	0	0	0	0	0	0	1	0
SPANXA1	0	0	0	0	0	0	0	0
SPANXA2	0	0	0	0	0	0	0	0
SPANXD	1	0	0	0	0	0	0	0
MAGEC3	0	0	0	0	0	0	0	0
MAGEC1	0	0	0	0	0	0	0	0
MAGEC2	0	0	0	0	0	0	0	0
SPANXN4	0	0	0	0	0	0	0	0
SPANXN3	0	0	0	0	0	0	6	0
SLITRK4	105	23	0	1	2	3	126	16
SPANXN2	0	1	0	0	0	0	0	0
SPANXN1	0	0	0	0	0	0	0	0
SLITRK2	272	20	0	0	4	0	121	35
CXorf51B	0	0	0	0	0	0	0	0
CXorf51A	0	0	0	0	0	0	0	0
FMR1	448	190	105	185	16	14	563	104
FMR1NB	0	3	0	1	0	0	0	2
AFF2	55	208	2	367	35	8	80	155
AC231656.1	0	0	0	0	0	0	0	0
IDS	99	77	113	153	5	2	151	60
CXorf40A	113	9	34	29	4	0	154	25
HSFX3	0	0	0	0	0	0	0	0
MAGEA9B	0	0	0	0	0	0	0	0
HSFX2	0	0	0	0	0	0	0	0
TMEM185A	382	71	45	125	9	8	340	77
MAGEA11	1	0	5	0	0	0	7	0
HSFX1	0	0	0	0	0	0	0	0
MAGEA9	0	0	0	0	0	0	0	0
MAGEA8	4	0	0	0	0	0	5	0
CXorf40B	286	31	59	81	8	0	504	38
HSFX4	0	0	0	0	0	0	0	0
MAMLD1	7	9	0	28	0	0	5	4
MTM1	51	138	24	264	14	9	145	98
MTMR1	116	89	58	124	7	5	160	47
CD99L2	74	82	29	122	3	4	69	60
HMGB3	5992	1102	1519	1350	113	52	7771	819
GPR50	0	0	0	0	0	0	1	0
VMA21	796	232	186	374	31	5	1449	210
PASD1	5	0	0	0	2	0	1	2
PRRG3	51	16	7	25	2	1	123	10
FATE1	2	0	1	0	0	0	3	0
CNGA2	0	0	0	0	0	0	0	0
MAGEA4	1	0	5	0	2	0	5	1
GABRE	5	1	4	1	0	0	3	1
MAGEA10	0	0	0	1	0	0	0	0
GABRA3	14	10	11	16	2	0	18	2
GABRQ	3	0	0	0	0	0	7	3
MAGEA3	0	0	0	0	0	0	0	0
CSAG2	0	0	0	0	0	0	0	0
MAGEA2B	0	0	0	0	0	0	0	0
CSAG1	0	0	1	0	0	0	0	0
MAGEA12	0	0	0	0	0	0	0	0
MAGEA2	0	0	0	0	0	0	0	0
CSAG3	0	0	0	0	0	0	0	0
MAGEA6	0	1	0	0	0	0	0	0
CETN2	942	216	288	382	23	7	1682	166
NSDHL	583	141	93	399	18	3	1026	146
ZNF185	38	15	38	13	0	1	102	7
PNMA5	3	0	0	1	0	0	2	0
PNMA3	37	7	6	19	0	2	107	6
PNMA6A	49	26	8	37	4	0	139	8
MAGEA1	0	0	0	0	0	0	0	0
AC236972.4	0	0	0	0	0	0	0	0
PNMA6F	0	5	0	0	0	0	0	0
ZNF275	123	47	24	85	7	1	244	27
PNMA6E	0	0	0	0	0	0	0	0
ZFP92	3	0	0	3	0	0	9	0
TREX2	0	0	0	0	0	0	1	0
HAUS7	47	11	9	16	2	1	58	10
BGN	129	13	20	32	0	0	112	10
ATP2B3	2	1	0	0	1	0	1	1
CCNQ	452	118	136	230	12	6	746	108
DUSP9	619	150	16	368	19	0	1460	101
PNCK	66	17	16	13	1	0	100	5
SLC6A8	836	132	95	288	16	5	1507	156
BCAP31	2980	680	872	1296	78	35	4998	613
ABCD1	75	20	30	20	0	1	88	13
PLXNB3	0	0	0	0	0	0	0	0
SRPK3	0	0	0	0	0	0	0	0
IDH3G	1029	217	279	217	23	8	1848	208
SSR4	8758	2086	2211	1844	248	104	15835	1659
PDZD4	12	10	9	3	0	0	17	4
L1CAM	12	2	19	10	1	0	12	2
AVPR2	0	0	0	0	0	0	0	0
ARHGAP4	105	16	18	26	5	4	173	28
NAA10	1916	362	539	699	30	13	3276	337
RENBP	36	8	39	45	3	0	57	24
HCFC1	585	155	133	123	26	11	900	95
TMEM187	76	18	34	54	4	1	166	19
IRAK1	605	52	182	94	7	7	1037	77
MECP2	375	200	100	338	16	14	565	140
OPN1LW	1	0	0	1	0	0	3	0
OPN1MW	0	0	0	0	0	0	0	0
OPN1MW2	0	0	0	0	0	0	0	0
OPN1MW3	0	0	0	0	0	0	0	0
TEX28	0	1	0	0	0	0	0	0
TKTL1	2	10	0	13	1	0	19	0
FLNA	2223	322	1136	803	36	24	2855	287
EMD	831	226	300	284	23	8	1532	157
RPL10	64266	18213	19310	16421	1633	899	130970	13872
DNASE1L1	130	50	47	56	2	0	222	44
TAZ	240	59	53	53	3	8	389	53
ATP6AP1	1088	265	548	445	28	15	1963	199
GDI1	642	117	201	161	11	7	963	113
FAM50A	2446	507	605	917	61	16	4343	432
PLXNA3	152	38	44	70	4	1	331	42
LAGE3	1966	286	522	376	40	19	4034	263
UBL4A	533	95	140	117	11	8	843	69
SLC10A3	186	38	111	71	9	2	352	27
FAM3A	446	104	190	156	10	4	711	86
G6PD	612	98	198	177	7	6	827	106
IKBKG	1	44	0	77	2	0	14	36
CTAG1A	0	0	0	0	0	0	0	0
CTAG1B	0	0	0	0	0	0	0	0
CTAG2	0	0	0	0	0	0	0	0
GAB3	7	1	1	2	0	0	2	0
DKC1	1372	343	247	470	33	12	2663	270
MPP1	386	106	48	240	12	3	612	76
SMIM9	0	0	0	0	0	0	1	0
F8	24	12	6	13	2	0	18	14
H2AFB1	0	0	0	0	0	0	0	0
F8A1	127	5	26	37	2	2	277	15
FUNDC2	1307	330	369	568	30	13	2293	266
CMC4	20	66	12	146	11	5	38	36
MTCP1	1	27	4	35	2	1	5	8
BRCC3	449	194	126	292	11	7	751	154
VBP1	2076	521	417	735	49	25	3502	423
RAB39B	61	19	15	17	3	1	118	18
CLIC2	6	4	0	2	0	0	7	6
H2AFB2	0	0	0	0	0	0	0	0
F8A2	0	0	0	0	0	0	0	0
F8A3	0	8	0	21	2	1	0	5
H2AFB3	0	0	0	0	0	0	0	0
TMLHE	127	134	36	270	15	6	220	131
SPRY3	0	5	0	10	0	0	0	0
VAMP7	26	75	4	166	8	5	41	59
IL9R	0	0	0	1	0	0	0	0
OR4F21	0	0	0	0	0	0	0	0
ZNF596	30	8	8	24	2	0	59	16
FBXO25	160	79	86	40	4	2	254	43
TDRP	287	230	154	120	16	15	528	160
ERICH1	656	299	239	239	29	18	1110	237
DLGAP2	2	512	0	1414	131	37	6	458
CLN8	0	122	0	101	5	9	0	90
ARHGEF10	1	281	0	255	20	16	3	216
KBTBD11	0	61	0	19	6	1	0	32
MYOM2	0	10	0	1	1	0	2	5
CSMD1	2	26	1	26	1	1	4	47
MCPH1	273	258	62	254	30	12	538	240
ANGPT2	1106	183	23	103	24	28	798	154
AGPAT5	692	260	119	172	25	16	1217	235
XKR5	15	13	1	2	2	1	26	6
DEFB1	122	15	23	35	0	0	164	2
DEFA6	1541	33	3	33	4	6	173	48
DEFA4	2	0	0	0	0	0	0	0
DEFA1	0	0	0	0	0	0	0	0
DEFA1B	0	0	0	0	0	0	0	0
DEFA3	0	0	0	0	0	0	0	0
DEFA5	476	35	0	49	17	0	218	81
USP17L1	0	0	0	0	0	0	0	0
USP17L4	0	0	0	0	0	0	0	0
ZNF705G	0	0	0	1	0	0	0	0
DEFB4B	0	0	1	0	0	0	0	0
DEFB103B	0	0	0	0	0	0	0	0
SPAG11B	0	1	0	0	0	0	10	0
DEFB104B	0	0	0	0	0	0	0	0
DEFB106B	0	0	0	0	0	0	0	0
DEFB105B	0	0	0	0	0	0	0	0
DEFB107B	0	0	0	0	0	0	0	0
PRR23D1	0	0	0	0	0	0	0	0
AC134684.11	0	0	0	0	0	0	0	0
AC134684.8	0	0	0	0	0	0	0	0
AC134684.9	0	0	0	0	0	0	0	0
AC084121.9	0	0	0	0	0	0	0	0
AC084121.11	0	0	0	0	0	0	0	0
AC084121.6	0	0	0	0	0	0	0	0
AC084121.12	0	0	0	0	0	0	0	0
AC084121.8	0	0	0	0	0	0	0	0
AC084121.7	0	0	0	0	0	0	0	0
AC084121.5	0	0	0	0	0	0	0	0
AC084121.13	0	0	0	0	0	0	0	0
PRR23D2	0	0	0	0	0	0	0	0
DEFB107A	0	0	0	0	0	0	0	0
DEFB105A	0	0	0	0	0	0	0	0
DEFB106A	0	0	0	0	0	0	0	0
DEFB104A	0	0	0	0	0	0	0	0
SPAG11A	0	0	0	0	0	0	5	0
DEFB103A	0	0	0	0	0	0	0	0
DEFB4A	2	0	0	0	0	0	0	0
ZNF705B	0	0	0	0	0	0	0	0
USP17L8	0	0	0	0	0	0	0	0
USP17L3	0	0	0	0	0	0	0	0
PRAG1	390	455	139	509	43	30	549	496
CLDN23	195	29	156	34	3	1	401	26
MFHAS1	525	230	124	155	18	12	995	174
ERI1	248	125	101	104	11	10	454	147
PPP1R3B	354	112	167	87	7	6	713	133
TNKS	420	698	97	551	68	33	669	581
MSRA	166	116	91	118	15	6	338	87
PRSS51	6	154	0	79	1	12	6	24
PRSS55	2	8	1	4	0	1	1	1
RP1L1	0	1	0	0	0	2	0	2
C8orf74	0	0	0	0	0	0	0	1
SOX7	38	5	22	3	0	1	45	3
PINX1	0	208	0	161	18	11	0	162
XKR6	107	489	47	419	41	46	181	430
MTMR9	407	125	92	117	11	5	676	119
SLC35G5	12	0	0	1	0	0	14	3
FAM167A	43	9	5	10	2	0	33	11
BLK	0	2	0	0	0	0	0	0
GATA4	1118	1068	9	826	149	16	1238	1457
NEIL2	138	35	42	27	1	0	237	40
FDFT1	2703	938	619	956	110	52	5799	650
CTSB	1472	463	1338	499	33	7	2864	325
DEFB136	0	0	0	0	0	0	0	0
DEFB135	0	0	0	0	0	0	0	0
DEFB134	0	0	0	0	0	0	0	1
DEFB130B	0	0	0	0	0	0	0	0
ZNF705D	0	0	0	0	0	0	0	1
USP17L7	0	0	0	0	0	0	0	0
USP17L2	0	0	0	0	0	0	0	0
FAM86B1	11	12	4	16	0	0	25	7
DEFB130A	0	0	0	0	0	0	0	0
FAM86B2	0	0	0	0	0	0	3	0
LONRF1	492	238	70	199	26	12	870	235
TRMT9B	219	295	12	167	24	9	570	196
DLC1	604	725	36	581	53	40	948	528
C8orf48	68	8	31	13	2	1	131	17
SGCZ	3	64	0	19	26	1	3	30
TUSC3	2119	916	903	577	91	39	3319	647
MSR1	85	154	0	169	12	6	159	120
FGF20	122	27	0	5	1	0	70	24
MICU3	256	223	21	145	19	19	301	205
ZDHHC2	515	150	110	87	12	11	489	167
CNOT7	1725	414	425	348	47	23	2851	372
VPS37A	627	226	181	181	15	10	1069	148
MTMR7	15	25	4	12	1	2	33	38
SLC7A2	389	113	102	73	11	9	587	78
PDGFRL	53	6	21	6	2	1	65	22
MTUS1	192	172	133	45	5	10	297	90
FGL1	12	2	0	1	0	0	159	1
PCM1	1888	754	413	501	47	41	2975	480
ASAH1	1732	523	916	511	57	26	3412	326
NAT1	85	40	20	45	4	3	155	33
NAT2	7	3	0	2	0	0	16	1
PSD3	233	570	52	255	39	32	282	449
SH2D4A	175	39	177	35	4	3	384	34
CSGALNACT1	11	15	17	24	0	0	15	9
INTS10	692	227	132	160	23	10	1176	150
LPL	1	1	3	1	0	0	4	0
SLC18A1	11	13	0	8	0	0	26	3
ATP6V1B2	455	129	167	128	11	9	945	93
LZTS1	52	7	1	22	2	0	30	17
GFRA2	15	13	0	9	0	0	41	9
DOK2	0	0	0	1	0	0	1	0
XPO7	377	340	75	258	28	19	540	233
NPM2	112	25	9	53	0	3	143	12
FGF17	821	202	69	70	10	33	723	293
DMTN	219	92	12	43	5	2	370	53
FAM160B2	152	60	34	38	2	4	252	46
NUDT18	71	26	20	19	3	1	163	18
HR	2	0	2	0	0	0	6	0
REEP4	477	94	85	81	3	3	643	58
LGI3	1	0	0	0	0	0	0	1
SFTPC	0	0	0	0	0	0	2	0
BMP1	132	32	84	35	5	0	151	19
PHYHIP	4	0	2	0	0	0	4	2
POLR3D	730	194	161	147	25	9	1186	126
PIWIL2	12	9	4	8	0	0	27	7
SLC39A14	675	327	67	433	37	7	1429	292
PPP3CC	133	111	63	143	18	7	216	105
SORBS3	770	235	286	181	23	8	1328	164
PDLIM2	1849	437	413	466	56	14	3744	445
C8orf58	338	58	53	56	4	1	599	75
CCAR2	442	92	93	54	3	4	529	57
BIN3	270	109	84	78	11	9	425	97
EGR3	34	16	14	8	1	0	75	7
PEBP4	6	7	3	6	0	0	10	4
RHOBTB2	87	17	31	19	0	2	109	17
TNFRSF10B	535	310	172	354	32	12	750	261
TNFRSF10C	41	30	39	55	1	2	28	29
TNFRSF10D	87	83	20	62	3	2	131	129
TNFRSF10A	26	3	27	11	0	0	30	6
CHMP7	365	58	87	53	4	2	521	63
R3HCC1	563	135	166	83	16	7	791	93
LOXL2	153	27	68	18	1	0	163	36
ENTPD4	463	225	182	151	16	8	713	135
SLC25A37	668	183	382	120	14	9	1093	132
NKX3-1	9	1	17	2	0	0	4	0
NKX2-6	0	0	0	0	0	0	0	0
STC1	348	42	83	28	2	0	440	80
ADAM28	235	84	68	38	7	2	157	83
ADAMDEC1	0	0	0	0	0	0	0	0
ADAM7	0	2	0	2	0	0	0	1
NEFM	110	23	58	18	0	3	194	39
NEFL	62	17	67	11	0	0	126	22
DOCK5	148	331	23	290	26	12	436	248
GNRH1	9	2	2	3	0	0	20	4
KCTD9	245	100	61	85	9	3	421	77
CDCA2	672	393	60	270	30	14	1520	262
EBF2	21	50	1	28	2	3	39	57
PPP2R2A	1435	660	410	632	59	34	2579	512
BNIP3L	1404	430	448	392	35	33	2665	390
PNMA2	14	4	8	5	1	1	20	6
DPYSL2	629	240	90	133	17	14	1075	143
ADRA1A	0	4	0	1	0	0	0	5
STMN4	15	11	2	5	2	0	18	7
TRIM35	74	37	18	41	5	1	128	27
PTK2B	123	98	21	143	12	3	246	106
CHRNA2	0	0	0	0	0	0	1	0
EPHX2	710	329	54	303	36	22	1083	194
CLU	1570	308	642	338	13	24	2411	225
SCARA3	112	25	175	11	2	2	208	15
CCDC25	1404	429	298	307	33	10	2708	357
ESCO2	246	88	62	36	2	5	519	45
PBK	271	83	114	46	7	7	573	43
SCARA5	2	5	1	1	0	0	6	3
NUGGC	3	4	0	4	3	0	8	3
ELP3	289	185	113	142	14	8	443	129
PNOC	3	3	21	2	0	0	1	1
ZNF395	196	35	56	23	3	2	369	20
FBXO16	115	153	39	98	8	4	214	117
FZD3	684	309	209	169	20	12	1349	214
EXTL3	192	179	40	211	25	12	311	158
INTS9	112	152	34	121	16	8	218	149
HMBOX1	368	355	52	295	34	16	636	306
KIF13B	318	385	63	352	55	14	412	374
DUSP4	2543	351	105	178	42	14	1972	454
SARAF	2512	534	828	497	43	33	4186	401
LEPROTL1	1410	334	295	300	38	13	1977	314
MBOAT4	0	2	0	1	0	0	0	4
DCTN6	1106	172	329	174	16	9	1552	146
RBPMS	843	532	678	573	60	19	1661	435
GTF2E2	576	217	197	197	26	10	958	179
SMIM18	1	6	1	1	2	0	1	5
GSR	396	230	177	153	17	14	557	171
UBXN8	205	55	40	40	7	1	404	44
PPP2CB	1262	542	319	558	49	31	2251	490
TEX15	48	21	1	16	2	0	68	9
PURG	54	49	6	22	5	5	81	30
WRN	265	458	41	306	38	29	642	345
NRG1	556	740	14	640	47	38	450	734
AC083977.1	0	0	0	0	0	0	0	0
FUT10	195	203	49	139	17	10	313	138
TTI2	228	90	50	63	12	5	406	69
MAK16	316	80	78	77	5	3	635	74
RNF122	35	35	4	27	3	2	78	36
DUSP26	10	0	21	1	1	0	18	1
UNC5D	239	436	16	381	34	43	108	499
KCNU1	0	1	0	0	0	0	0	1
ZNF703	276	110	32	139	9	9	909	42
ERLIN2	494	202	99	114	16	10	933	151
PLPBP	552	152	149	112	17	11	1056	107
ADGRA2	4	5	6	6	0	0	9	5
BRF2	310	66	73	61	4	2	482	49
RAB11FIP1	702	370	577	551	56	25	1926	314
GOT1L1	0	0	0	0	0	0	0	0
ADRB3	1	1	1	0	0	0	0	0
EIF4EBP1	1595	469	468	370	47	22	3202	437
ASH2L	1026	510	119	509	52	12	1768	420
STAR	24	10	3	5	1	0	74	12
LSM1	1450	348	453	336	37	15	2318	248
BAG4	453	196	79	129	15	6	760	142
DDHD2	239	161	58	106	11	7	513	90
PLPP5	944	259	238	244	17	17	1687	223
NSD3	1466	519	475	440	45	28	2394	430
LETM2	14	19	50	17	3	0	35	32
FGFR1	3909	3233	246	2640	375	96	8022	2488
C8orf86	1	28	0	20	4	1	2	19
TACC1	237	123	466	145	5	12	697	47
PLEKHA2	17	8	39	5	0	1	52	4
HTRA4	1	1	0	1	0	0	2	3
TM2D2	1065	269	315	245	35	10	1915	231
ADAM9	85	253	62	270	21	6	208	168
ADAM32	4	28	1	20	3	0	7	30
ADAM18	1	0	2	0	1	0	5	0
ADAM2	0	2	1	0	0	0	3	4
IDO1	11	5	7	4	0	0	12	1
IDO2	1	0	0	0	0	0	1	1
TCIM	236	50	501	26	0	0	249	11
ZMAT4	18	49	9	29	2	5	19	27
SFRP1	3267	858	569	722	71	12	4555	1334
GOLGA7	670	224	233	205	19	11	1078	160
GINS4	334	67	65	44	6	2	526	55
GPAT4	376	115	95	76	18	3	630	91
NKX6-3	0	0	0	0	0	0	0	0
ANK1	13	19	17	9	0	0	15	24
KAT6A	515	392	148	287	37	14	840	269
AP3M2	224	85	47	79	16	9	470	59
PLAT	47	9	33	5	1	1	21	10
IKBKB	169	92	66	57	10	5	234	74
POLB	249	144	68	96	11	4	471	125
DKK4	29	4	3	5	0	0	37	18
VDAC3	2797	648	622	528	63	26	4472	521
SLC20A2	321	365	203	321	21	10	480	247
SMIM19	1177	354	231	278	41	26	2032	239
CHRNB3	1	1	0	3	0	0	0	0
CHRNA6	0	7	0	1	0	0	1	1
THAP1	321	87	85	52	8	2	609	68
RNF170	556	188	180	150	19	7	970	125
HOOK3	1057	606	277	502	50	27	1733	498
FNTA	1595	475	282	473	38	27	2937	414
POMK	31	51	6	47	8	5	50	52
HGSNAT	367	212	137	152	14	13	608	118
IGLV8OR8-1	0	0	0	0	0	0	0	0
SPIDR	231	572	74	614	76	32	400	704
CEBPD	348	25	738	20	3	1	458	26
PRKDC	4144	1617	785	1108	133	70	7347	1254
MCM4	870	246	207	140	24	8	1577	148
UBE2V2	2949	767	609	634	68	43	5297	560
EFCAB1	10	8	8	0	0	0	24	2
SNAI2	69	14	27	12	0	2	74	10
PPDPFL	0	0	0	0	0	0	0	0
SNTG1	24	274	11	213	16	28	86	137
PXDNL	15	160	109	65	9	14	35	73
PCMTD1	627	470	187	314	27	19	1226	372
ST18	6	5	1	0	1	0	3	8
ALKAL1	27	1	15	0	0	0	5	2
RB1CC1	1132	543	340	407	55	28	1987	411
NPBWR1	0	0	0	0	0	0	0	0
OPRK1	43	29	14	11	2	0	41	18
ATP6V1H	665	268	329	296	38	13	1081	224
RGS20	14	11	28	7	1	1	9	18
TCEA1	1263	984	290	685	82	51	2310	726
LYPLA1	1893	709	645	516	65	20	3753	538
MRPL15	2057	417	494	395	52	21	2999	314
SOX17	5257	836	11	797	128	43	8216	952
RP1	1	1	2	2	1	0	5	3
XKR4	14	6	29	16	0	1	15	9
TMEM68	397	168	121	106	15	4	848	118
TGS1	605	221	150	162	14	16	1112	191
LYN	143	63	102	97	7	1	277	77
RPS20	23375	4766	6922	4103	455	258	46973	4095
MOS	0	1	0	0	0	0	0	0
PLAG1	141	105	35	78	9	6	299	67
CHCHD7	742	171	228	182	23	6	1531	125
SDR16C5	10	0	3	0	0	0	15	0
PENK	2	0	0	0	0	0	7	0
IMPAD1	1052	194	146	152	25	19	1632	194
FAM110B	156	103	90	70	17	17	269	110
UBXN2B	276	148	61	122	12	5	483	120
CYP7A1	3	0	0	0	0	0	1	0
SDCBP	2981	556	884	532	71	26	4803	436
NSMAF	296	253	85	226	29	10	351	216
TOX	32	61	18	33	6	5	37	47
CA8	85	36	57	20	1	2	70	28
RAB2A	2506	1070	1107	1009	106	48	4497	827
CHD7	2056	1010	258	616	93	40	3027	682
CLVS1	6	59	8	47	5	2	20	40
ASPH	1400	710	303	1272	93	28	2422	395
NKAIN3	26	261	7	101	19	11	47	111
GGH	1284	386	236	306	38	33	2615	213
TTPA	5	24	0	2	1	3	28	5
YTHDF3	412	337	106	362	31	23	825	278
BHLHE22	89	6	0	1	0	0	40	26
CYP7B1	80	107	6	106	17	1	107	74
ARMC1	799	235	210	200	16	12	1496	140
MTFR1	419	279	73	246	29	13	992	197
PDE7A	657	599	130	437	64	30	1115	436
DNAJC5B	2	0	0	1	0	0	2	1
TRIM55	69	2	156	0	0	0	56	1
CRH	94	0	12	0	0	0	146	0
RRS1	493	80	150	74	11	7	879	63
ADHFE1	13	47	11	46	5	1	45	43
VXN	0	2	0	1	0	0	0	0
MYBL1	39	23	8	11	3	0	62	15
VCPIP1	164	50	54	56	4	0	256	43
SGK3	300	283	71	184	28	6	386	162
MCMDC2	4	7	2	3	0	1	13	6
TCF24	0	1	2	1	0	0	3	0
PPP1R42	3	9	1	3	1	0	11	12
COPS5	1650	338	496	295	35	13	2472	243
CSPP1	643	482	88	428	43	26	1028	431
ARFGEF1	505	586	127	516	71	21	1024	452
CPA6	1	248	0	289	4	21	31	22
PREX2	149	195	15	120	23	11	153	150
C8orf34	28	235	2	83	17	16	55	35
SULF1	22	25	75	21	3	0	73	24
SLCO5A1	149	140	3	57	16	3	173	109
PRDM14	8	3	15	2	0	0	8	3
NCOA2	325	806	113	795	90	36	549	749
TRAM1	1435	638	451	577	58	20	2797	481
LACTB2	380	120	158	90	7	7	737	119
XKR9	6	8	0	2	1	1	5	0
EYA1	79	138	32	44	7	10	82	142
MSC	1	1	1	0	1	0	2	0
TRPA1	47	11	0	14	0	0	43	32
KCNB2	2	22	2	11	8	3	4	17
TERF1	1179	384	439	270	26	19	2066	341
SBSPON	64	61	9	293	3	2	98	26
C8orf89	0	0	0	0	0	0	0	0
RPL7	24690	8600	6560	7692	778	415	47942	5237
RDH10	98	22	57	29	3	0	157	13
STAU2	598	785	107	632	98	32	946	766
UBE2W	494	567	94	478	62	34	934	481
ELOC	3263	733	988	666	69	25	5454	627
TMEM70	908	152	252	192	23	10	1522	132
LY96	0	0	13	0	0	0	0	0
JPH1	127	36	16	24	3	1	95	36
GDAP1	77	34	43	31	4	3	114	28
PI15	1	2	0	9	3	0	10	5
CRISPLD1	215	146	84	79	8	8	447	87
HNF4G	10	145	0	67	24	4	44	136
ZFHX4	166	78	193	66	7	4	276	72
PEX2	548	207	182	121	13	5	1024	150
PKIA	260	116	63	82	10	5	316	77
ZC2HC1A	313	135	123	86	6	14	507	87
IL7	0	15	0	10	2	4	1	14
STMN2	183	57	23	115	8	4	184	55
HEY1	303	24	115	17	0	5	366	15
MRPS28	522	463	136	370	38	18	733	391
TPD52	638	398	261	344	24	17	1308	305
