endoderm_NA18511	endoderm_NA18856	endoderm_NA18858	endoderm_NA18912	endoderm_NA19140	endoderm_NA19159	endoderm_NA19160	endoderm_NA19210
C1orf50	40	160	6	144	18	6	71	91
TMEM269	3	2	1	2	1	0	12	10
SVBP	1536	301	363	350	43	9	2379	233
ERMAP	54	34	25	5	2	2	87	17
ZNF691	110	23	20	17	5	0	162	13
SLC2A1	3063	540	606	720	87	38	5462	469
FAM183A	23	30	10	8	0	1	18	3
EBNA1BP2	1154	269	522	201	35	10	2086	205
CFAP57	9	9	8	6	0	0	9	3
TMEM125	266	68	160	42	4	0	501	46
C1orf210	449	139	91	130	20	8	918	95
TIE1	0	0	16	2	0	0	2	0
MPL	1	2	0	0	0	0	0	1
CDC20	1465	364	221	216	19	17	2143	230
ELOVL1	703	194	372	177	19	9	1303	128
MED8	687	151	268	159	13	11	978	125
SZT2	110	97	45	87	6	2	225	52
HYI	786	147	150	212	25	7	1470	113
PTPRF	1607	469	631	381	32	23	3105	346
KDM4A	296	194	114	140	15	14	430	159
ST3GAL3	71	188	8	107	18	3	83	146
ARTN	16	1	19	6	0	0	44	1
IPO13	155	31	58	41	1	1	264	21
DPH2	185	44	61	26	3	2	355	38
ATP6V0B	4014	978	1478	1227	92	35	7221	769
B4GALT2	787	180	97	121	14	4	1376	132
CCDC24	180	79	37	36	7	5	288	62
SLC6A9	22	17	26	4	1	1	49	10
KLF17	0	1	0	0	0	0	0	0
KLF18	0	0	0	0	0	0	0	0
DMAP1	688	148	141	148	14	8	967	116
ERI3	1155	391	352	353	37	20	1972	350
RNF220	576	119	143	118	15	12	911	143
TMEM53	183	67	88	46	2	5	351	48
ARMH1	6	31	5	23	2	2	18	7
KIF2C	403	155	93	85	7	6	691	80
RPS8	66226	20271	16305	16992	1996	1017	141241	15289
BEST4	92	26	8	9	1	0	138	13
PLK3	66	7	107	8	0	1	89	8
TCTEX1D4	1	2	1	0	0	0	2	0
BTBD19	21	10	19	14	1	0	48	7
PTCH2	19	12	6	8	1	1	36	25
EIF2B3	431	193	110	204	14	9	746	181
HECTD3	158	35	48	19	2	2	235	37
UROD	909	177	205	168	11	5	1315	183
