mesoderm_NA18511	mesoderm_NA18856	mesoderm_NA18858	mesoderm_NA18912	mesoderm_NA19140	mesoderm_NA19159	mesoderm_NA19160	mesoderm_NA19210
RUNX3	3	2	4	10	0	0	21	0
SYF2	1700	166	119	838	125	95	3481	20
RSRP1	1221	87	48	523	83	77	2123	20
RHD	0	7	1	36	4	5	2	1
TMEM50A	2713	326	137	1369	206	170	4558	42
RHCE	9	4	1	10	3	3	20	1
MACO1	605	112	19	637	113	90	998	22
LDLRAP1	149	14	22	65	10	6	215	5
MAN1C1	42	10	11	41	11	6	72	3
SELENON	386	53	37	261	66	44	808	10
MTFR1L	591	59	31	220	37	40	1167	11
AUNIP	120	43	15	125	18	13	275	3
PAQR7	73	5	3	20	9	1	155	1
STMN1	14449	2556	955	7619	1749	1218	35545	409
PAFAH2	86	10	8	52	7	3	161	1
EXTL1	8	0	0	4	1	2	9	0
SLC30A2	2	0	0	0	0	0	3	0
TRIM63	5	1	2	7	1	1	14	1
PDIK1L	42	24	5	56	10	11	131	1
FAM110D	64	11	2	39	9	6	146	0
C1orf232	5	0	0	3	0	0	11	1
AL391650.1	9	2	0	6	0	0	15	0
ZNF593	1396	136	113	652	99	73	2923	33
CNKSR1	108	9	10	86	12	13	258	4
CATSPER4	2	3	0	3	0	0	2	0
CEP85	122	39	7	153	27	25	254	15
SH3BGRL3	7207	767	459	2850	664	537	16329	126
UBXN11	164	28	14	87	23	15	387	2
CD52	37	1	6	13	2	4	112	0
CRYBG2	17	7	8	16	4	3	60	2
ZNF683	0	0	0	2	0	0	1	0
LIN28A	1108	211	225	1056	167	139	1763	24
DHDDS	338	45	25	280	53	43	593	14
HMGN2	1933	1953	66	5301	1288	1002	3769	308
RPS6KA1	220	13	33	108	24	13	444	4
ARID1A	2089	398	89	1957	363	205	3991	63
PIGV	76	14	10	45	9	7	181	4
ZDHHC18	187	23	13	145	26	21	416	1
SFN	18	6	16	24	2	5	56	0
GPN2	410	38	29	205	49	13	695	3
GPATCH3	174	16	13	88	12	15	335	2
NUDC	4012	573	315	2298	412	290	8407	65
NR0B2	0	0	0	0	0	0	0	0
KDF1	12	2	14	9	1	1	37	1
TRNP1	126	8	24	56	10	9	295	1
TENT5B	115	8	72	58	4	6	187	1
SLC9A1	129	16	12	134	25	14	247	2
WDTC1	147	26	18	152	26	19	331	1
TMEM222	335	53	17	209	40	26	738	9
SYTL1	84	17	12	61	5	10	248	3
MAP3K6	38	6	1	25	2	5	114	2
FCN3	0	0	0	1	0	0	1	0
CD164L2	4	0	1	1	0	0	10	0
GPR3	9	2	6	8	0	1	25	1
WASF2	1367	228	96	1037	166	139	2833	38
AHDC1	511	62	27	388	52	34	1023	12
FGR	0	0	0	0	0	0	4	0
IFI6	187	11	15	97	7	14	564	2
FAM76A	211	42	20	164	26	14	464	3
STX12	440	66	17	276	59	41	772	12
PPP1R8	488	86	33	337	57	43	939	11
THEMIS2	15	4	1	15	1	2	47	0
RPA2	872	117	74	431	91	54	1947	15
SMPDL3B	14	4	21	8	3	0	52	0
XKR8	325	17	28	132	21	17	586	6
EYA3	309	131	27	547	99	60	721	9
PTAFR	0	2	0	6	1	1	8	0
DNAJC8	3894	534	258	2152	392	280	8030	76
ATP5IF1	6159	685	596	2922	463	348	13079	93
SESN2	245	23	44	175	22	15	363	5
