mesoderm_NA18511	mesoderm_NA18856	mesoderm_NA18858	mesoderm_NA18912	mesoderm_NA19140	mesoderm_NA19159	mesoderm_NA19160	mesoderm_NA19210
MUS81	283	27	12	143	22	22	648	8
EFEMP2	1510	68	58	428	61	58	2936	14
CTSW	0	0	0	0	0	0	0	0
FIBP	2007	230	157	1026	190	142	4267	30
CCDC85B	1300	165	133	603	116	79	2505	22
FOSL1	6	0	6	10	0	2	22	0
C11orf68	380	31	32	118	23	18	797	11
DRAP1	3137	372	258	1530	284	218	6876	63
TSGA10IP	4	5	1	16	2	0	31	0
SART1	495	71	38	231	45	26	1131	5
EIF1AD	192	34	15	120	16	17	463	3
BANF1	3566	753	323	2656	537	348	7166	127
CST6	1	1	14	1	0	0	8	0
CATSPER1	0	0	0	0	0	0	0	0
GAL3ST3	38	7	11	18	2	2	128	1
SF3B2	3398	443	225	1756	295	226	6652	66
PACS1	469	187	20	1050	170	161	661	27
KLC2	226	24	23	95	22	10	489	3
RAB1B	629	58	58	279	45	42	1233	10
CNIH2	160	34	11	57	19	13	454	3
YIF1A	1913	156	162	830	134	123	3793	33
TMEM151A	56	0	5	2	0	0	151	0
CD248	747	9	10	88	16	21	1222	2
RIN1	122	4	5	21	3	1	246	0
BRMS1	707	64	61	298	47	45	1364	16
B4GAT1	597	53	31	231	42	30	1259	8
SLC29A2	128	20	17	81	14	14	226	5
NPAS4	1	0	0	2	0	0	1	0
MRPL11	2978	374	276	1524	280	186	6003	60
PELI3	74	10	8	29	8	2	137	0
DPP3	458	52	45	210	40	26	969	6
BBS1	49	42	1	186	33	37	82	5
ZDHHC24	245	31	17	150	29	17	513	6
ACTN3	22	7	6	30	2	2	205	2
CTSF	59	4	8	3	11	7	199	0
CCDC87	3	2	0	1	1	0	12	0
CCS	1131	106	76	644	70	86	2564	16
RBM14	424	73	46	276	54	40	872	8
RBM4	683	352	31	1589	296	211	1632	79
RBM4B	441	64	20	359	58	34	1072	15
SPTBN2	851	48	17	383	46	51	1074	11
C11orf80	203	56	10	362	65	88	332	14
RCE1	452	38	34	151	27	20	775	6
PC	135	17	5	78	15	12	255	6
LRFN4	167	20	28	56	10	11	415	3
C11orf86	0	0	0	0	0	0	0	0
SYT12	2	1	0	3	1	0	7	0
RHOD	642	20	17	160	26	15	1299	4
KDM2A	519	226	40	1341	215	131	1108	42
GRK2	399	27	35	143	17	14	805	6
ANKRD13D	466	38	26	193	26	32	788	10
SSH3	165	13	15	53	3	13	289	2
RAD9A	201	45	13	198	36	29	377	11
POLD4	39	50	2	262	52	33	55	9
CLCF1	12	7	1	18	2	1	38	0
PPP1CA	3599	320	277	1455	240	174	6793	56
TBC1D10C	8	0	1	3	0	0	11	0
CARNS1	21	0	1	0	0	0	48	0
RPS6KB2	880	68	42	353	65	34	1868	15
CORO1B	1325	117	120	534	66	65	2381	17
PTPRCAP	0	0	0	0	0	0	0	0
GPR152	0	0	0	1	0	0	0	0
CABP4	2	0	0	0	0	0	0	0
TMEM134	913	103	85	451	62	54	2061	15
AIP	743	77	39	313	46	44	1579	13
PITPNM1	123	14	11	68	5	6	271	3
CDK2AP2	774	101	96	386	57	40	1622	22
CABP2	0	1	0	1	0	0	6	0
GSTP1	27852	2901	3493	11745	2034	1562	51945	588
NDUFV1	1532	161	162	693	129	97	3327	34
NUDT8	181	33	17	59	13	18	374	3
TBX10	0	2	0	33	0	2	0	2
ACY3	1	0	0	0	0	0	1	0
ALDH3B2	0	0	0	0	0	0	0	0
UNC93B1	102	8	11	46	3	4	149	1
ALDH3B1	6	3	1	4	0	0	9	0
NDUFS8	3892	426	375	1883	324	248	7710	80
TCIRG1	348	15	22	45	9	13	563	2
CHKA	601	170	57	807	122	96	1225	38
KMT5B	598	203	37	1017	173	107	1394	40
C11orf24	405	36	65	143	24	20	652	2
LRP5	260	71	13	218	51	33	496	10
PPP6R3	522	401	42	2059	385	242	1066	73
GAL	582	312	596	1156	101	56	1287	32
TESMIN	37	15	20	44	8	1	130	0
CPT1A	19	4	10	25	2	4	32	1
MRPL21	1900	205	185	968	181	147	4416	41
IGHMBP2	122	14	7	86	17	9	191	6
MRGPRD	0	0	0	0	0	0	0	0
MRGPRF	44	0	3	10	0	0	71	2
TPCN2	34	10	8	52	8	6	57	6
SMIM38	0	0	0	1	0	0	0	0
MYEOV	1	1	1	2	0	0	1	0
CCND1	2426	330	171	895	227	166	4835	54
LTO1	119	33	7	128	32	18	274	3
FGF19	404	107	18	335	162	20	1649	5
FGF4	21	3	26	37	2	1	47	1
FGF3	21	7	1	59	12	0	29	2
ANO1	102	16	2	92	13	13	231	0
FADD	561	48	48	201	35	26	954	5
PPFIA1	756	198	59	794	117	88	1466	27
CTTN	1704	178	167	813	128	108	3061	27
SHANK2	17	24	3	159	21	19	34	4
DHCR7	808	80	54	312	57	43	1592	12
NADSYN1	97	25	8	117	17	11	276	5
KRTAP5-7	1	0	0	0	0	0	1	0
KRTAP5-8	0	0	0	0	0	0	2	0
KRTAP5-9	0	0	0	0	1	0	1	0
KRTAP5-10	1	0	0	0	0	0	0	0
KRTAP5-11	1	1	0	12	3	1	1	0
FAM86C1	80	13	6	37	11	7	122	3
ZNF705E	2	0	0	1	0	0	3	0
DEFB108B	0	0	0	0	0	0	0	0
AP002495.1	65	42	4	182	46	28	123	13
DEFB131B	0	0	0	5	0	0	0	0
RNF121	371	89	33	479	77	57	668	14
IL18BP	27	6	1	8	7	1	47	0
NUMA1	898	101	62	513	100	79	1962	23
LRTOMT	72	15	6	54	7	6	160	5
LAMTOR1	3674	368	397	1423	245	183	6637	54
AP000812.4	0	0	0	0	0	0	0	0
ANAPC15	920	191	126	544	118	84	2017	20
FOLR3	0	0	1	1	1	0	0	0
FOLR1	46	18	13	27	2	0	489	3
FOLR2	0	0	1	0	0	0	0	0
INPPL1	498	48	25	174	30	22	978	9
PHOX2A	8	4	0	7	1	0	39	0
CLPB	264	33	25	175	35	21	476	6
PDE2A	12	0	1	7	2	1	26	0
ARAP1	197	17	21	107	12	7	366	2
STARD10	630	55	39	225	40	18	1141	8
ATG16L2	44	12	5	78	9	5	99	7
FCHSD2	123	257	2	968	220	142	284	44
P2RY2	5	1	0	2	0	0	7	0
P2RY6	125	36	5	314	60	15	186	0
ARHGEF17	390	49	5	266	42	32	699	5
RELT	56	12	6	31	6	9	135	2
FAM168A	160	186	6	788	146	99	287	34
PLEKHB1	55	4	3	51	7	1	101	2
RAB6A	554	153	59	801	105	95	1061	18
MRPL48	648	111	90	374	84	63	1370	23
COA4	2240	292	246	1120	203	157	4534	41
PAAF1	447	80	23	332	58	40	1117	17
DNAJB13	3	2	0	2	1	1	11	1
UCP2	382	78	54	148	45	29	517	11
UCP3	12	1	0	7	0	0	13	0
C2CD3	88	77	6	270	40	35	220	8
PPME1	508	115	43	445	73	56	1057	24
P4HA3	14	16	0	69	8	6	61	1
PGM2L1	231	54	28	199	38	17	577	12
KCNE3	57	5	3	48	6	6	112	1
LIPT2	191	17	26	86	18	13	473	1
POLD3	759	159	39	525	111	76	1755	37
CHRDL2	11	0	0	2	0	0	39	0
RNF169	364	90	20	532	82	76	748	17
XRRA1	194	40	7	211	55	30	364	4
SPCS2	1910	496	98	2335	399	312	3632	93
NEU3	79	12	8	75	15	13	126	5
OR2AT4	0	0	0	1	0	0	0	0
SLCO2B1	4	1	0	3	0	1	4	0
TPBGL	12	0	1	3	0	2	3	0
ARRB1	302	43	31	175	38	39	521	9
RPS3	81399	8364	7162	36293	6231	4846	161381	1364
KLHL35	23	3	2	14	2	1	68	1
GDPD5	55	7	3	29	4	6	80	0
SERPINH1	7872	427	447	2359	221	340	12403	82
MAP6	24	9	1	42	5	3	54	2
MOGAT2	1	0	0	0	0	0	0	0
DGAT2	79	11	2	29	6	4	86	0
UVRAG	340	208	13	801	210	112	745	39
WNT11	288	17	10	156	23	11	444	1
THAP12	500	87	22	414	69	59	1027	18
GVQW3	110	27	5	60	8	7	293	5
EMSY	279	133	17	552	84	75	567	32
LRRC32	558	40	5	228	35	39	858	3
TSKU	344	18	17	145	23	17	630	4
ACER3	265	117	18	604	99	63	442	14
B3GNT6	0	0	0	0	0	0	2	0
CAPN5	158	12	6	79	13	10	202	3
OMP	0	0	0	0	0	0	0	0
MYO7A	11	3	0	3	0	1	15	0
GDPD4	1	0	0	1	0	0	2	0
PAK1	569	185	94	793	117	88	1139	28
CLNS1A	2955	389	220	1714	320	233	6006	62
AQP11	36	3	2	27	1	4	51	1
RSF1	2327	448	175	1961	378	266	5020	76
AAMDC	1223	123	69	706	104	98	2349	26
INTS4	207	81	9	295	53	42	420	11
KCTD14	63	13	6	25	3	3	179	2
THRSP	0	0	0	0	0	0	1	0
NDUFC2	5059	813	367	4127	667	451	10238	118
ALG8	765	161	38	656	125	115	1489	23
KCTD21	43	2	0	39	3	1	88	0
USP35	53	6	1	25	6	6	108	1
GAB2	62	150	8	475	81	47	133	21
NARS2	286	155	32	514	93	86	529	36
TENM4	567	1059	21	7582	1166	373	1308	210
FAM181B	41	18	3	37	5	3	262	0
PRCP	821	120	46	491	86	51	1563	7
DDIAS	166	36	9	131	29	16	293	8
RAB30	82	27	5	141	24	20	147	8
PCF11	564	74	21	334	70	38	1055	11
ANKRD42	73	17	4	52	8	8	162	2
CCDC90B	1637	252	114	1083	172	132	3495	34
DLG2	117	346	1	1224	334	274	220	85
TMEM126B	1316	155	131	645	120	112	2713	18
TMEM126A	1338	132	107	619	113	89	2411	17
CREBZF	497	72	34	365	56	51	1001	6
CCDC89	3	0	0	0	2	0	6	0
SYTL2	9	2	5	33	3	2	20	1
CCDC83	0	0	0	2	2	0	0	0
PICALM	548	230	43	1749	231	179	1055	48
EED	635	72	25	432	78	71	1282	12
HIKESHI	2097	286	153	1141	224	143	4398	55
CCDC81	65	7	5	23	9	11	297	2
ME3	10	8	1	38	11	5	17	1
PRSS23	402	65	33	303	96	49	780	10
FZD4	72	14	6	68	2	9	170	7
TMEM135	293	250	24	1199	197	184	592	23
RAB38	187	16	23	85	11	11	430	4
CTSC	1476	133	226	658	74	75	2406	15
GRM5	0	2	0	16	4	5	2	3
TYR	0	1	0	5	2	3	2	0
NOX4	44	43	4	237	42	111	110	5
TRIM77	0	0	0	2	0	0	0	0
TRIM49	2	0	0	0	0	0	0	0
TRIM64B	0	0	0	0	0	0	0	0
TRIM49D1	0	0	0	0	0	0	0	0
TRIM49D2	0	0	0	0	0	0	0	0
TRIM64	0	0	0	0	0	0	0	0
TRIM49C	4	0	0	0	0	0	0	0
UBTFL1	1	0	0	1	0	0	1	0
NAALAD2	760	129	10	481	74	101	1232	17
CHORDC1	1043	182	100	793	112	109	1919	26
FAT3	30	117	4	327	32	18	123	25
MTNR1B	0	0	0	0	0	0	0	0
SLC36A4	745	233	32	979	185	133	1742	55
DEUP1	23	8	0	25	2	2	44	2
SMCO4	622	90	51	373	63	32	1198	15
CEP295	423	119	16	390	70	53	919	22
TAF1D	2201	305	212	1218	236	171	4641	36
C11orf54	259	69	31	241	52	45	648	13
MED17	304	95	18	471	98	46	647	14
VSTM5	1	1	0	21	3	1	21	0
HEPHL1	0	4	0	7	2	1	0	2
PANX1	109	40	5	115	19	16	229	3
IZUMO1R	0	0	0	0	0	0	0	0
GPR83	70	9	0	38	3	2	162	0
MRE11	517	111	37	498	90	57	1122	21
ANKRD49	248	27	20	139	18	26	549	1
C11orf97	0	1	0	1	0	0	0	0
PIWIL4	2	0	0	17	1	3	3	1
FUT4	59	4	2	16	2	3	86	0
AMOTL1	711	265	43	1199	237	160	1307	41
CWC15	2495	292	178	1217	217	161	4810	53
KDM4D	42	12	4	60	8	7	106	0
KDM4E	0	0	0	0	0	0	0	0
KDM4F	0	0	0	0	0	0	0	0
SRSF8	669	46	22	176	26	27	1456	5
ENDOD1	341	29	16	142	19	20	858	1
SESN3	1273	244	37	1063	146	125	1942	59
FAM76B	281	61	14	220	48	34	566	14
CEP57	1493	288	102	1266	231	165	3013	54
MTMR2	442	133	37	660	100	66	929	23
MAML2	239	298	17	987	217	193	551	76
CCDC82	567	90	37	378	62	49	1182	13
JRKL	92	20	4	72	12	9	135	2
CNTN5	107	149	1	4835	341	1079	290	85
ARHGAP42	708	344	38	1712	466	225	1194	88
PGR	3	0	0	2	1	0	5	0
TRPC6	5	14	1	60	6	0	5	0
ANGPTL5	0	3	0	4	2	3	0	0
CEP126	176	63	7	192	32	32	375	11
CFAP300	103	16	4	84	20	5	194	2
YAP1	1251	500	71	2479	460	353	2546	125
BIRC3	37	1	0	1	0	0	57	0
BIRC2	593	80	26	351	67	51	1151	5
TMEM123	1390	277	40	870	190	172	2601	36
MMP7	0	0	2	0	0	0	0	0
MMP20	0	0	0	1	0	0	0	0
MMP27	0	0	0	0	0	0	0	0
MMP8	0	0	0	0	0	0	0	0
MMP10	128	1	0	21	3	39	125	3
MMP1	577	4	4	41	4	66	713	1
MMP3	6	2	7	20	0	2	7	1
MMP12	0	0	0	4	0	1	5	0
MMP13	0	0	0	0	0	1	0	0
DCUN1D5	1839	237	166	1096	194	142	3745	41
DYNC2H1	402	159	11	774	141	129	792	22
PDGFD	29	50	1	121	32	27	95	12
DDI1	0	0	0	0	0	0	0	0
CASP4	33	0	1	6	0	1	77	0
CASP5	2	0	0	0	0	0	0	0
CASP1	2	0	0	0	0	1	7	0
CARD16	347	3	0	36	8	14	519	0
CARD17	0	0	0	0	0	0	0	0
CARD18	0	3	0	4	0	0	0	0
GRIA4	5	3	0	29	0	2	24	4
MSANTD4	197	39	11	121	35	18	481	8
KBTBD3	80	15	6	54	9	13	184	0
AASDHPPT	981	189	57	688	135	106	2007	41
GUCY1A2	16	21	0	79	18	5	81	10
CWF19L2	505	138	40	599	108	71	1063	22
ALKBH8	100	27	5	108	19	15	177	2
ELMOD1	24	16	0	9	1	3	129	1
SLN	2965	64	21	574	66	232	3452	5
SLC35F2	391	47	26	131	49	57	656	3
RAB39A	13	12	6	24	5	4	25	1
CUL5	852	278	51	1327	249	194	1765	70
ACAT1	698	67	52	345	75	43	1052	19
NPAT	204	77	13	290	59	29	441	9
ATM	600	177	43	787	139	102	1389	27
C11orf65	33	18	2	58	11	9	42	4
POGLUT3	517	48	21	155	34	38	937	8
EXPH5	11	11	3	35	5	3	30	0
DDX10	610	175	57	812	144	94	1180	37
C11orf87	4	2	1	24	0	0	31	1
RDX	3302	570	180	2545	408	279	7049	77
ZC3H12C	17	55	1	274	41	33	41	12
FDX1	1042	151	96	604	118	72	2044	21
ARHGAP20	10	2	0	3	2	1	20	0
C11orf53	1	0	0	0	0	1	4	0
COLCA2	6	2	1	3	1	0	35	0
POU2AF1	1	0	0	3	0	0	0	0
BTG4	0	0	0	0	0	0	1	0
C11orf88	7	0	0	2	0	0	12	1
LAYN	92	7	8	92	0	3	281	3
SIK2	108	94	5	488	70	44	238	22
PPP2R1B	322	57	18	225	46	17	716	10
ALG9	87	60	2	254	41	12	146	11
FDXACB1	48	5	5	13	5	4	94	1
C11orf1	540	78	67	222	55	51	1328	18
CRYAB	166	1	12	67	2	7	640	1
HSPB2	4	1	1	14	1	0	6	1
C11orf52	0	0	0	15	3	2	1	0
DIXDC1	335	80	24	258	55	47	864	17
DLAT	467	45	46	268	39	43	788	12
PIH1D2	33	11	0	39	6	5	68	3
NKAPD1	621	80	35	375	52	58	1341	15
TIMM8B	3426	318	228	1411	249	168	6034	54
SDHD	1447	167	179	657	103	88	2559	31
IL18	9	2	2	17	2	3	18	0
TEX12	0	1	0	1	1	2	4	0
BCO2	315	22	8	163	19	14	352	1
PTS	1100	151	102	772	130	97	2230	19
PLET1	0	1	0	6	0	1	0	0
NCAM1	801	277	30	2158	385	115	2042	73
TTC12	128	33	5	121	22	13	270	12
ANKK1	48	1	0	13	1	4	69	1
DRD2	52	11	3	78	10	26	79	2
TMPRSS5	3	3	0	3	3	3	9	2
ZW10	336	64	22	266	49	28	617	7
CLDN25	0	0	0	0	0	0	0	0
USP28	363	108	70	456	86	58	763	13
HTR3B	0	0	0	3	0	0	0	0
HTR3A	1	1	7	2	0	0	5	0
ZBTB16	55	72	2	121	36	40	166	5
NNMT	15	0	1	21	4	4	29	0
C11orf71	114	17	10	76	12	7	172	2
RBM7	930	71	58	457	67	54	1725	12
REXO2	2374	217	197	1090	219	169	3523	29
NXPE1	0	0	0	5	0	0	0	0
NXPE4	0	1	0	1	0	0	0	0
NXPE2	3	0	0	3	0	2	3	0
CADM1	518	370	41	1093	330	116	1058	63
BUD13	320	52	18	199	32	34	695	6
ZPR1	569	50	65	290	37	38	1190	9
APOA5	0	0	0	0	0	0	0	0
APOA4	38	11	1	46	8	10	47	2
APOC3	25	5	2	22	2	1	38	0
APOA1	208	55	4	273	38	32	819	6
SIK3	210	343	18	1472	287	145	480	55
PAFAH1B2	1325	190	88	857	173	139	2573	32
SIDT2	140	23	8	104	7	8	308	4
TAGLN	1450	61	453	778	49	56	2844	22
PCSK7	667	39	38	256	29	29	1095	4
RNF214	731	103	32	529	78	68	1361	16
BACE1	639	50	28	412	46	40	1123	10
CEP164	592	79	41	360	65	41	1135	9
DSCAML1	11	22	0	220	13	3	24	13
FXYD2	16	5	0	14	1	2	36	2
FXYD6	1168	172	59	661	152	88	3192	37
TMPRSS13	7	1	2	4	0	0	13	0
IL10RA	0	0	0	1	0	0	4	0
SMIM35	0	0	0	2	0	0	0	0
TMPRSS4	0	2	0	3	0	2	1	0
SCN4B	4	0	0	6	0	2	9	0
SCN2B	0	0	2	1	0	0	7	0
JAML	0	0	0	0	0	0	1	0
MPZL3	2	1	2	6	0	0	10	0
MPZL2	1	0	1	0	0	1	2	0
CD3E	0	0	0	0	0	0	0	0
CD3D	0	0	0	3	0	0	6	0
CD3G	0	0	0	2	0	0	0	0
UBE4A	425	91	24	487	68	50	767	10
ATP5MG	7005	1006	480	4626	717	545	13434	157
KMT2A	752	279	41	1052	172	151	1593	36
TTC36	2	1	0	2	2	0	2	1
TMEM25	187	20	8	104	13	12	454	4
IFT46	247	55	10	170	25	16	532	7
ARCN1	1406	212	78	1012	147	155	2583	33
PHLDB1	259	30	21	145	22	21	506	2
TREH	0	1	0	2	1	0	0	0
DDX6	1260	261	104	1393	227	178	2881	61
CXCR5	2	0	0	4	0	0	10	0
BCL9L	482	41	29	226	35	21	744	5
UPK2	5	4	1	11	2	0	18	0
FOXR1	0	0	0	2	0	0	2	0
CCDC84	297	59	14	358	59	32	525	15
RPS25	27486	4264	2086	16519	2714	2168	58650	680
TRAPPC4	1635	199	84	954	105	78	3212	24
SLC37A4	431	57	40	188	33	22	1028	5
HYOU1	560	58	54	225	39	33	1017	9
VPS11	208	27	15	125	13	10	355	4
HMBS	640	85	55	300	57	35	1386	20
H2AFX	1963	287	132	573	185	141	4214	39
DPAGT1	367	50	21	130	23	14	717	10
C2CD2L	40	5	1	21	1	2	100	2
HINFP	213	38	17	158	22	15	433	3
ABCG4	14	0	0	3	0	0	18	0
NLRX1	51	14	0	31	12	3	141	2
PDZD3	2	0	0	1	0	0	13	0
CCDC153	33	5	6	32	3	3	98	0
CBL	394	150	36	567	110	87	775	18
MCAM	95	7	14	63	10	2	241	2
RNF26	551	46	48	153	34	22	1144	7
MFRP	0	0	0	0	0	0	0	0
C1QTNF5	0	0	0	1	0	0	1	0
USP2	20	4	6	19	1	0	44	1
THY1	2296	197	199	955	203	60	4474	35
NECTIN1	183	42	32	156	57	23	418	8
TRIM29	0	1	0	3	0	0	1	0
OAF	974	135	16	295	92	63	1905	13
POU2F3	0	1	3	7	0	1	3	0
TLCD5	397	42	15	181	37	16	690	6
ARHGEF12	412	175	27	885	132	122	798	32
GRIK4	42	64	1	164	26	26	87	4
TBCEL	70	60	6	333	46	38	142	6
TECTA	8	7	0	15	3	1	14	0
SC5D	1486	160	95	856	148	123	2275	27
SORL1	147	55	25	262	46	11	285	7
BLID	1	1	0	0	0	0	4	0
UBASH3B	70	53	15	379	64	23	168	10
CRTAM	0	1	0	1	0	0	1	0
JHY	30	5	2	35	15	1	86	0
BSX	0	0	0	1	0	0	0	0
HSPA8	16359	1138	1772	6202	1045	780	31912	220
CLMP	881	261	19	1044	241	158	1666	58
GRAMD1B	36	68	11	234	29	11	102	8
SCN3B	12	0	2	6	0	1	20	1
ZNF202	90	12	9	62	15	9	145	2
OR6X1	0	0	0	0	0	0	0	0
OR6M1	0	0	0	0	0	0	1	0
TMEM225	2	0	0	0	0	0	1	0
OR8D4	96	2	0	7	3	4	80	0
OR4D5	0	0	0	0	0	0	0	0
OR6T1	0	0	0	0	0	0	0	0
OR10S1	0	0	0	0	0	0	0	0
OR10G6	0	0	0	0	0	0	0	0
OR10G4	11	0	0	1	0	1	7	0
OR10G9	1	0	0	0	0	0	0	0
OR10G8	0	0	0	0	0	0	0	0
OR10G7	0	0	0	0	0	0	0	0
VWA5A	484	43	15	174	15	21	465	1
OR10D3	0	0	0	0	0	0	1	0
OR8G1	0	0	0	0	0	0	0	0
OR8G5	4	0	0	2	0	0	1	0
OR8D1	0	0	0	1	0	1	0	0
OR8D2	1	0	0	0	0	0	0	0
OR8B2	0	0	0	0	0	0	0	0
OR8B3	0	1	0	0	0	0	0	0
OR8B4	0	0	0	0	0	0	0	0
OR8B8	0	0	0	0	0	0	0	0
OR8B12	0	0	0	0	0	0	0	0
OR8A1	12	1	0	0	0	0	0	0
PANX3	1	1	0	0	0	0	0	0
TBRG1	442	109	58	380	62	66	917	12
SIAE	32	5	1	16	0	1	50	0
SPA17	287	45	9	143	27	20	802	8
NRGN	19	6	4	16	0	2	58	1
VSIG2	0	0	0	0	0	0	0	1
ESAM	4	0	0	0	0	0	2	0
MSANTD2	225	86	12	347	81	36	488	9
ROBO3	38	6	8	25	1	1	125	0
ROBO4	0	1	0	0	0	0	4	0
HEPACAM	0	0	0	0	0	0	2	0
HEPN1	0	0	0	0	0	0	2	0
CCDC15	77	21	3	75	17	10	178	1
SLC37A2	2	4	0	7	0	2	3	0
TMEM218	403	61	23	182	47	30	806	12
PKNOX2	96	167	5	871	152	88	213	19
FEZ1	1186	82	52	459	88	76	1531	13
EI24	2490	215	190	1032	175	143	4628	42
STT3A	862	69	50	361	48	46	1474	15
CHEK1	878	182	59	724	175	91	1754	36
ACRV1	1	5	0	10	2	4	8	1
PATE1	1	0	0	0	0	0	1	0
PATE2	6	0	0	2	0	0	4	0
PATE3	0	0	0	0	0	0	0	0
PATE4	0	0	0	0	0	0	0	0
HYLS1	220	38	9	108	18	27	460	13
PUS3	252	30	25	155	22	10	691	6
DDX25	37	4	15	35	3	3	93	0
VSIG10L2	0	1	0	2	0	0	3	0
CDON	120	157	11	584	67	74	290	22
RPUSD4	326	41	39	200	29	21	685	12
FAM118B	492	72	56	368	58	38	922	9
SRPRA	771	71	43	330	50	36	1420	13
FOXRED1	391	77	42	280	54	44	832	12
TIRAP	58	15	6	83	8	9	111	0
DCPS	533	82	59	315	63	38	947	11
ST3GAL4	173	26	14	120	23	15	303	3
KIRREL3	2	21	0	137	20	6	14	3
ETS1	279	55	22	322	59	36	527	2
FLI1	74	18	2	119	14	13	118	2
KCNJ1	0	0	0	0	0	0	0	0
KCNJ5	17	3	1	27	2	1	39	0
C11orf45	5	1	0	0	0	0	5	0
TP53AIP1	1	0	0	0	0	0	2	0
ARHGAP32	203	245	11	1329	221	163	414	31
BARX2	2	1	0	14	0	1	4	0
TMEM45B	2	0	1	3	0	0	3	1
NFRKB	283	70	19	266	51	25	595	10
PRDM10	33	51	5	209	29	18	93	8
APLP2	5014	481	243	2614	373	357	9669	93
ST14	5	1	10	8	0	3	3	0
ZBTB44	514	139	58	607	106	88	1200	13
ADAMTS8	62	8	3	29	5	1	198	4
ADAMTS15	52	7	2	85	7	15	67	0
SNX19	203	40	11	174	34	21	312	5
NTM	795	219	9	3318	265	258	1342	27
OPCML	8	16	0	180	24	16	29	11
SPATA19	1	0	0	1	0	0	2	0
IGSF9B	14	3	4	18	5	1	32	0
JAM3	346	121	14	399	90	54	854	23
NCAPD3	524	125	31	456	92	60	1151	24
VPS26B	446	50	30	206	44	27	780	6
THYN1	1246	165	160	511	126	88	3082	27
ACAD8	263	32	25	127	21	15	636	4
GLB1L3	9	5	2	16	2	0	12	0
GLB1L2	13	2	0	8	2	1	11	0
B3GAT1	10	3	3	12	5	0	16	0
TUBB8	5	4	2	12	3	5	5	0
ZMYND11	543	181	22	816	152	120	1120	25
DIP2C	155	256	5	1029	268	140	299	43
PRR26	4	3	1	9	2	0	8	1
LARP4B	293	152	20	860	139	96	565	32
GTPBP4	1535	228	141	970	121	110	3095	37
IDI2	1	0	0	6	1	0	5	0
IDI1	2518	310	93	1455	268	158	4889	57
WDR37	77	41	9	318	44	30	179	8
ADARB2	5	10	1	226	9	5	22	2
PFKP	2056	143	112	1348	178	162	3583	27
PITRM1	268	16	18	121	27	17	384	2
KLF6	1470	125	117	815	132	90	2972	21
AKR1E2	11	23	2	52	14	10	59	2
AKR1C1	18	2	9	15	1	1	44	0
AKR1C2	9	1	0	4	1	1	21	1
AKR1C3	7	0	7	11	3	1	26	1
AKR1C8P	1	0	0	1	1	1	0	0
AKR1C4	0	1	0	0	0	0	0	0
UCN3	0	0	0	0	0	0	0	0
TUBAL3	1	0	0	1	0	0	0	0
NET1	475	89	40	426	67	55	983	12
CALML5	0	0	0	0	0	0	0	0
CALML3	0	0	0	0	0	0	0	0
ASB13	96	26	5	75	12	8	239	2
TASOR2	510	183	34	893	130	107	994	30
GDI2	3827	509	290	2215	423	304	7380	86
ANKRD16	177	26	11	135	28	18	347	6
FBH1	540	75	28	423	66	44	1037	8
IL15RA	3	0	1	1	0	0	4	0
IL2RA	0	0	0	2	0	0	0	0
RBM17	2403	288	184	1373	276	151	4626	51
PFKFB3	281	61	21	828	115	65	613	19
PRKCQ	27	30	3	103	25	6	76	3
SFMBT2	63	57	8	362	45	38	64	24
ITIH5	12	2	2	22	1	3	37	0
ITIH2	0	0	0	4	1	0	1	0
KIN	681	75	57	505	68	65	1594	25
ATP5F1C	5893	615	548	3069	522	347	11084	103
TAF3	616	198	45	901	146	134	1118	40
GATA3	323	45	47	345	54	30	947	13
CELF2	534	107	36	730	56	54	959	30
USP6NL	205	119	10	540	104	63	426	21
ECHDC3	198	25	18	7	1	16	364	2
PROSER2	53	9	8	37	10	14	144	2
UPF2	566	118	36	623	121	83	1239	18
DHTKD1	323	128	35	313	64	44	708	4
SEC61A2	239	34	15	185	26	13	430	6
NUDT5	2220	280	200	1398	269	173	4737	62
CDC123	2317	286	183	1306	218	160	4617	41
CAMK1D	43	93	7	159	40	32	136	8
CCDC3	348	152	15	1102	91	35	959	29
OPTN	505	33	30	305	27	40	1066	5
MCM10	485	111	32	370	83	39	949	22
UCMA	4	1	2	0	0	0	5	0
PHYH	364	42	44	173	36	26	826	15
SEPHS1	1437	231	354	783	139	106	3025	41
BEND7	109	49	9	147	34	20	234	5
PRPF18	283	62	21	292	47	33	623	14
FRMD4A	354	233	18	1569	229	221	685	56
FAM107B	1257	167	48	1005	153	160	2006	34
CDNF	6	5	1	24	5	6	36	1
HSPA14	149	13	8	101	7	16	366	1
HSPA14.1	518	89	46	353	60	42	887	16
SUV39H2	462	85	20	283	61	46	891	14
DCLRE1C	333	99	15	269	52	45	740	14
MEIG1	21	4	1	16	3	0	32	1
OLAH	1	2	1	0	0	0	5	0
ACBD7	12	5	2	17	2	3	38	1
RPP38	548	71	52	403	81	46	1089	13
NMT2	230	62	7	299	44	40	523	11
FAM171A1	544	228	23	1081	195	129	1055	52
ITGA8	404	135	4	887	104	79	697	35
MINDY3	172	69	9	300	47	48	332	8
PTER	178	26	8	177	32	23	298	8
C1QL3	1	1	0	5	0	0	3	0
RSU1	678	108	43	824	151	101	1239	18
CUBN	10	7	1	57	8	6	28	3
